CRP,ID,Year2,Title,Stage,Type2,Contribution 2,Leader,NextUsers,Geographical scope,Country,Region,link,Index2
"BigData",706,2018,"Inspire Challenge Award: Using IVR to connect farmers to market","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","CIMMYT","","National","NP","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=706&phaseID=65",53
"PIM",261,2018,"Innovation platforms for Climate Smart Agriculture in Honduras","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","DICTA","","National","HN","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=261&phaseID=56",56
"PIM",710,2018,"Interactive voice response advisory service for pig farmers","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","ILRI","","National","UG","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=710&phaseID=57",63
"A4NH",370,2018,"Methodology to analyse national food systems based on secondary reports and data: applied in Ethiopia","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","National","ET","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=370&phaseID=59",70
"A4NH",374,2018,"Development of the process and methodology to assess drivers of vegetables intake","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","","","National","NG","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=374&phaseID=59",71
"A4NH",375,2018,"Methodology to analysis highly informal dairy markets and its consumers","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","WUR","","National","ET","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=375&phaseID=59",72
"A4NH",377,2018,"Tool (crates) to reduce post-harvest losses for tomatoes","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","","","National","NG","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=377&phaseID=59",73
"A4NH",378,2018,"Veggies on Wheels intervention for urban consumers in Nigeria","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","WUR","","National","NG","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=378&phaseID=59",74
"A4NH",386,2018,"Iron Bean variety: NUA 99","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","CD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=386&phaseID=59",76
"A4NH",405,2018,"Iron Bean variety: Selian 14 (MAC 44)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","TZ","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=405&phaseID=59",77
"A4NH",406,2018,"Iron Bean variety: Selian 15 (RWV 1129)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","TZ","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=406&phaseID=59",78
"Livestock",584,2018,"Business models for three selected best-bet interventions for small ruminant value chains in Ethiopia","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","ICARDA","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=584&phaseID=60",80
"Livestock",587,2018,"  Nicaragua dairy systems dynamics model – public facing aspect","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","ILRI","","National","NI","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=587&phaseID=60",81
"Livestock",646,2018,"Development of mechanisms to reduce market distortions in Ethiopian small ruminant value chains","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","ICARDA","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=646&phaseID=60",82
"BigData",691,2018,"New feed resource technologies in Tunisia","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","OTHER","ICARDA","","National","TN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=691&phaseID=60",83
"CCAFS",422,2018,"Adoption and testing of the Gold Standard Smallholder Dairy Methodology","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","UNIQUE","","National","KE","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=422&phaseID=56",104
"Livestock",324,2018,"Environmental suitability maps for Ethiopian sheep and goat","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Sole Contribution","ICARDA","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=324&phaseID=60",107
"Livestock",745,2018,"Online tick database for Tunisia","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","ICARDA","","National","TN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=745&phaseID=60",111
"Livestock",746,2018,"Community based gastrointestinal parasite control in small ruminants in Ethiopia","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Sole Contribution","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=746&phaseID=60",112
"Livestock",747,2018,"Post-mortem training module for vets in Ethiopia","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Sole Contribution","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=747&phaseID=60",113
"Livestock",748,2018,"Training module for vets/paravets on coenurosis control in small ruminants in Ethiopia","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Sole Contribution","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=748&phaseID=60",114
"A4NH",732,2018,"[updated from 2017] Aflasafe product ZM01 and ZM02 for Zambia","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","","","National","ZM","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=732&phaseID=59",120
"A4NH",733,2018,"[updated from 2017] Aflasafe product TZ01 and TZ02 for Tanzania","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","","","National","TZ","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=733&phaseID=59",121
"Livestock",735,2018,"[updated from 2017] Aflasafe MW02 for Malawi","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=735&phaseID=59",123
"Livestock",277,2018,"Joint village land use planning in Tanzania","Stage 3: available/ ready for uptake (AV)","Social Science","Lead Contribution","ILRI","","National","TZ","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=277&phaseID=60",124
"Livestock",279,2018,"Woreda Participatory Land Use Planning for Pastoral Areas in Ethiopia","Stage 3: available/ ready for uptake (AV)","Social Science","Lead Contribution","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=279&phaseID=60",125
"Livestock",744,2018,"Risk mapping for pig endemic diseases in Vietnam","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","ILRI","","National","VN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=744&phaseID=60",126
"Livestock",754,2018,"Vaccine platform for African Swine fever in Kenya","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Lead Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=754&phaseID=60",127
"Livestock",755,2018,"African swine fever virus replication methodology to facilitate production of vaccine candidate","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","Lead Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=755&phaseID=60",128
"Livestock",763,2018,"Herd Health packages to improve pig health in Uganda ","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","ILRI","","National","UG","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=763&phaseID=60",135
"A4NH",797,2018,"National guidelines for agri-nutrition community messaging in Kenya","Stage 3: available/ ready for uptake (AV)","Social Science","Lead Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=797&phaseID=60",137
"Livestock",502,2018,"Methodology for using GIS in chicken breeds suitability map in Ethiopia","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Partial Contribution","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=502&phaseID=60",142
"Livestock",751,2018,"Mobile veterinary service delivery model for pastoral systems in Kenya","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Partial Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=751&phaseID=60",144
"Livestock",752,2018,"Public Private Partnerships for veterinary service delivery in Kenya","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Partial Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=752&phaseID=60",145
"PIM",753,2018,"Market assessment approaches for adoption of porcine cystycercosis vaccine in Uganda","Stage 3: available/ ready for uptake (AV)","Social Science","Partial Contribution","GALVmed","","National","UG","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=753&phaseID=60",146
"PIM",317,2018,"Valuation of the general public's willingness to pay for the ecosystem services generated by on farm conservation of quinoa agrobiodiversity","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","BIOVERSITY","","National","PE","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=317&phaseID=57",148
"A4NH",592,2018,"Zoonoses training manual for slaughterhouse workers","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","OTHER","VSF-Germany","","National","KE","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=592&phaseID=59",155
"A4NH",684,2018,"Use of nudges to improve food safety","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","ILRI","","National","VN","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=684&phaseID=59",160
"A4NH",719,2018,"Aflatoxin mitigation and control: Aflasafe MZ02 for Mozambique","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","OTHER","IITA","","National","MZ","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=719&phaseID=59",164
"FTA",573,2018,"Community conversation as a gender transformative approach in livestock health management","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","ILRI","","National","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=573&phaseID=60",167
"Rice",532,2018,"Solar Bubble dryer in Nepal","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","NP","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=532&phaseID=189",175
"Rice",607,2018,"Rice Doctor Odiya","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","IN","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=607&phaseID=189",186
"Rice",609,2018,"AutoMonPH- a decision tool for system level water management using AWD principle","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","PH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=609&phaseID=189",188
"Rice",610,2018,"Improved water governance","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","BD","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=610&phaseID=189",189
"Rice",611,2018,"EasyHarvest: Web based tool for linking farmers with harvesting contract service providers","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","PH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=611&phaseID=189",190
"Rice",615,2018,"SeedCast mobile app","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","IRRI","","National","IN","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=615&phaseID=189",193
"Rice",618,2018,"Rice straw pelletizing","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","VN","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=618&phaseID=189",196
"Rice",619,2018,"Novel rice straw mushroom production Business Models (Training Manual)","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","IRRI","","National","VN","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=619&phaseID=189",197
"Rice",620,2018,"Anaerobic digestion of rice straw, household batch system","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IRRI","","National","PH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=620&phaseID=189",198
"Rice",621,2018,"A novel combination of the 'adaptive research' methodology with the Learning Alliance approach","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","Lead Contribution","IRRI","","National","MM","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=621&phaseID=189",199
"Rice",623,2018,"Vocational training program for Agricultural Machinery Mechanics","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","IRRI","","National","KH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=623&phaseID=189",201
"Rice",650,2018,"Flood-tolerant rice varieties for Bangladesh (sub1)","Stage 4: uptake by next user (USE)","Genetic (varieties and breeds)","Lead Contribution","IRRI","","National","BD","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=650&phaseID=189",204
"Rice",651,2018,"Premium Quality Rice (PQR) varieties BRRI Dhan 50 and BRRI Dhan 63","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Lead Contribution","BRRI","","National","BD","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=651&phaseID=189",205
"Maize",579,2018,"Integrated weed management (IWM) Integrated weed management (IWM)  complex weed flora in rice, maize, and wheat","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Partial Contribution","BRRI","","National","BD","","https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=579&phaseID=63",216
"A4NH",383,2018,"Vit A Maize: PVA SYN 6 F2","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","CM","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=383&phaseID=59",222
"A4NH",384,2018,"Vit A Maize variety: PVA SYN 13 F2","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","CM","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=384&phaseID=59",223
"A4NH",385,2018,"Zinc Maize variety: BIO-MZn01","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","CO","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=385&phaseID=59",224
"A4NH",389,2018,"Zinc Maize variety: ICTA HB-18ACP+Zn","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","GT","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=389&phaseID=59",225
"A4NH",390,2018,"Zinc Maize variety: ICTA B-15ACP+Zn","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","GT","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=390&phaseID=59",226
"A4NH",391,2018,"Iron Pearl Millet variety: HHB 311 (MH 2179)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","IN","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=391&phaseID=59",227
"A4NH",392,2018,"Iron Pearl Millet variety: RHB 234 (MH 2174)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","IN","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=392&phaseID=59",228
"A4NH",393,2018,"Iron Pearl Millet variety: AHB 1269 (MH 2185)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","IN","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=393&phaseID=59",229
"A4NH",394,2018,"Iron Pearl Millet variety: RHB 233 (MH 2173)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","IN","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=394&phaseID=59",230
"A4NH",395,2018,"Vit A Maize variety: MH46A","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=395&phaseID=59",231
"A4NH",396,2018,"Zinc Rice variety: INPARI IR Nutri Zinc","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","ID","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=396&phaseID=59",232
"A4NH",397,2018,"Vit A Maize variety: MH45A","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=397&phaseID=59",233
"A4NH",398,2018,"Vit A Maize variety: MH47A","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=398&phaseID=59",234
"A4NH",399,2018,"Vit A Maize variety: MH48A","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=399&phaseID=59",235
"A4NH",400,2018,"Vit A Maize variety: MH49A","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=400&phaseID=59",236
"A4NH",401,2018,"Zinc Wheat variety: Nohely F2018","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","MX","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=401&phaseID=59",237
"A4NH",402,2018,"Zinc Maize variety: Fortinica","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","NI","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=402&phaseID=59",238
"A4NH",403,2018,"Zinc Maize variety: Nutre-Mas","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","NI","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=403&phaseID=59",239
"FTA",404,2018,"Iron Pearl Millet variety: Chakti (ICTP 8203)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","HarvestPlus","","National","NE","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=404&phaseID=59",240
"FTA",787,2018,"Protocol for Local Ecosystems-Based Adaptation  in Community Forestry","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","UN Environment","","National","GM","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=787&phaseID=61",248
"FTA",789,2018,"Performance-Based Financing tool for local level sustainable enterprise finance in community forestry","Stage 3: available/ ready for uptake (AV)","Social Science","Lead Contribution","ICRAF","","National","CM","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=789&phaseID=61",249
"CCAFS",790,2018,"Web Platform for linking Community Forestry Information in the Gambia. Integrates quantitative and qualitative information for monitoring and planning","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","UN Environment","","National","GM","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=790&phaseID=61",250
"Rice",865,2019,"Line 23 for unfavorable ecosystems","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Lead Contribution","","","National","CO","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=865&phaseID=192",253
"Rice",857,2019,"Variety SENACA FL-09","Stage 4: uptake by next user (USE)","Genetic (varieties and breeds)","Partial Contribution","","","National","EC","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=857&phaseID=192",254
"Rice",860,2019,"Eight (8) rice varieties from CIAT/FLAR origin, available for farmers in Costa Rica, adapted to direct seeding planting system","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","National","CR","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=860&phaseID=192",255
"Rice",863,2019,"Variety SENACA FL 11","Stage 4: uptake by next user (USE)","Genetic (varieties and breeds)","Partial Contribution","","","National","EC","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=863&phaseID=192",256
"Rice",868,2019,"Two (2) high-yielding and long-grained rice varieties available for seeds production and commercialization in Mexico","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","","","National","MX","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=868&phaseID=192",257
"Rice",870,2019,"Rice lines with 25 ppm Zinc considered for release by Colombia","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","","","National","CO","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=870&phaseID=192",258
"Rice",874,2019,"One rice variety available for seeds production and commercialization in Guyana","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","","","National","GY","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=874&phaseID=192",259
"PIM",877,2019,"MAC 18 FL: a widely grown rice variety in Bolivia with preferred grain appearance and cooking quality","Stage 4: uptake by next user (USE)","Genetic (varieties and breeds)","Partial Contribution","CIAT","","National","BO","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=877&phaseID=192",260
"A4NH",531,2018,"Evaluating farm agro-biodiversity using the Biodiversity Friend methodology","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","","","National","CU","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=531&phaseID=58",262
"A4NH",630,2018,"Mainstreaming behavior change communications into agricultural projects in Uganda","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","BIOVERSITY","","National","UG","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=630&phaseID=59",264
"CCAFS",1094,2019,"School-on-the-air on Climate-Smart Agriculture (SOA-CSA) in Cagayan Valley","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","PFRB","","National","PH","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1094&phaseID=101",270
"CCAFS",1135,2019,"Carbon Footprint Assessment Model for Chinese Dairy Sector","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","CAAS","","National","CN","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1135&phaseID=101",273
"CCAFS",1140,2019,"AClimateColombia climate services platform","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","CIAT","","National","CO","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1140&phaseID=101",274
"CCAFS",1313,2019,"Using catalytic public capital to leverage the design of a private capital-based CSA investment vehicle","Stage 1: discovery/proof of concept (PC - end of research phase)","Other","OTHER","CIAT","","National","BR","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1313&phaseID=101",277
"PIM",1475,2019,"CCAFS-validated animal nutrition model for methane emissions in Colombia:  a tool to develop low-emission livestock options and strategy","Stage 4: uptake by next user (USE)","Production systems and Management practices","OTHER","CIAT","","National","CO","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1475&phaseID=101",279
"WLE",1334,2019,"Ethiopian Ministry of Agriculture’s first data sharing policy put in place, showing benefits of data analytics on food security and landscape health issues including fertilizer dosage","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","CIAT","","National","ET","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1334&phaseID=103",293
"WLE",1335,2019,"Building on the social capital of Community Seed Banks to go beyond seed dissemination for multiple uses including landscape management (eg. participatory selection of genetically diverse crops, landscape restoration)","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","BIOVERSITY","","National","ET","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1335&phaseID=103",294
"WLE",1497,2019,"Business model for landscape restoration called LandscapeCPR developed for Kenya (Makueni County). This business model was selected as one of 8 finalists of the Climate Lab.","Stage 1: discovery/proof of concept (PC - end of research phase)","Other","OTHER","CIAT","","National","KE","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1497&phaseID=103",295
"A4NH",1268,2019,"Food Based Dietary Guidelines, which provide dietary recommendations for Ethiopians two years and older for increased diet quality, including diversity and food safety for optimal health","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","WUR","","National","ET","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1268&phaseID=104",302
"A4NH",1367,2019,"Muracho: variety of biofortified vitamin A banana/plantain","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","ISABU Burundi","","National","BI","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1367&phaseID=104",305
"A4NH",1368,2019,"Muracho: variety of biofortified vitamin A banana/plantain","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","INERA DRC","","National","CD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1368&phaseID=104",306
"A4NH",1369,2019,"Pisang Papan: variety of biofortified vitamin A banana/plantain","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","INERA DRC","","National","CD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1369&phaseID=104",307
