Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Pop growth rate
"Kuwait",152251,164017,174287,182833,189856,195987,202317,210366,221984,239197,263718,296442,336991,383526,433288,484205,535698,588171,641694,696610,753142,811187,870446,930744,991885,1053753,1116083,1178930,1242872,1308718,1376963,1445699,1514013,1584310,1659961,1742083,1835819,1937316,2028166,2083550,2087687,2031004,1924077,1795976,1687552,1627911,1628120,1678812,1763693,1857217,1940786,2009588,2069816,2126786,2189485,2264014,2351441,2447818,2548351,2646286,2736732,2818042,2891553,2959015,18.43511044262435
"Kyrgyzstan",1740000,1763226,1791952,1825123,1862068,1902499,1946540,1994697,2047784,2106792,2172500,2245062,2323642,2406263,2490244,2573494,2655349,2735838,2814423,2890720,2964499,3035474,3103694,3169771,3234611,3299001,3362961,3426646,3491143,3557793,3627499,3700312,3775764,3853514,3933002,4013498,4095873,4179484,4260325,4333114,4394502,4441582,4476402,4506563,4542747,4592135,4658815,4739263,4823870,4898865,4954850,4987944,5002691,5008348,5018366,5042381,5083724,5139213,5204104,5270894,5334223,5392580,5448085,5503253,2.16278908045977
"Laos",1682917,1724429,1766485,1809151,1852491,1896569,1941441,1987164,2033789,2081371,2129968,2179647,2230493,2282604,2336091,2391060,2447006,2503880,2562718,2624932,2691207,2762977,2839169,2914999,2983956,3041847,3086518,3120663,3150906,3186599,3234555,3296978,3372093,3457860,3550669,3647754,3748525,3853600,3962714,4075767,4192414,4312348,4434570,4557216,4677981,4795112,4907960,5016576,5120845,5220920,5317060,5408912,5496700,5582028,5667055,5753341,5841572,5931385,6022001,6112143,6200894,6288037,6373934,6458911,2.8379260533941961
"Latvia",1949000,1954910,1965231,1979138,1995922,2014992,2035877,2058224,2081785,2106392,2131890,2158063,2184569,2210916,2236535,2261016,2284026,2305578,2326027,2345942,2365705,2385524,2405177,2424107,2441537,2456971,2470206,2481606,2491929,2502245,2513349,2524804,2536323,2548940,2563992,2582011,2604319,2629552,2652332,2665405,2663905,2645539,2612722,2571110,2528893,2492095,2462617,2438994,2419819,2402452,2384972,2367302,2350340,2334225,2319229,2305528,2293080,2281693,2271198,2261380,2252060,2243142,2234572,2226260,0.14225756798358136
"Lebanon",1442826,1466906,1499688,1539212,1583837,1632254,1683491,1736903,1792134,1849055,1907573,1967434,2028043,2088392,2147273,2203902,2256917,2306528,2355380,2407221,2464286,2528423,2597588,2665458,2723330,2765289,2788641,2796136,2794001,2791308,2794638,2807342,2827767,2851609,2872204,2885481,2888455,2884778,2884840,2902893,2948372,3026061,3130785,3249799,3364891,3462974,3539137,3597350,3644171,3690033,3742329,3802903,3868504,3935421,3998042,4052420,4097457,4134872,4166915,4196990,4227597,4259405,4291719,4324060,1.996937953710288
"Lesotho",733942,744344,754883,765602,776556,787810,799442,811540,824201,837523,851594,866469,882163,898637,915820,933664,952235,971576,991576,1012087,1033044,1054333,1076100,1098849,1123261,1149797,1178551,1209290,1241725,1275421,1309981,1345398,1381537,1417720,1453098,1487079,1519369,1550144,1579900,1609386,1639177,1669190,1699284,1729896,1761558,1794531,1829222,1865218,1900962,1934337,1963878,1988983,2010261,2028976,2047006,2065752,2085561,2106128,2127412,2149201,2171318,2193843,2216850,2240126,2.052183960040439
"Liberia",911140,925211,940884,958098,976786,996880,1018303,1040978,1064823,1089763,1115736,1142713,1170708,1199785,1230038,1261555,1294368,1328506,1364046,1401077,1439677,1479831,1521565,1565044,1610474,1657971,1706539,1755815,1807164,1862497,1922536,1988931,2059483,2126455,2179471,2211509,2221350,2212690,2189831,2159264,2127098,2091355,2054179,2030591,2039922,2094591,2203809,2360511,2540835,2710963,2847290,2939296,2996082,3037412,3092721,3182539,3313718,3477197,3658460,3835929,3994122,4128572,4244684,4348740,3.7728559826151855
"Libya",1029010,1035282,1048211,1067811,1093883,1126017,1163569,1205683,1251337,1299425,1349004,1399552,1451196,1504811,1561744,1622996,1688870,1759132,1833611,1911968,1994000,2079897,2169965,2264278,2362900,2466000,2572300,2681887,2797780,2924086,3063000,3216430,3381390,3549220,3708142,3849801,3970886,4074021,4164147,4249018,4334459,4421885,4509970,4598629,4687106,4775009,4862665,4951076,5041233,5134324,5231189,5331311,5434293,5541062,5652797,5769709,5893738,6023053,6149620,6262667,6355112,6422772,6469497,6506095,5.3226742208530533
"Liechtenstein",13757,13944,14133,14340,14571,14833,15127,15452,15804,16176,16561,16956,17362,17785,18235,18717,19236,19782,20335,20867,21358,21799,22196,22563,22922,23288,23665,24048,24436,24825,25213,25600,25990,26377,26761,27140,27511,27878,28243,28611,28986,29370,29760,30154,30549,30941,31328,31710,32090,32470,32853,33239,33626,34006,34365,34696,34995,35266,35521,35772,36032,36304,36584,36871,1.6801628261975723
"Lithuania",2567402,2569619,2578052,2591358,2608493,2628706,2651564,2676930,2704918,2735814,2769849,2806938,2846474,2887227,2927610,2966462,3003168,3037887,3071192,3104044,3137113,3170575,3204064,3237070,3268867,3298964,3327193,3353830,3379395,3404630,3430089,3455403,3480356,3505769,3532724,3561668,3593334,3626602,3657818,3682059,3695890,3698095,3689943,3673606,3652438,3629104,3604044,3577128,3549816,3523732,3500028,3479622,3462402,3447170,3432060,3415748,3397895,3379043,3359799,3341097,3323611,3307481,3292454,3278337,0.27690832989925229
"Luxembourg",296001,297212,299060,301140,303172,305000,306598,308067,309611,311508,314002,317204,320992,324974,328603,331505,333465,334657,335573,336922,339184,342560,346805,351409,355635,358956,361239,362669,363435,363846,364158,364405,364589,364897,365550,366716,368467,370806,373733,377218,381225,385755,390778,396179,401804,407522,413377,419355,425216,430650,435491,439509,442882,446340,450888,457197,465586,475714,486781,497637,507448,515941,523362,530018,0.79059530204289841
"Macao, China",196482,195949,193741,190284,186029,181445,177036,173324,170837,170081,171450,175129,181020,188698,197519,206906,216869,227256,237127,245308,250995,253879,254280,252843,250548,248211,245913,243725,242455,243067,246230,252251,260913,271665,283662,296210,309212,322637,335931,348443,359709,369493,377886,385193,391906,398426,404808,411050,417435,424292,431867,440265,449472,459456,470127,481390,493267,505709,518463,531195,543656,555731,567441,578844,1.9460408587046141
"Macedonia, FYR",1229700,1266781,1297548,1322002,1340508,1353798,1363000,1369605,1375395,1382299,1391996,1405483,1422698,1442355,1462410,1481397,1498995,1515804,1532371,1549553,1567968,1587484,1607799,1629127,1651721,1675598,1701231,1728165,1754389,1777205,1794830,1806228,1812327,1815719,1820117,1828148,1840767,1857034,1875387,1893409,1909353,1922774,1934265,1944343,1953874,1963484,1973283,1982994,1992404,2001178,2009091,2016075,2022255,2027819,2033039,2038109,2043091,2047922,2052524,2056769,2060563,2063893,2066785,2069219,0.68270228511018938
"Madagascar",4083554,4168939,4258186,4351132,4447673,4547759,4651404,4758677,4869698,4984631,5103652,5226922,5354559,5486625,5623161,5764278,5909996,6060590,6216739,6379309,6548922,6725666,6909376,7100076,7297711,7502097,7713983,7933128,8157215,8383124,8608964,8833875,9059559,9289882,9530197,9784559,10054543,10339739,10639804,10953663,11280625,11620718,11974724,12343496,12728117,13129227,13547271,13981666,14430739,14892172,15364272,15846412,16338968,16842482,17357913,17885967,18426870,18980391,19546282,20124150,20713819,21315135,21928518,22555046,4.5233862463922359
"Malawi",2880700,2930156,2984164,3041877,3102675,3166157,3232162,3300751,3372183,3446871,3525246,3607612,3694022,3784224,3877813,3974682,4074649,4178378,4287627,4404709,4531280,4667889,4814073,4969175,5132087,5301861,5481074,5670199,5863933,6055046,6239898,6409111,6567327,6741249,6967388,7268257,7661008,8128340,8616602,9051225,9380892,9583696,9681728,9721620,9772164,9883350,10070605,10319125,10612353,10922265,11228756,11529337,11833102,12144945,12472794,12822587,13195329,13589404,14005113,14442290,14900841,15380888,15882815,16406945,4.6954715867671055
"Malaysia",6109907,6261928,6433126,6618149,6813133,7015713,7225097,7441991,7668339,7906924,8160113,8428536,8709925,8998621,9286976,9569499,9844029,10112042,10376210,10640883,10909353,11182967,11461117,11742976,12027040,12312736,12600292,12891897,13191366,13503629,13832586,14178739,14542156,14925545,15331937,15762856,16220169,16701745,17200067,17704839,18208562,18707774,19204087,19701263,20205446,20720810,21247102,21781499,22322448,22867698,23414909,23964621,24515323,25060184,25590453,26100241,26586287,27051142,27502008,27949395,28401017,28859154,29321798,29787203,3.87523017944463
"Maldives",79293,78614,77940,77273,78684,79642,81492,83454,85523,87716,90050,92526,95115,97757,100370,102909,105325,107659,110056,112714,115772,119308,123266,127491,131752,135895,139851,143701,147623,151872,156626,161931,167708,173861,180238,186720,193275,199898,206522,213067,219474,225709,231756,237606,243256,248712,253960,259002,263867,268600,273236,277791,282266,286665,290988,295240,299419,303539,307632,311739,315885,320081,324313,328551,3.1435057319057167
"Mali",4637633,4693573,4750451,4808476,4867776,4928400,4990311,5053392,5117468,5182338,5247877,5314146,5381485,5450558,5522231,5597238,5675700,5757783,5844286,5936162,6034022,6138428,6249101,6364760,6483570,6604259,6725776,6848536,6974443,7106248,7245598,7394730,7552338,7712392,7866571,8009705,8139016,8258615,8378673,8513337,8672868,8861362,9076261,9313042,9564231,9824510,10092753,10371338,10662517,10969725,11295324,11639798,12001887,12380104,12772264,13176642,13592796,14020786,14459990,14909813,15369809,15839538,16318897,16808242,2.624314817494183
"Malta",311997,312918,313514,313903,314164,314341,314436,314412,314204,313725,312905,311724,310249,308639,307119,305851,304939,304369,304047,303822,303607,303338,303123,303243,304083,305898,308788,312621,317130,321925,326709,331406,336046,340572,344944,349135,353069,356736,360256,363812,367524,371455,375533,379574,383314,386576,389277,391499,393429,395339,397420,399746,402244,404787,407183,409295,411084,412608,413946,415220,416515,417855,419212,420557,0.34795206364163755
"Marshall Islands",13000,13218,13432,13621,13774,13893,13987,14081,14201,14384,14661,15050,15543,16109,16700,17282,17839,18387,18965,19622,20397,21309,22340,23439,24534,25578,26547,27467,28396,29414,30578,31891,33330,34890,36562,38327,40196,42140,44054,45802,47288,48469,49369,50040,50565,51008,51389,51697,51930,52080,52145,52131,52066,51992,51968,52037,52210,52487,52880,53396,54038,54816,55717,56687,3.3605384615384617
"Martinique",222001,224450,228328,233349,239254,245807,252801,260053,267404,274714,281865,288745,295246,301263,306700,311488,315566,318932,321649,323829,325561,326918,327918,328542,328748,328542,327897,326945,326056,325713,326254,327810,330273,333448,337024,340749,344615,348630,352584,356223,359377,361915,363904,365618,367459,369709,372461,375604,378962,382276,385349,388133,390681,393022,395211,397292,399262,401101,402804,404376,405814,407121,408302,409366,0.84398268476268123
"Mauritania",657182,672223,688526,705979,724485,743964,764349,785592,807656,830520,854167,878589,903773,929704,956369,983773,1011900,1040792,1070585,1101457,1133539,1166883,1201462,1237242,1274150,1312132,1351167,1391261,1432406,1474597,1517817,1562144,1607553,1653818,1700638,1747839,1795343,1843352,1892328,1942900,1995548,2050456,2107590,2166948,2228453,2292053,2357678,2425374,2495316,2567741,2642743,2720367,2800333,2882003,2964526,3047249,3129959,3212672,3295254,3377630,3459773,3541540,3622961,3704414,4.636815980961134
"Mauritius",493254,506393,521087,536859,553338,570258,587465,604913,622642,640758,659351,678408,697738,716944,735508,753065,769472,784833,799329,813258,826862,840108,852981,865777,878870,892492,906825,921718,936660,950931,964023,975852,986620,996476,1005669,1014450,1022704,1030542,1038704,1048161,1059548,1073250,1088939,1105659,1122040,1137098,1150448,1162388,1173451,1184470,1196027,1208279,1220935,1233594,1245669,1256742,1266684,1275650,1283849,1291609,1299172,1306593,1313803,1320785,1.6776974945971039
"Mayotte",15141,15742,16468,17277,18138,19032,19951,20897,21885,22932,24055,25262,26542,27861,29175,30455,31684,32881,34087,35364,36755,38290,39955,41712,43495,45268,47016,48777,50630,52684,55016,57665,60618,63844,67287,70912,74685,78630,82829,87402,92413,97901,103795,109918,116028,121949,127624,133089,138384,143585,148753,153887,158983,164101,169315,174681,180217,185922,191805,197870,204114,210552,217172,223907,13.788124958721353
"Mexico",27865814,28614984,29465877,30402868,31412046,32481214,33599909,34759382,35952533,37173800,38418829,39684127,40966751,42264182,43574687,44898430,46229966,47572205,48943844,50370262,51868335,53441943,55081201,56771626,58492118,60224601,61969362,63723359,65461471,67152555,68776411,70318386,71788766,73223336,74673296,76175154,77741110,79358780,81010093,82666457,84306602,85923799,87523328,89109703,90691331,92272749,93858373,95441345,97001933,98513690,99959594,101329543,102634153,103902569,105175967,106483757,107835259,109220753,110627158,112033369,113423047,114793341,116146768,117478371,3.2158600139942077
"Micronesia, Fed. Sts.",32000,33396,34590,35686,36767,37888,39085,40366,41719,43120,44536,45954,47385,48873,50481,52236,54199,56322,58403,60166,61431,62105,62297,62288,62474,63143,64383,66106,68217,70546,72962,75456,78048,80667,83232,85682,87950,90037,92040,94105,96319,98749,101314,103780,105825,107233,107904,107947,107605,107237,107103,107290,107728,108325,108926,109419,109789,110092,110367,110676,111064,111542,112098,112726,2.5226875
"Moldova",2341003,2381454,2432109,2491076,2556587,2626997,2700778,2776526,2852962,2928944,3003500,3075852,3145451,3211980,3275331,3335497,3391966,3444753,3495063,3544593,3594501,3645524,3697183,3747974,3795721,3838998,3877052,3910760,3942280,3974656,4009998,4048772,4090009,4132576,4174737,4214996,4252952,4288276,4319579,4345236,4363950,4375242,4378913,4374366,4361061,4338750,4307683,4268370,4221290,4167099,4106736,4040204,3968812,3896409,3827906,3766876,3714961,3671540,3635059,3602853,3572885,3544864,3519266,3495657,0.493230465744811
"Monaco",20000,19868,19846,19933,20121,20396,20737,21114,21496,21847,22135,22343,22477,22562,22643,22749,22886,23046,23234,23448,23689,23968,24282,24605,24902,25153,25341,25482,25617,25802,26078,26459,26930,27459,28004,28533,29036,29521,29990,30447,30896,31330,31745,32154,32574,33014,33485,33974,34444,34840,35126,35288,35341,35323,35282,35260,35267,35295,35336,35377,35407,35427,35444,35456,0.77279999999999993
"Mongolia",780200,793846,808494,823840,839736,856184,873350,891555,911239,932921,957044,983822,1013100,1044297,1076571,1109312,1142272,1175616,1209647,1244846,1281535,1319817,1359478,1400150,1441311,1482599,1523908,1565380,1607212,1649710,1693122,1736994,1781213,1826717,1874774,1926002,1981170,2039204,2096653,2148850,2192553,2226469,2251861,2271236,2288370,2306131,2325369,2345618,2366895,2388862,2411369,2434515,2458853,2485177,2514462,2547339,2584143,2624509,2667474,2711659,2756001,2800114,2844081,2887863,2.7014393745193539
"Montenegro",398539,401735,407165,413925,421324,428881,436342,443661,450979,458567,466674,475371,484408,493148,500745,506646,510527,512701,514031,515746,518727,523214,528905,535454,542304,548999,555632,562247,568285,573036,576069,577041,576292,574920,574459,575997,579821,585546,592740,600697,608816,617144,625630,633443,639542,643227,644121,642533,639309,635689,632606,630299,628594,627500,626912,626739,627074,627962,629185,630435,631490,632261,632796,633167,0.58872030089903382
"Montserrat",13521,14118,14481,14616,14540,14285,13890,13411,12908,12451,12095,11877,11793,11802,11834,11839,11806,11754,11693,11644,11622,11626,11646,11680,11723,11770,11821,11875,11917,11931,11906,11837,11727,11592,11446,11307,11165,11013,10871,10769,10714,10746,10842,10883,10707,10210,9329,8137,6832,5697,4931,4608,4660,4962,5322,5599,5760,5845,5876,5895,5934,5990,6046,6100,-0.54884993713482733
"Morocco",8953000,9167716,9390159,9623715,9870670,10132210,10408363,10698059,10999295,11309424,11625999,11947688,12275060,12610932,12959397,13323000,13703369,14098444,14502647,14908265,15309995,15706226,16099392,16493298,16893643,17304995,17726625,18158169,18604851,19073204,19566920,20088209,20633004,21190800,21747150,22291062,22818601,23330761,23827539,24310585,24781105,25237951,25679802,26107772,26523600,26928600,27323664,27708647,28082684,28444414,28793236,29129204,29453931,29770316,30082152,30392473,30702084,31011199,31321453,31634524,31951412,32272974,32598536,32925553,2.6776000223388809
"Mozambique",6442133,6535891,6636035,6742252,6854315,6972081,7095498,7224598,7359490,7500335,7647298,7800484,7959885,8125366,8296714,8473839,8657160,8847011,9043165,9245275,9453385,9665565,9882427,10109426,10353943,10620268,10908878,11214834,11530022,11843382,12145501,12441643,12731231,12992962,13199259,13334972,13384409,13365201,13336217,13378100,13547076,13867422,14318167,14854590,15409381,15933452,16412893,16862385,17295521,17735992,18200656,18691461,19200021,19721009,20246287,20770013,21290952,21811326,22332900,22858607,23390765,23929708,24475186,25028313,2.8850972185765182
"Myanmar",17157508,17463258,17786203,18127006,18485791,18862149,19255085,19663071,20084160,20516191,20957397,21407053,21866045,22337108,22824142,23330184,23854648,24397064,24960539,25548930,26164131,26807570,27475978,28160632,28849728,29534378,30210895,30880196,31543652,32204485,32864901,33524053,34179992,34832636,35481981,36127741,36770437,37409257,38041034,38661616,39268304,39855885,40425088,40985963,41552659,42133199,42735941,43352191,43952526,44496687,44957660,45323903,45609292,45843675,46070248,46321162,46605278,46915826,47250315,47601374,47963012,48336763,48724387,49119646,1.8628659826357068
"Namibia",485274,494611,504551,515039,526036,537519,549482,561936,574907,588430,602545,617283,632659,648669,665298,682554,700317,718623,737803,758305,780386,804310,829810,855970,881536,905652,928223,949709,970537,991357,1012824,1034636,1057115,1082264,1112679,1150038,1195331,1247573,1304005,1360710,1414830,1465201,1512524,1558055,1603865,1651352,1700975,1751872,1802579,1851034,1895839,1936399,1973408,2008342,2043339,2079951,2118653,2158984,2200422,2242078,2283289,2324004,2364433,2404477,3.9548852813049944
"Nauru",2953,3059,3191,3335,3479,3621,3760,3901,4052,4227,4433,4675,4947,5231,5500,5738,5936,6102,6241,6368,6493,6619,6743,6862,6972,7070,7156,7235,7311,7393,7488,7597,7719,7855,8007,8174,8356,8550,8752,8956,9157,9354,9544,9719,9863,9970,10033,10058,10056,10046,10041,10046,10057,10075,10094,10114,10133,10154,10180,10212,10255,10308,10370,10437,2.5343718252624448
"Nepal",8230991,8372203,8512546,8653473,8796252,8941972,9091534,9245658,9404902,9569700,9740462,9917687,10102057,10294480,10495972,10707313,10928950,11160972,11403306,11655685,11917872,12189968,12472000,12763547,13064044,13373069,13690544,14016547,14351017,14693930,15045329,15405456,15774532,16152598,16539682,16936006,17341408,17756510,18183258,18624187,19081064,19554170,20042806,20546441,21064150,21594872,22137784,22691788,23255046,23825372,24400606,24980184,25562573,26143530,26717875,27281945,27833665,28373838,28905358,29432743,29959364,30485798,31011137,31535507,2.8313135076930589
"Netherlands",10027047,10148830,10275906,10407381,10542570,10680990,10822380,10966682,11114008,11264566,11418460,11575478,11734901,11895425,12055386,12213435,12368832,12521308,12670558,12816446,12958757,13097251,13231426,13360546,13483746,13600423,13710713,13814863,13912617,14003707,14088274,14166213,14238594,14308217,14378740,14452941,14531566,14614382,14701901,14794378,14891719,14994691,15102709,15212612,15320112,15422165,15517122,15605817,15690705,15775532,15862825,15953446,16045935,16137709,16225091,16305457,16377959,16443483,16503263,16559268,16612988,16664746,16714228,16761552,0.67163393170491781
"Netherlands Antilles",111701,113989,116172,118328,120515,122768,125099,127501,129942,132380,134776,137108,139387,141665,144016,146480,149093,151808,154502,156998,159179,160998,162504,163794,165010,166261,167573,168928,170335,171792,173297,174837,176415,178058,179800,181650,183619,185649,187596,189274,190539,191402,191888,191899,191325,190124,188225,185762,183172,181033,179769,179516,180170,181607,183603,185967,188700,191788,194999,198037,200689,202847,204538,205860,0.84295574793421735
"New Caledonia",64824,64289,64453,65162,66293,67745,69442,71337,73400,75624,78005,80531,83171,85867,88549,91182,93684,96089,98617,101567,105134,109421,114294,119408,124283,128571,132158,135149,137700,140061,142424,144832,147247,149695,152190,154749,157383,160123,163039,166211,169689,173502,177618,181946,186358,190756,195116,199443,203708,207888,211965,215914,219741,223496,227258,231080,234976,238926,242911,246900,250870,254816,258735,262605,3.051045908922621
"New Zealand",1908001,1947802,1992618,2040015,2088196,2136002,2182946,2229178,2275394,2322671,2372000,2423770,2477327,2530790,2581577,2628004,2668595,2704213,2738299,2775713,2819597,2871885,2930577,2990130,3042757,3083108,3109010,3122855,3129440,3135831,3147183,3165407,3189133,3216318,3243586,3268709,3290651,3310922,3332798,3360829,3397983,3446005,3503125,3564531,3623421,3675060,3717342,3752131,3783470,3817367,3858032,3906830,3961978,4020769,4079130,4134117,4184903,4232461,4277809,4322628,4368136,4414509,4461257,4508166,1.362769201902934
"Nicaragua",1294993,1331280,1370643,1413030,1458307,1506256,1556566,1608844,1662633,1717451,1772895,1828750,1885094,1942338,2001105,2061878,2124754,2189679,2256800,2326261,2398160,2472476,2549185,2628337,2709983,2794083,2880571,2969183,3059408,3150596,3242190,3334287,3426782,3518721,3608911,3696667,3781070,3862724,3944304,4029509,4120797,4219176,4323263,4430182,4535802,4637040,4733164,4824799,4911886,4994730,5073704,5148635,5219724,5288271,5356012,5424336,5493527,5563654,5635577,5710230,5788163,5869859,5954898,6041763,3.6654792728609342
"Niger",2461726,2535752,2609713,2683898,2758676,2834493,2911882,2991457,3073885,3159855,3249965,3344605,3443850,3547421,3654806,3765632,3879910,3997810,4119299,4244349,4372957,4505018,4640560,4779869,4923337,5071204,5223853,5381141,5542178,5705724,5871030,6038229,6208128,6381552,6559627,6743501,6933529,7130570,7336924,7555416,7788198,8036341,8299868,8578542,8871631,9178575,9499892,9835945,10185812,10548219,10922421,11308134,11706182,12118322,12546945,12993884,13460138,13945662,14450007,14972257,15511953,16068994,16644339,17239826,6.0031457603323846
"Nigeria",37859746,38508635,39203265,39936661,40703560,41500415,42325458,43178636,44061400,44976361,45926253,46912826,47935878,48992838,50079946,51195706,52341981,53524049,54748444,56023503,57357275,58745411,60191508,61720304,63363756,65141058,67067499,69127157,71269619,73424869,75543388,77604166,79623647,81635550,83691577,85828707,88057486,90363921,92731304,95133496,97552057,99986136,102444773,104931559,107452627,110014688,112618306,115268715,117983368,120784408,123688536,126704722,129832447,133067097,136399438,139823340,143338939,146951477,150665730,154488072,158423182,162470737,166629383,170901148,3.5140595502146263
"Niue",4667,4682,4686,4686,4686,4691,4702,4722,4751,4787,4831,4880,4932,4987,5043,5097,5154,5208,5239,5219,5131,4963,4727,4455,4192,3973,3808,3689,3599,3510,3403,3273,3130,2981,2840,2716,2611,2522,2448,2385,2333,2292,2260,2233,2204,2168,2123,2069,2011,1953,1900,1852,1809,1768,1728,1686,1643,1598,1555,1511,1468,1426,1385,1346,-0.71159202914077568
"Northern Mariana Islands",6999,7089,7222,7417,7685,8026,8427,8864,9307,9721,10070,10340,10541,10709,10901,11157,11489,11882,12318,12766,13203,13658,14142,14605,14978,15232,15316,15293,15390,15906,17048,18906,21392,24308,27362,30341,33174,35906,38571,41244,43973,46727,49456,52161,54852,57517,60173,62766,65138,67075,68432,69184,69393,69105,68404,67381,66006,64349,62707,61473,60917,61174,62152,63597,8.0865837976853836
"Norway",3265000,3299431,3332263,3364169,3395643,3427000,3458366,3489693,3520775,3551305,3580998,3609745,3637730,3665487,3693750,3723001,3753376,3784577,3816102,3847232,3877383,3906490,3934529,3961021,3985401,4007312,4026586,4043440,4058407,4072258,4085621,4098699,4111566,4124588,4138150,4152560,4168003,4184566,4202325,4221299,4241485,4262932,4285620,4309369,4333931,4359096,4385139,4412092,4439248,4465664,4490859,4513953,4535599,4558660,4587046,4623298,4668802,4722016,4778959,4834002,4883111,4924848,4960482,4991997,0.52894241960183774
"Oman",456418,463724,472021,481071,490695,500770,511231,522071,533334,545106,557492,570581,584427,599034,614390,630553,647678,666021,685892,707663,731703,758060,787002,819375,856230,898286,945679,998100,1055217,1116489,1181337,1249858,1321650,1395032,1467846,1538575,1605464,1668734,1731168,1796822,1868055,1947042,2031377,2113398,2182619,2232018,2258730,2266469,2262969,2259398,2264163,2279171,2302874,2335967,2378336,2429510,2490620,2561187,2636963,2712141,2782435,2846145,2904037,2957333,5.4794398993904707
"Pakistan",37542380,38147097,38809200,39525185,40292359,41108839,41973583,42886361,43847662,44858549,45920204,47033454,48198347,49413973,50678979,51993059,53359180,54780499,56257610,57790852,59382651,61033754,62751275,64551904,66456937,68482526,70632133,72904319,75303460,77832927,80492664,83280137,86187238,89200001,92300277,95470380,98710951,102011892,105332464,108621443,111844679,114970102,118010303,121029915,124121817,127346713,130737306,134255952,137808222,141261069,144522192,147557907,150407242,153139895,155860066,158645463,161513324,164445596,167442258,170494367,173593383,176745364,179951140,183188847,3.8795214102036155
"Palau",7441,7497,7620,7797,8013,8259,8525,8802,9084,9364,9638,9901,10150,10381,10593,10782,10945,11081,11206,11335,11481,11656,11853,12045,12195,12280,12284,12225,12151,12127,12197,12383,12667,13015,13371,13698,13982,14237,14485,14762,15089,15471,15894,16345,16804,17254,17694,18122,18522,18876,19172,19402,19573,19698,19803,19906,20011,20118,20228,20346,20472,20609,20758,20922,1.8117188549926087
"Panama",860092,881197,903447,926957,951809,978034,1005631,1034551,1064719,1096027,1128378,1161708,1196016,1231377,1267907,1305667,1344667,1384801,1425871,1467612,1509822,1552391,1595314,1638624,1682398,1726672,1771458,1816673,1862142,1907645,1953029,1998261,2043413,2088590,2133947,2179624,2225634,2272029,2319035,2366933,2415926,2466083,2517356,2569672,2622903,2676926,2731717,2787228,2843276,2899636,2956126,3012635,3069123,3125565,3181969,3238321,3294583,3350673,3406487,3461901,3516820,3571185,3624991,3678264,3.2765936667240245
"Papua New Guinea",1708192,1729258,1750891,1773340,1796820,1821508,1847546,1875038,1904061,1934676,1966961,2001049,2037162,2075625,2116822,2161087,2208398,2258847,2312978,2371467,2434698,2503009,2576020,2652505,2730770,2809595,2888403,2967506,3047644,3129991,3215339,3304033,3395633,3489227,3583521,3677658,3771385,3865230,3960087,4057228,4157654,4261537,4368815,4479959,4595463,4715617,4840693,4970478,5104153,5240560,5378824,5518586,5659946,5803029,5948135,6095437,6244916,6396307,6549268,6703361,6858266,7013829,7170112,7327281,3.2894949748037687
"Paraguay",1473245,1511975,1551186,1591144,1632078,1674172,1717573,1762386,1808678,1856488,1905829,1956714,2009165,2063215,2118896,2176195,2235296,2296118,2358072,2420365,2482508,2544362,2606357,2669285,2734247,2802133,2873058,2947064,3024857,3107259,3194768,3287677,3385626,3487626,3592275,3698465,3805813,3914302,4023628,4133551,4243860,4354331,4464780,4575121,4685320,4795365,4905150,5014650,5124050,5233615,5343539,5453921,5564709,5675754,5786836,5897816,6008597,6119295,6230242,6341892,6454548,6568290,6682943,6798236,3.6144639893568282
"Peru",7632461,7821202,8020389,8228650,8445110,8669403,8901699,9142672,9393411,9655274,9929439,10216429,10515695,10825440,11143120,11466936,11796103,12131226,12473584,12825119,13187182,13559712,13941958,14333692,14734523,15143887,15561809,15987545,16418798,16852621,17286832,17720017,18152344,18585148,19020616,19460111,19903833,20350457,20797983,21243700,21685537,22122065,22553275,22980182,23404523,23827163,24248671,24667356,25079136,25478577,25861887,26228274,26579252,26916342,27242033,27558769,27866387,28166078,28463338,28765162,29076512,29399817,29733829,30075185,2.9404308780614796
"Philippines",18396520,19056037,19748049,20465543,21203425,21958518,22729664,23517620,24324766,25154610,26010295,26893021,27800656,28727140,29664173,30606162,31551090,32501839,33463836,34444983,35451392,36485095,37545635,38633697,39749340,40892836,42064468,43265378,44497521,45763245,47063923,48399114,49767259,51166963,52596291,54052849,55537110,57046529,58572071,60102139,61628668,63146876,64659225,66173874,67703053,69255386,70831419,72427130,74040838,75669587,77309965,78964389,80630416,82293990,83936698,85546427,87116275,88652631,90173139,91703090,93260798,94852030,96471461,98112780,4.3332249795069941
