Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,genmatch,img
"FIFA 14",2013,"Sports",96347.81,87377.48,57,69,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 14.png"
"FIFA 15",2014,"Sports",144373.99,116439.15,168,352,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 15.png"
"FIFA 16",2015,"Sports",117828.11,116883.94,61,28,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 16.png"
"FIFA 17",2016,"Sports",1482612.63,1482612.63,156,48,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 17.png"
"FIFA 18",2017,"Sports",2233697.69,2221267.08,235,48,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 18.png"
"FIFA 19",2018,"Sports",3242642.34,3233027.83,300,48,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 19.png"
"FIFA 20",2019,"Sports",2118402.84,1066026.82,297,61,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 20.png"
"FIFA 2001",2000,"Sports",46000,46000,9,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 2001.png"
"FIFA Online 3",2012,"Sports",1434341.9,1434341.9,88,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA Online 3.png"
"FIFA Online 4",2018,"Sports",1069240,679240,114,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA Online 4.png"
"Guitar Hero III Legends of Rock",2007,"Sports",19000,19000,8,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guitar Hero III Legends of Rock.png"
"Madden NFL 19",2018,"Sports",125000,125000,5,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 19.png"
"Madden NFL 2017",2016,"Sports",1004000,1004000,42,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2017.png"
"Madden NFL 2018",2017,"Sports",279676.62,20676.62,40,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2018.png"
"NBA 2K18",2017,"Sports",1000000,1000000,91,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/NBA 2K18.png"
"NHL '94",1993,"Sports",3818.56,3818.56,25,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL '94.png"
"NHL 12",2011,"Sports",702.93,702.93,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 12.png"
"NHL 14",2013,"Sports",3023.96,3023.96,6,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 14.png"
"NHL 15",2014,"Sports",3157.16,3157.16,3,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 15.png"
"NHL 18",2017,"Sports",102700,90000,20,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 18.png"
"NHL 19",2018,"Sports",22566.67,19566.67,10,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 19.png"
"Pro Evolution Soccer 2008",2007,"Sports",2084.15,2084.15,6,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2008.png"
"Pro Evolution Soccer 2016",2015,"Sports",27243.84,27243.84,17,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2016.png"
"Pro Evolution Soccer 2017",2016,"Sports",514697.71,514697.71,39,16,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2017.png"
"Pro Evolution Soccer 2018",2017,"Sports",250000,250000,20,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2018.png"
"Pro Evolution Soccer 2019",2019,"Sports",216000,216000,25,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2019.png"
"Pro Evolution Soccer 3",2003,"Sports",25000,25000,8,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 3.png"
"Pro Evolution Soccer 4",2004,"Sports",40550.64,40550.64,11,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 4.png"
"Pro Evolution Soccer 6",2006,"Sports",20216.82,20216.82,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 6.png"
"Rocket League",2015,"Sports",11713003.66,4105025.18,1379,1363,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rocket League.png"
"Artifact",2018,"Card Game",119178.54,11635.81,276,167,"Match","https://playerskev.blob.core.windows.net/nbaimage/Artifact.png"
"Gwent",2016,"Card Game",956277.17,755391.17,324,112,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gwent.png"
"Hand of the Gods",2017,"Card Game",94434.2,72500,48,36,"Match","https://playerskev.blob.core.windows.net/nbaimage/Hand of the Gods.png"
"Hearthstone",2014,"Card Game",24151978.24,18482179.57,2431,902,"Match","https://playerskev.blob.core.windows.net/nbaimage/Hearthstone.png"
"Magic The Gathering Arena",2018,"Card Game",6012000,5354000,241,38,"Match","https://playerskev.blob.core.windows.net/nbaimage/Magic The Gathering Arena.png"
"Magic The Gathering Online",2002,"Card Game",1218000,1218000,130,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Magic The Gathering Online.png"
"Shadowverse",2016,"Card Game",3211177.09,3080377.09,239,42,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shadowverse.png"
"Catherine",2011,"Strategy",1545,1470,11,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Catherine.png"
"Puyo Puyo Champions",2019,"Strategy",2482.3,2071.8,14,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Puyo Puyo Champions.png"
"Puyo Puyo Tetris",2014,"Strategy",3422.84,1617.75,31,16,"Match","https://playerskev.blob.core.windows.net/nbaimage/Puyo Puyo Tetris.png"
"Tetris",1989,"Strategy",26660.5,15500,41,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tetris.png"
"Apex Legends",2019,"Battle Royale",5194601.69,2014420.75,1227,289,"Match","https://playerskev.blob.core.windows.net/nbaimage/Apex Legends.png"
"Fortnite",2017,"Battle Royale",99362917.41,42124622.54,4459,673,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fortnite.png"
"Free Fire",2017,"Battle Royale",1306392.23,926242.23,321,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/Free Fire.png"
"H1Z1",2016,"Battle Royale",2067122,2067122,119,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/H1Z1.png"
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile",2017,"Battle Royale",11193572.02,9207728.67,1266,49,"Match","https://playerskev.blob.core.windows.net/nbaimage/PLAYERUNKNOWN'S BATTLEGROUNDS Mobile.png"
"PLAYERUNKNOWN’S BATTLEGROUNDS",2017,"Battle Royale",25605074.23,19896999.36,2942,322,"Match","https://playerskev.blob.core.windows.net/nbaimage/PLAYERUNKNOWN’S BATTLEGROUNDS.png"
"Gears 5",2019,"Shooter",1783000,680000,160,22,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears 5.png"
"Gears of War",2006,"Shooter",252195.57,252195.57,33,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears of War.png"
"Gears of War 2",2008,"Shooter",135000,135000,0,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears of War 2.png"
"Gears of War 3",2011,"Shooter",7255.81,4555.81,13,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears of War 3.png"
"Gears of War 4",2016,"Shooter",3087285,3055000,135,41,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears of War 4.png"
"Gears of War Ultimate Edition",2015,"Shooter",170000,170000,39,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gears of War Ultimate Edition.png"
"Age of Empires Online",2011,"Strategy",3778.56,0,17,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Age of Empires Online.png"
"Among Us",2018,"Strategy",66000,0,10,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Among Us.png"
"Chess.com",2007,"Strategy",1094988.94,0,636,190,"Match","https://playerskev.blob.core.windows.net/nbaimage/Chess.com.png"
"chess24",2014,"Strategy",1484696.09,0,63,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/chess24.png"
"Dead By Daylight",2016,"Strategy",60000,0,35,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead By Daylight.png"
"Dota Underlords",2019,"Strategy",26024.18,0,62,36,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dota Underlords.png"
"Endgods",2015,"Strategy",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Endgods.png"
"Iron Harvest",2020,"Strategy",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Iron Harvest.png"
"Lichess",2010,"Strategy",1173811.93,0,311,103,"Match","https://playerskev.blob.core.windows.net/nbaimage/Lichess.png"
"Playchess.com",2002,"Strategy",32866.58,0,116,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Playchess.com.png"
"Prophecy",2020,"Strategy",13000,0,27,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Prophecy.png"
"Sea of Thieves",2016,"Strategy",100000,0,67,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Sea of Thieves.png"
"UNO",2016,"Strategy",20000,0,16,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/UNO.png"
"Warhammer 40,000 Dawn of War II",2009,"Strategy",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Warhammer 40,000 Dawn of War II.png"
"Warparty",2019,"Strategy",1175,0,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Warparty.png"
"Battlefield 1",2016,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 1.png"
"Battlefield 5",2018,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 5.png"
"Beat Aim",2019,"Shooter",430,0,12,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Beat Aim.png"
"Black Squad",2017,"Shooter",8480.72,0,57,17,"Match","https://playerskev.blob.core.windows.net/nbaimage/Black Squad.png"
"Call of Duty Black Ops Cold War",2020,"Shooter",248000,0,83,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Black Ops Cold War.png"
"Call of Duty Mobile",2019,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Mobile.png"
"Call of Duty Warzone",2020,"Shooter",3241802.12,0,734,123,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Warzone.png"
"Echo Arena",2017,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Echo Arena.png"
"Escape from Tarkov",2020,"Shooter",114600,0,150,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Escape from Tarkov.png"
"Gray Basin",2015,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gray Basin.png"
"Halo Infinite",2020,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo Infinite.png"
"Ironsight",2018,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ironsight.png"
"Islands of Nyne",2017,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Islands of Nyne.png"
"Metal Gear Online",2008,"Shooter",8000,0,37,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Metal Gear Online.png"
"Realm Royale",2018,"Shooter",263000,0,47,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Realm Royale.png"
"Splatoon",2015,"Shooter",1390,0,3,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Splatoon.png"
"Sudden Attack",2005,"Shooter",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Sudden Attack.png"
"Unreal Tournament (2016)",2016,"Shooter",5084.97,0,82,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Unreal Tournament (2016).png"
"Dofus",2004,"Multiplayer Online Battle Arena",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dofus.png"
"Hyper Scape",2020,"Multiplayer Online Battle Arena",299000,0,260,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Hyper Scape.png"
"Splitgate Arena Warfare",2019,"Multiplayer Online Battle Arena",50000,0,64,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Splitgate Arena Warfare.png"
"Teeworlds",2007,"Multiplayer Online Battle Arena",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Teeworlds.png"
"Stardew Valley",2016,"Role-Playing",54250,0,56,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Stardew Valley.png"
"Attack on Titan Tribute Game",2013,"Fighting Game",108650,0,21,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/Attack on Titan Tribute Game.png"
"Brawlout",2017,"Fighting Game",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Brawlout.png"
"Dead or Alive 5",2012,"Fighting Game",0,0,4,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive 5.png"
"Dead or Alive 5 Ultimate",2013,"Fighting Game",0,0,37,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive 5 Ultimate.png"
"Def Jam Fight for NY",2004,"Fighting Game",190,0,4,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Def Jam Fight for NY.png"
"Digimon Rumble Arena",2001,"Fighting Game",200,0,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Digimon Rumble Arena.png"
"Duck Game",2014,"Fighting Game",750,0,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Duck Game.png"
"Eternal Fighter Zero",2000,"Fighting Game",1311.6,0,7,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Eternal Fighter Zero.png"
"Fight of Animals",2019,"Fighting Game",630.68,0,9,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fight of Animals.png"
"Guilty Gear XX",2002,"Fighting Game",0,0,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX.png"
"JoJo's Bizarre Adventure Heritage for the Future",1999,"Fighting Game",284.99,0,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/JoJo's Bizarre Adventure Heritage for the Future.png"
"Melty Blood Actress Again",2009,"Fighting Game",0,0,10,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Melty Blood Actress Again.png"
"Mordhau",2019,"Fighting Game",16623,0,40,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mordhau.png"
"Tekken Tag Tournament",1999,"Fighting Game",0,0,7,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken Tag Tournament.png"
"TowerFall Ascension",2013,"Fighting Game",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/TowerFall Ascension.png"
"Virtua Fighter 4 Evolution",2002,"Fighting Game",0,0,6,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Virtua Fighter 4 Evolution.png"
"WWE 2K20",2019,"Sports",50000,0,20,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/WWE 2K20.png"
"Assetto Corsa Competizione",2018,"Sports",5338,0,10,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/Assetto Corsa Competizione.png"
"F1 2020",2020,"Sports",751947,0,39,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/F1 2020.png"
"NASCAR Heat 4",2019,"Sports",200500,0,34,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/NASCAR Heat 4.png"
"rFactor",2005,"Sports",15083.56,0,51,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/rFactor.png"
"Trackmania (2020)",2020,"Sports",67266.66,0,123,84,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trackmania (2020).png"
"Trackmania Turbo",2016,"Sports",679.41,0,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trackmania Turbo.png"
"Trackmania United Forever",2008,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trackmania United Forever.png"
"Trials Fusion",2014,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trials Fusion.png"
"Dream league Soccer",2019,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dream league Soccer.png"
"FIFA 21",2020,"Sports",60000,0,34,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 21.png"
"Guitar Hero World Tour",2008,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guitar Hero World Tour.png"
"Mario Tennis Aces",2018,"Sports",61.3,0,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mario Tennis Aces.png"
"NBA 2K Online",2012,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/NBA 2K Online.png"
"NBA 2K19",2018,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/NBA 2K19.png"
"NHL 17",2016,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 17.png"
"Pro Evolution Soccer 2009",2008,"Sports",1395.97,0,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2009.png"
"Pro Evolution Soccer 2013",2012,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2013.png"
"Soccer Stars",2018,"Sports",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soccer Stars.png"
"Zwift",2015,"Sports",33827.08,0,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Zwift.png"
"Artifact 2.0",2020,"Card Game",752,0,21,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Artifact 2.0.png"
"Faeria",2017,"Card Game",4100,0,12,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Faeria.png"
"Legends of Runeterra",2020,"Card Game",118481.03,0,30,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Legends of Runeterra.png"
"Pok<U+00E9>mon TCG",1996,"Card Game",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pok<U+00E9>mon TCG.png"
"Shardbound",2017,"Card Game",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shardbound.png"
"Yu Gi Oh! Duel Links",2016,"Card Game",48746.72,0,328,219,"Match","https://playerskev.blob.core.windows.net/nbaimage/Yu Gi Oh! Duel Links.png"
"Jstris",2014,"Strategy",275,0,12,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Jstris.png"
"Pac man",1981,"Strategy",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pac man.png"
"Tetr.io",2020,"Strategy",2992.61,0,19,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tetr.io.png"
"Fall Guys",2020,"Battle Royale",284273.83,0,240,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fall Guys.png"
"Radical Heights",2018,"Battle Royale",120000,0,12,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Radical Heights.png"
"Ring of Elysium",2018,"Battle Royale",70000,0,9,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ring of Elysium.png"
"Rocket Arena",2020,"Battle Royale",100000,0,24,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rocket Arena.png"
"Rules Of Survival",2017,"Battle Royale",0,0,0,0,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rules Of Survival.png"
"Rogue Company",2020,"Shooter",50000,0,48,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rogue Company.png"
"The Division 2",2019,"Shooter",27250,0,40,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/The Division 2.png"
