Fiscal Year,Area,Subsidiary,Rev Sum Division,Std Rptg Mid Reported Subsegment,Forecast Planning Level,Period,Sales
"FY18","WE","Italy","Lync Server & CAL","EPG Commercial","EA Subscription Recurring",1,712.56
"FY18","WE","Italy","MDOP-Client","EPG Commercial","EA Subscription Recurring",1,13719.3311
"FY18","WE","Italy","Office","EPG Commercial","EA Subscription Recurring",1,1419436.27
"FY18","WE","Italy","Project","EPG Commercial","EA Subscription Recurring",1,347282.2
"FY18","WE","Italy","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,125660.9822
"FY18","WE","Italy","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",1,136310.0098
"FY18","WE","Italy","SharePoint for Internet Sites","EPG Commercial","EA Subscription Recurring",1,31258.02
"FY18","WE","Italy","SharePoint Server","EPG Commercial","EA Subscription Recurring",1,10510.274
"FY18","WE","Italy","SQL Server Premium","EPG Commercial","EA Subscription Recurring",1,219198.758
"FY18","WE","Italy","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",1,441195.66
"FY18","WE","Italy","System Center Client","EPG Commercial","EA Subscription Recurring",1,55321.8688
"FY18","WE","Italy","System Center Server","EPG Commercial","EA Subscription Recurring",1,80409.11
"FY18","WE","Italy","Visio","EPG Commercial","EA Subscription Recurring",1,210458.146
"FY18","WE","Italy","Windows Client","EPG Commercial","EA Subscription Recurring",1,624268.0964
"FY18","WE","Italy","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",1,3296.64
"FY18","WE","Italy","Windows Server Other","EPG Commercial","EA Subscription Recurring",1,49454.126
"FY18","WE","Italy","Windows Server Premium","EPG Commercial","EA Subscription Recurring",1,214304.048
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",1,932.4
"FY18","CEE","Latvia","Forefront Protection","EPG Commercial","EA Subscription Recurring",1,680.4
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",1,277.2
"FY18","CEE","Latvia","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,30850.56
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","EA Subscription Recurring",1,1490.4
"FY18","CEE","Latvia","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,17353.44
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","EA Subscription Recurring",1,633.6
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","EA Subscription Recurring",1,1252.92
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","EA Subscription Recurring",1,13987.2
"FY18","CEE","Latvia","System Center Client","EPG Commercial","EA Subscription Recurring",1,183.6
"FY18","CEE","Latvia","System Center Server","EPG Commercial","EA Subscription Recurring",1,147.24
"FY18","CEE","Latvia","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",1,553.32
"FY18","CEE","Latvia","Windows Server Premium","EPG Commercial","EA Subscription Recurring",1,1199.04
"FY18","WE","Netherlands","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,24407.9616
"FY18","WE","Netherlands","Office","EPG Commercial","EA Subscription Recurring",1,112772
"FY18","WE","Netherlands","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,13729.4784
"FY18","WE","Netherlands","Windows Server Other","EPG Commercial","EA Subscription Recurring",1,5448
"FY18","CEE","Romania","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,12793.6
"FY18","CEE","Romania","Project","EPG Commercial","EA Subscription Recurring",1,1623.24
"FY18","CEE","Romania","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,7196.4
"FY18","CEE","Romania","SQL Server Premium","EPG Commercial","EA Subscription Recurring",1,2351.61
"FY18","CEE","Romania","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",1,20862.84
"FY18","CEE","Romania","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",1,4964.75
"FY18","CEE","Slovakia","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,29843.177
"FY18","CEE","Slovakia","Office","EPG Commercial","EA Subscription Recurring",1,101817.898
"FY18","CEE","Slovakia","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,15799.329
"FY18","CEE","Slovakia","Windows Client","EPG Commercial","EA Subscription Recurring",1,28087.696
"FY18","CEE","Ukraine","Biztalk Server","EPG Commercial","EA Subscription Recurring",1,10061.742
"FY18","CEE","Ukraine","Developer Tools","EPG Commercial","EA Subscription Recurring",1,344885.485
"FY18","CEE","Ukraine","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",1,35929.737
"FY18","CEE","Ukraine","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,145618.4
"FY18","CEE","Ukraine","MDOP-Client","EPG Commercial","EA Subscription Recurring",1,6000.2071
"FY18","CEE","Ukraine","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Subscription Recurring",1,180.012
"FY18","CEE","Ukraine","Other Server","EPG Commercial","EA Subscription Recurring",1,1738.1585
"FY18","CEE","Ukraine","Project","EPG Commercial","EA Subscription Recurring",1,165834.8035
"FY18","CEE","Ukraine","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",1,81910.35
"FY18","CEE","Ukraine","SharePoint for Internet Sites","EPG Commercial","EA Subscription Recurring",1,13634.167
"FY18","CEE","Ukraine","SharePoint Server","EPG Commercial","EA Subscription Recurring",1,6299.6
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","EA Subscription Recurring",1,135390.145
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",1,257905.625
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","EA Subscription Recurring",1,23943.4103
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","EA Subscription Recurring",1,44451.333
"FY18","CEE","Ukraine","Visio","EPG Commercial","EA Subscription Recurring",1,37988.9625
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","EA Subscription Recurring",1,257147.6326
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",1,12725.8855
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","EA Subscription Recurring",1,6412.697
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","EA Subscription Recurring",1,220635.132
"FY18","WE","Austria","Developer Tools","EPG Commercial","EA Subscription Recurring",12,13704.12
"FY18","WE","Austria","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",12,4857.12
"FY18","WE","Austria","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",12,3838.08
"FY18","WE","Austria","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,74729.6284
"FY18","WE","Austria","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,2473.4955
"FY18","WE","Austria","Office","EPG Commercial","EA Subscription Recurring",12,332287.065
"FY18","WE","Austria","Project","EPG Commercial","EA Subscription Recurring",12,5086.8
"FY18","WE","Austria","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,42017.0981
"FY18","WE","Austria","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,2684.88
"FY18","WE","Austria","SQL Server Premium","EPG Commercial","EA Subscription Recurring",12,57337.92
"FY18","WE","Austria","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",12,26825.4
"FY18","WE","Austria","System Center Client","EPG Commercial","EA Subscription Recurring",12,9854.1855
"FY18","WE","Austria","System Center Server","EPG Commercial","EA Subscription Recurring",12,48569
"FY18","WE","Austria","Visio","EPG Commercial","EA Subscription Recurring",12,722.4
"FY18","WE","Austria","Windows Client","EPG Commercial","EA Subscription Recurring",12,97117.3515
"FY18","WE","Austria","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,42807.376
"FY18","WE","Austria","Windows Server Other","EPG Commercial","EA Subscription Recurring",12,12660
"FY18","WE","Austria","Windows Server Premium","EPG Commercial","EA Subscription Recurring",12,14563.2
"FY18","WE","Belgium","Developer Tools","EPG Commercial","EA Subscription Recurring",12,4173.6
"FY18","WE","Belgium","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,10596.608
"FY18","WE","Belgium","Office","EPG Commercial","EA Subscription Recurring",12,48954.4
"FY18","WE","Belgium","Project","EPG Commercial","EA Subscription Recurring",12,601.2
"FY18","WE","Belgium","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,5960.592
"FY18","WE","Belgium","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,1586.28
"FY18","WE","Belgium","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",12,2309.16
"FY18","WE","Belgium","Visio","EPG Commercial","EA Subscription Recurring",12,232.92
"FY18","WE","Belgium","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,2336.4
"FY18","WE","Belgium","Windows Server Premium","EPG Commercial","EA Subscription Recurring",12,1518.24
"FY18","CEE","Bulgaria","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,-71296.7174
"FY18","CEE","Bulgaria","Office","EPG Commercial","EA Subscription Recurring",12,43878.78
"FY18","CEE","Bulgaria","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,-40104.4037
"FY18","CEE","Bulgaria","System Center Client","EPG Commercial","EA Subscription Recurring",12,33
"FY18","CEE","Bulgaria","Windows Client","EPG Commercial","EA Subscription Recurring",12,49152.72
"FY18","CEE","Czech Republic","IW CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,64888.5721
"FY18","CEE","Czech Republic","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,1005.4125
"FY18","CEE","Czech Republic","Office","EPG Commercial","EA Subscription Recurring",12,112868.2532
"FY18","CEE","Czech Republic","Project","EPG Commercial","EA Subscription Recurring",12,10319.3998
"FY18","CEE","Czech Republic","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,30902.0569
"FY18","CEE","Czech Republic","System Center Client","EPG Commercial","EA Subscription Recurring",12,4012.0287
"FY18","CEE","Czech Republic","Visio","EPG Commercial","EA Subscription Recurring",12,1199.5217
"FY18","CEE","Czech Republic","Windows Client","EPG Commercial","EA Subscription Recurring",12,43088.419
"FY18","CEE","Estonia","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,-11218.233
"FY18","CEE","Estonia","IW CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,66484.1294
"FY18","CEE","Estonia","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,844.626
"FY18","CEE","Estonia","Office","EPG Commercial","EA Subscription Recurring",12,102223.8738
"FY18","CEE","Estonia","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,-6310.2563
"FY18","CEE","Estonia","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,31661.4076
"FY18","CEE","Estonia","System Center Client","EPG Commercial","EA Subscription Recurring",12,3426.7682
"FY18","CEE","Estonia","Windows Client","EPG Commercial","EA Subscription Recurring",12,36680.899
"FY18","WE","Italy","Developer Tools","EPG Commercial","EA Subscription Recurring",12,16498.77
"FY18","WE","Italy","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",12,2165.3
"FY18","WE","Italy","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",12,389.24
"FY18","WE","Italy","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,57708.9408
"FY18","WE","Italy","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,2848.9708
"FY18","WE","Italy","Office","EPG Commercial","EA Subscription Recurring",12,181029.58
"FY18","WE","Italy","Project","EPG Commercial","EA Subscription Recurring",12,46689.6
"FY18","WE","Italy","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,32461.2792
"FY18","WE","Italy","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,1476.72
"FY18","WE","Italy","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",12,21783.36
"FY18","WE","Italy","System Center Client","EPG Commercial","EA Subscription Recurring",12,11388.3947
"FY18","WE","Italy","System Center Server","EPG Commercial","EA Subscription Recurring",12,2092.24
"FY18","WE","Italy","Visio","EPG Commercial","EA Subscription Recurring",12,13644.24
"FY18","WE","Italy","Windows Client","EPG Commercial","EA Subscription Recurring",12,100695.9646
"FY18","WE","Italy","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,3296.64
"FY18","WE","Italy","Windows Server Other","EPG Commercial","EA Subscription Recurring",12,2261
"FY18","WE","Italy","Windows Server Premium","EPG Commercial","EA Subscription Recurring",12,42962.88
"FY18","WE","Netherlands","Developer Tools","EPG Commercial","EA Subscription Recurring",12,893.9114
"FY18","WE","Netherlands","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",12,48923.5828
"FY18","WE","Netherlands","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",12,2725.2
"FY18","WE","Netherlands","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,161105.6159
"FY18","WE","Netherlands","Lync Server & CAL","EPG Commercial","EA Subscription Recurring",12,157872.44
"FY18","WE","Netherlands","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,6509.4653
"FY18","WE","Netherlands","Office","EPG Commercial","EA Subscription Recurring",12,544472.3408
"FY18","WE","Netherlands","Office 365","EPG Commercial","EA Subscription Recurring",12,12292.8
"FY18","WE","Netherlands","Project","EPG Commercial","EA Subscription Recurring",12,261670.3238
"FY18","WE","Netherlands","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,94506.3089
"FY18","WE","Netherlands","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,1315.711
"FY18","WE","Netherlands","SQL Server Premium","EPG Commercial","EA Subscription Recurring",12,14688.5902
"FY18","WE","Netherlands","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",12,2995
"FY18","WE","Netherlands","System Center Client","EPG Commercial","EA Subscription Recurring",12,25975.5699
"FY18","WE","Netherlands","System Center Server","EPG Commercial","EA Subscription Recurring",12,430.5801
"FY18","WE","Netherlands","Visio","EPG Commercial","EA Subscription Recurring",12,2132.2058
"FY18","WE","Netherlands","Windows Client","EPG Commercial","EA Subscription Recurring",12,278972.6366
"FY18","WE","Netherlands","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,1780.9334
"FY18","WE","Netherlands","Windows Server Other","EPG Commercial","EA Subscription Recurring",12,1466.7344
"FY18","WE","Netherlands","Windows Server Premium","EPG Commercial","EA Subscription Recurring",12,40894.3155
"FY18","CEE","Romania","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,43855.5072
"FY18","CEE","Romania","Office","EPG Commercial","EA Subscription Recurring",12,148411.5
"FY18","CEE","Romania","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,24668.7228
"FY18","CEE","Slovakia","Developer Tools","EPG Commercial","EA Subscription Recurring",12,212596.5125
"FY18","CEE","Slovakia","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",12,10182.7715
"FY18","CEE","Slovakia","Forefront Protection","EPG Commercial","EA Subscription Recurring",12,29762.46
"FY18","CEE","Slovakia","Identity & Direct Access","EPG Commercial","EA Subscription Recurring",12,54429.466
"FY18","CEE","Slovakia","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,761215.1605
"FY18","CEE","Slovakia","Lync Server & CAL","EPG Commercial","EA Subscription Recurring",12,95072.507
"FY18","CEE","Slovakia","MDOP-Client","EPG Commercial","EA Subscription Recurring",12,21077.5912
"FY18","CEE","Slovakia","Office","EPG Commercial","EA Subscription Recurring",12,2952661.585
"FY18","CEE","Slovakia","Project","EPG Commercial","EA Subscription Recurring",12,116372.3846
"FY18","CEE","Slovakia","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Recurring",12,427969.4577
"FY18","CEE","Slovakia","SharePoint CAL","EPG Commercial","EA Subscription Recurring",12,8211.168
"FY18","CEE","Slovakia","SharePoint for Internet Sites","EPG Commercial","EA Subscription Recurring",12,18918.9
"FY18","CEE","Slovakia","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,19563.9658
"FY18","CEE","Slovakia","SQL Server Premium","EPG Commercial","EA Subscription Recurring",12,138239.5025
"FY18","CEE","Slovakia","System Center Client","EPG Commercial","EA Subscription Recurring",12,85321.9324
"FY18","CEE","Slovakia","System Center Server","EPG Commercial","EA Subscription Recurring",12,42181.6261
"FY18","CEE","Slovakia","Visio","EPG Commercial","EA Subscription Recurring",12,7504.9092
"FY18","CEE","Slovakia","Windows Client","EPG Commercial","EA Subscription Recurring",12,926118.6131
"FY18","CEE","Slovakia","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,2473.6777
"FY18","CEE","Slovakia","Windows Server Other","EPG Commercial","EA Subscription Recurring",12,37860.6357
"FY18","CEE","Slovakia","Windows Server Premium","EPG Commercial","EA Subscription Recurring",12,52665.6868
"FY18","CEE","Ukraine","Developer Tools","EPG Commercial","EA Subscription Recurring",12,5720.84
"FY18","CEE","Ukraine","Exchange Server & CAL","EPG Commercial","EA Subscription Recurring",12,376.92
"FY18","CEE","Ukraine","IW CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,10637.8896
"FY18","CEE","Ukraine","Office","EPG Commercial","EA Subscription Recurring",12,17764
"FY18","CEE","Ukraine","Project","EPG Commercial","EA Subscription Recurring",12,1568.768
"FY18","CEE","Ukraine","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Recurring",12,5066.1104
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","EA Subscription Recurring",12,160103.8209
"FY18","CEE","Ukraine","SharePoint Server","EPG Commercial","EA Subscription Recurring",12,722.656
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","EA Subscription Recurring",12,10490.8
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","EA Subscription Recurring",12,503.4
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","EA Subscription Recurring",12,92257.1345
"FY18","CEE","Ukraine","Visio","EPG Commercial","EA Subscription Recurring",12,954.072
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Recurring",12,66567.9472
"FY18","WE","Belgium","Biztalk Server","EPG Commercial","EA Subscription Non Recurring",8,42.8151
"FY18","WE","Belgium","Developer Tools","EPG Commercial","EA Subscription Non Recurring",8,34717.1643
"FY18","WE","Belgium","Developer Tools","EPG Commercial","EA Subscription Non Recurring",12,3562
"FY18","WE","Belgium","Dynamics CRM","EPG Commercial","EA Subscription Non Recurring",8,1685.058
"FY18","WE","Belgium","Dynamics ERP","EPG Commercial","EA Subscription Non Recurring",8,4073.1401
"FY18","WE","Belgium","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",6,2608.8
"FY18","WE","Belgium","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",7,-2608.8
"FY18","WE","Belgium","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",8,350.2177
"FY18","WE","Belgium","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",12,770.672
"FY18","WE","Belgium","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",6,20688.5376
"FY18","WE","Belgium","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",7,-20688.5376
"FY18","WE","Belgium","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",8,2372.6614
"FY18","WE","Belgium","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",12,133875.9047
"FY18","WE","Belgium","IW CAL Suites - ECAL","EPG Commercial","EA Subscription Non Recurring",8,14940.264
"FY18","WE","Belgium","Lync Server & CAL","EPG Commercial","EA Subscription Non Recurring",8,3192.1699
"FY18","WE","Belgium","Lync Server & CAL","EPG Commercial","EA Subscription Non Recurring",12,10267.2
"FY18","WE","Belgium","MDOP-Client","EPG Commercial","EA Subscription Non Recurring",8,340.0364
"FY18","WE","Belgium","MDOP-Client","EPG Commercial","EA Subscription Non Recurring",12,140.7838
"FY18","WE","Belgium","Office","EPG Commercial","EA Subscription Non Recurring",6,20376
"FY18","WE","Belgium","Office","EPG Commercial","EA Subscription Non Recurring",7,-20376
"FY18","WE","Belgium","Office","EPG Commercial","EA Subscription Non Recurring",8,45697.3973
"FY18","WE","Belgium","Office","EPG Commercial","EA Subscription Non Recurring",12,189671.13
"FY18","WE","Belgium","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Subscription Non Recurring",8,2424.2401
"FY18","WE","Belgium","Project","EPG Commercial","EA Subscription Non Recurring",8,2106.088
"FY18","WE","Belgium","Project","EPG Commercial","EA Subscription Non Recurring",12,17711.36
"FY18","WE","Belgium","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",6,11637.3024
"FY18","WE","Belgium","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",7,-11637.3024
"FY18","WE","Belgium","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",8,1334.622
"FY18","WE","Belgium","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",12,75303.3242
"FY18","WE","Belgium","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Non Recurring",8,7114.9683
"FY18","WE","Belgium","SharePoint for Internet Sites","EPG Commercial","EA Subscription Non Recurring",8,501.4691
"FY18","WE","Belgium","SharePoint Server","EPG Commercial","EA Subscription Non Recurring",8,333.6499
"FY18","WE","Belgium","SharePoint Server","EPG Commercial","EA Subscription Non Recurring",12,797.792
"FY18","WE","Belgium","SQL Azure","EPG Commercial","EA Subscription Non Recurring",8,428.1506
"FY18","WE","Belgium","SQL Server Premium","EPG Commercial","EA Subscription Non Recurring",6,15398.88
"FY18","WE","Belgium","SQL Server Premium","EPG Commercial","EA Subscription Non Recurring",7,-15398.88
"FY18","WE","Belgium","SQL Server Premium","EPG Commercial","EA Subscription Non Recurring",8,31826.984
"FY18","WE","Belgium","SQL Server Standard & CAL","EPG Commercial","EA Subscription Non Recurring",8,0.0827
"FY18","WE","Belgium","SQL Server Standard & CAL","EPG Commercial","EA Subscription Non Recurring",12,7311.108
"FY18","WE","Belgium","System Center Client","EPG Commercial","EA Subscription Non Recurring",8,25765.7548
"FY18","WE","Belgium","System Center Client","EPG Commercial","EA Subscription Non Recurring",9,-24400.704
"FY18","WE","Belgium","System Center Client","EPG Commercial","EA Subscription Non Recurring",12,560.1398
"FY18","WE","Belgium","System Center Server","EPG Commercial","EA Subscription Non Recurring",6,5657.52
"FY18","WE","Belgium","System Center Server","EPG Commercial","EA Subscription Non Recurring",7,-5657.52
"FY18","WE","Belgium","System Center Server","EPG Commercial","EA Subscription Non Recurring",8,18653.2208
"FY18","WE","Belgium","System Center Server","EPG Commercial","EA Subscription Non Recurring",12,49888.949
"FY18","WE","Belgium","Visio","EPG Commercial","EA Subscription Non Recurring",8,4523.6729
"FY18","WE","Belgium","Visio","EPG Commercial","EA Subscription Non Recurring",12,6080.16
"FY18","WE","Belgium","Windows Azure","EPG Commercial","EA Subscription Non Recurring",8,1669.7873
"FY18","WE","Belgium","Windows Client","EPG Commercial","EA Subscription Non Recurring",8,16059.6288
"FY18","WE","Belgium","Windows Client","EPG Commercial","EA Subscription Non Recurring",12,5125.1294
"FY18","WE","Belgium","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Non Recurring",6,3504.6
"FY18","WE","Belgium","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Non Recurring",7,-3504.6
"FY18","WE","Belgium","Windows Server & Solutions & CAL","EPG Commercial","EA Subscription Non Recurring",12,8757.528
"FY18","WE","Belgium","Windows Server Other","EPG Commercial","EA Subscription Non Recurring",4,126.6
"FY18","WE","Belgium","Windows Server Other","EPG Commercial","EA Subscription Non Recurring",8,7036.3659
"FY18","WE","Belgium","Windows Server Other","EPG Commercial","EA Subscription Non Recurring",12,58.92
"FY18","WE","Belgium","Windows Server Premium","EPG Commercial","EA Subscription Non Recurring",6,5313.84
"FY18","WE","Belgium","Windows Server Premium","EPG Commercial","EA Subscription Non Recurring",7,-5313.84
"FY18","WE","Belgium","Windows Server Premium","EPG Commercial","EA Subscription Non Recurring",8,42033.9795
"FY18","WE","Belgium","Windows Server Premium","EPG Commercial","EA Subscription Non Recurring",12,71046.163
"FY18","CEE","Bulgaria","Biztalk Server","EPG Commercial","EA Subscription Non Recurring",7,7366.5602
"FY18","CEE","Bulgaria","Biztalk Server","EPG Commercial","EA Subscription Non Recurring",8,23347.0822
"FY18","CEE","Bulgaria","Developer Tools","EPG Commercial","EA Subscription Non Recurring",7,365177.8065
"FY18","CEE","Bulgaria","Developer Tools","EPG Commercial","EA Subscription Non Recurring",8,4862.6743
"FY18","CEE","Bulgaria","Developer Tools","EPG Commercial","EA Subscription Non Recurring",9,9356.76
"FY18","CEE","Bulgaria","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",7,43410.0874
"FY18","CEE","Bulgaria","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",8,-30964.1117
"FY18","CEE","Bulgaria","Exchange Server & CAL","EPG Commercial","EA Subscription Non Recurring",10,293.4771
"FY18","CEE","Bulgaria","Identity & Direct Access","EPG Commercial","EA Subscription Non Recurring",7,11839.1147
"FY18","CEE","Bulgaria","Identity & Direct Access","EPG Commercial","EA Subscription Non Recurring",8,-5043.3164
"FY18","CEE","Bulgaria","Identity & Direct Access","EPG Commercial","EA Subscription Non Recurring",10,445.4276
"FY18","CEE","Bulgaria","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",7,252567.7833
"FY18","CEE","Bulgaria","IW CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",8,-252567.7833
"FY18","CEE","Bulgaria","IW CAL Suites - ECAL","EPG Commercial","EA Subscription Non Recurring",8,216046.3757
"FY18","CEE","Bulgaria","Lync Server & CAL","EPG Commercial","EA Subscription Non Recurring",8,11807.1827
"FY18","CEE","Bulgaria","Lync Server & CAL","EPG Commercial","EA Subscription Non Recurring",10,293.4771
"FY18","CEE","Bulgaria","MDOP-Client","EPG Commercial","EA Subscription Non Recurring",1,184.3421
"FY18","CEE","Bulgaria","MDOP-Client","EPG Commercial","EA Subscription Non Recurring",5,591.7369
"FY18","CEE","Bulgaria","MDOP-Client","EPG Commercial","EA Subscription Non Recurring",8,3425.1025
"FY18","CEE","Bulgaria","Office","EPG Commercial","EA Subscription Non Recurring",7,776119.7504
"FY18","CEE","Bulgaria","Office","EPG Commercial","EA Subscription Non Recurring",8,-391836.4931
"FY18","CEE","Bulgaria","Other Server","EPG Commercial","EA Subscription Non Recurring",7,49461.191
"FY18","CEE","Bulgaria","Other Server","EPG Commercial","EA Subscription Non Recurring",8,-42792.6274
"FY18","CEE","Bulgaria","Project","EPG Commercial","EA Subscription Non Recurring",7,157854.8645
"FY18","CEE","Bulgaria","Project","EPG Commercial","EA Subscription Non Recurring",8,-102064.906
"FY18","CEE","Bulgaria","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",7,142069.3783
"FY18","CEE","Bulgaria","S&T CAL Suites - Core CAL","EPG Commercial","EA Subscription Non Recurring",8,-142069.3783
"FY18","CEE","Bulgaria","S&T CAL Suites - ECAL","EPG Commercial","EA Subscription Non Recurring",8,102888.3389
"FY18","CEE","Bulgaria","SharePoint CAL","EPG Commercial","EA Subscription Non Recurring",9,136800
"FY18","CEE","Bulgaria","SharePoint Server","EPG Commercial","EA Subscription Non Recurring",7,10260.566
