Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"A Bicycle Association",1979,"International Security","Value Added Reseller",,,800000,"842-555-0125",18,80000,"6405 Erie Blvd. Hills Plaza","De Witt","US","United States","13214","New York","NY",,"Touring","S",,"United States","North America","Northeast",324
"Year-Round Sports",1983,"United Security","Warehouse",2011,2012,3000000,"164-555-0145",66,300000,"2583 Se 272nd St","Kent","US","United States","98031","Washington","WA",,"Mountain","Q",11,"United States","North America","Northwest",326
"Unicycles, Bicycles, and Tricycles",1976,"Reserve Security","Specialty Bike Shop",,,800000,"795-555-0116",10,80000,"Stonewood Mall","Downey","US","United States","90241","California","CA",,"Touring","A",,"United States","North America","Southwest",329
"The New Bike Store",1978,"International Bank","Warehouse",2011,2012,1500000,"637-555-0120",40,150000,"Hanford Mall","Hanford","US","United States","93230","California","CA",,"Road","Q",6,"United States","North America","Southwest",330
"Topnotch Bikes",1982,"Primary International","Specialty Bike Shop",,,800000,"144-555-0175",13,80000,"574 Atlanta Highway","Montgomery","US","United States","36104","Alabama","AL",,"Mountain","A",,"United States","North America","Southeast",332
"Resident Cycle Shop",1984,"United Security","Warehouse",,,1500000,"621-555-0157",43,150000,"5230a Hwy. 2553","Hixson","US","United States","37343","Tennessee","TN",,"Mountain","Q",,"United States","North America","Southeast",333
"Independent Outlet",2000,"Primary Bank & Reserve","Specialty Bike Shop",,,1000000,"710-555-0116",22,100000,"Great Northern Mall Hwy4 & Rt. 31","Clay","US","United States","13041","New York","NY",,"Road","A",,"United States","North America","Northeast",341
"Leather and Vinyl Manufacturing",2002,"Guardian Bank","Warehouse",2011,2011,3000000,"433-555-0162",52,300000,"250 E. County Line Rd.","Indianapolis","US","United States","46204","Indiana","IN",,"Road","Q",5,"United States","North America","Northeast",342
"Great Bicycle Supply",2004,"Primary International","Value Added Reseller",2011,2011,1000000,"810-555-0160",20,100000,"455 256th St.","Moline","US","United States","61265","Illinois","IL",,"Mountain","S",5,"United States","North America","Central",346
"Bike Universe",1975,"United Security","Specialty Bike Shop",,,1000000,"857-555-0187",28,100000,"Nut Tree Factory","Vacaville","US","United States","95688","California","CA",,"Mountain","A",,"United States","North America","Southwest",347
"Grand Cycle Store",1996,"Primary Bank & Reserve","Specialty Bike Shop",,,1500000,"889-555-0176",43,150000,"44606 N Division St","Spokane","US","United States","99202","Washington","WA",,"Road","A",,"United States","North America","Northwest",362
"District Mall",1995,"Reserve Security","Value Added Reseller",2011,2011,800000,"249-555-0179",14,80000,"25095 W. Florissant","Ferguson","US","United States","63135","Missouri","MO",,"Road","S",5,"United States","North America","Central",364
"Distinctive Store",2001,"International Bank","Specialty Bike Shop",2011,2011,1500000,"539-555-0182",46,150000,"Factory Merchants","Barstow","US","United States","92311","California","CA",,"Road","A",6,"United States","North America","Southwest",365
"Extended Bike Sales",1994,"International Security","Warehouse",2011,2011,3000000,"129-555-0110",76,300000,"The Citadel Commerce Plaza","City Of Commerce","US","United States","90040","California","CA",,"Mountain","Q",6,"United States","North America","Southwest",366
"Sparkling Paint and Finishes",1985,"Guardian Bank","Warehouse",2011,2011,3000000,"787-555-0128",84,300000,"San Diego Factory","San Ysidro","US","United States","92173","California","CA",,"Mountain","Q",5,"United States","North America","Southwest",384
"Online Bike Sellers",1986,"Primary International","Specialty Bike Shop",2012,2012,1500000,"249-555-0172",40,150000,"678 Eastman Ave.","Midland","US","United States","48640","Michigan","MI",,"Mountain","A",6,"United States","North America","Central",395
"Capable Sales and Service",1985,"Primary Bank & Reserve","Value Added Reseller",2010,2011,300000,"928-555-0117",3,30000,"765 Delridge Way Sw","Seattle","US","United States","98104","Washington","WA",,"Mountain","S",4,"United States","North America","Northwest",397
"Pro Sporting Goods",1976,"Primary International","Warehouse",,,3000000,"640-555-0198",90,300000,"Camarillo Athletic Stores","Camarillo","US","United States","93010","California","CA",,"Mountain","Q",,"United States","North America","Southwest",402
"Affordable Sports Equipment",1982,"United Security","Value Added Reseller",2011,2012,300000,"996-555-0196",4,30000,"Lake Elisnor Place","Lake Elsinore","US","United States","92530","California","CA",,"Road","S",5,"United States","North America","Southwest",403
"Margie's Travel",1976,"Reserve Security","Specialty Bike Shop",,,1500000,"752-555-0115",34,150000,"Woodbury Commons","Central Valley","US","United States","10917","New York","NY",,"Mountain","A",,"United States","North America","Northeast",413
"Exertion Activities Club",1988,"Guardian Bank","Specialty Bike Shop",,,1500000,"816-555-0118",32,150000,"Norwalk Square","Norwalk","US","United States","90650","California","CA",,"Touring","A",,"United States","North America","Southwest",419
"Bike Rims Company",1996,"Primary International","Warehouse",2010,2012,3000000,"334-555-0146",97,300000,"Edgewater Mall","Biloxi","US","United States","39530","Mississippi","MS",,"Road","Q",4,"United States","North America","Southeast",423
"Road-Way Mart",2002,"Reserve Security","Specialty Bike Shop",2012,2012,1000000,"234-555-0112",27,100000,"Southgate Mall","Missoula","US","United States","59801","Montana","MT",,"Mountain","A",10,"United States","North America","Northwest",434
"Regional Manufacturing",1978,"Primary Bank & Reserve","Warehouse",2011,2011,1500000,"425-555-0158",40,150000,"Factory Stores/tucson","Tucson","US","United States","85701","Arizona","AZ",,"Mountain","Q",3,"United States","North America","Southwest",439
"Bikes Anyone?",2000,"International Security","Specialty Bike Shop",,,1000000,"115-555-0170",22,100000,"Ames Plaza","Saugus","US","United States","01906","Massachusetts","MA",,"Touring","A",,"United States","North America","Northeast",450
"A Cycle Shop",2004,"United Security","Value Added Reseller",,,800000,"398-555-0167",17,80000,"Heritage Mall","Albany","US","United States","97321","Oregon","OR",,"Touring","S",,"United States","North America","Northwest",452
"Unique Bikes",2005,"Primary Bank & Reserve","Specialty Bike Shop",2011,2011,1000000,"672-555-0112",25,100000,"3900 S. 997th St.","Milwaukee","US","United States","53202","Wisconsin","WI",,"Mountain","A",6,"United States","North America","Central",453
"Riding Excursions",1975,"International Bank","Specialty Bike Shop",2011,2011,1000000,"912-555-0149",28,100000,"West Park Plaza","Irvine","US","United States","92614","California","CA",,"Road","A",1,"United States","North America","Southwest",456
"Retail Sporting Equipment",2003,"International Security","Warehouse",2012,2012,3000000,"962-555-0112",58,300000,"Factory Stores Of America","Mesa","US","United States","85201","Arizona","AZ",,"Mountain","Q",6,"United States","North America","Southwest",457
"Vast Bike Sales and Rental",1997,"Reserve Security","Warehouse",2011,2011,3000000,"554-555-0124",70,300000,"Lewis County Mall","Chehalis","US","United States","98532","Washington","WA",,"Mountain","Q",5,"United States","North America","Northwest",469
"Retail Cycle Shop",2001,"Primary Bank & Reserve","Specialty Bike Shop",2012,2012,1500000,"777-555-0163",46,150000,"Bayshore Mall","Eureka","US","United States","95501","California","CA",,"Mountain","A",9,"United States","North America","Southwest",474
"Clamps & Brackets Co.",1989,"International Security","Value Added Reseller",2010,2011,800000,"107-555-0138",10,80000,"Leesburg Premium Outlet Centre","Leesburg","US","United States","20176","Virginia","VA",,"Mountain","S",4,"United States","North America","Southeast",485
"Convenient Bike Shop",1995,"Primary International","Specialty Bike Shop",2010,2011,1500000,"721-555-0163",46,150000,"Tree Plaza","Braintree","US","United States","02184","Massachusetts","MA",,"Road","A",4,"United States","North America","Northeast",486
"Bike Experts",1988,"United Security","Warehouse",2012,2012,3000000,"924-555-0195",82,300000,"Lancaster Mall","Salem","US","United States","97301","Oregon","OR",,"Mountain","Q",5,"United States","North America","Northwest",487
"Global Sporting Goods",1978,"Primary International","Specialty Bike Shop",,,1500000,"176-555-0136",39,150000,"Fountains On The Lake","Stafford","US","United States","77477","Texas","TX",,"Road","A",,"United States","North America","Southwest",507
"Designer Department Stores",1984,"United Security","Warehouse",,,3000000,"132-555-0149",89,300000,"Southwest Outlet","Hillsboro","US","United States","76645","Texas","TX",,"Road","Q",,"United States","North America","Southwest",508
"Wheel Gallery",1976,"Reserve Security","Warehouse",2010,2011,3000000,"926-555-0136",90,300000,"9920 Bridgepointe Parkway","San Mateo","US","United States","94404","California","CA",,"Road","Q",4,"United States","North America","Southwest",511
"Tiny Bike Boutique",1982,"International Bank","Value Added Reseller",2012,2012,300000,"781-555-0199",4,30000,"Fsa Outlet Center","Nashville","US","United States","37203","Tennessee","TN",,"Road","S",5,"United States","North America","Southeast",512
"Village Tours",1975,"International Security","Specialty Bike Shop",2012,2012,1500000,"562-555-0119",37,150000,"Newport Shopping Center","Newport","US","United States","41071","Kentucky","KY",,"Mountain","A",5,"United States","North America","Southeast",513
"Chain and Chain Tool Distributions",1980,"Guardian Bank","Value Added Reseller",2012,2012,800000,"916-555-0171",12,80000,"Factory Stores Of America","Smithfield","US","United States","27577","North Carolina","NC",,"Road","S",8,"United States","North America","Southeast",524
"Alpine Ski House",1988,"Primary International","Specialty Bike Shop",2011,2012,1500000,"519-555-0112",32,150000,"7505 Laguna Boulevard","Elk Grove","US","United States","95624","California","CA",,"Road","A",5,"United States","North America","Southwest",528
"Finish and Sealant Products",2001,"Guardian Bank","Value Added Reseller",2011,2011,800000,"362-555-0177",17,80000,"25150 El Camino Real","San Bruno","US","United States","94066","California","CA",,"Road","S",6,"United States","North America","Southwest",545
"Daring Rides",1980,"Primary International","Value Added Reseller",2010,2011,300000,"871-555-0159",5,30000,"Bay Area Outlet Mall","Clearwater","US","United States","33755","Florida","FL",,"Road","S",4,"United States","North America","Southeast",549
"Practical Bike Supply Company",2005,"International Security","Specialty Bike Shop",2011,2012,1000000,"623-555-0144",25,100000,"Horizon Outlet","Woodbury","US","United States","55125","Minnesota","MN",,"Mountain","A",6,"United States","North America","Central",562
"Imported and Domestic Cycles",2004,"United Security","Value Added Reseller",2012,2012,1000000,"115-555-0175",20,100000,"22589 West Craig Road","North Las Vegas","US","United States","89030","Nevada","NV",,"Road","S",5,"United States","North America","Northwest",564
"eCommerce Bikes",2003,"Guardian Bank","Warehouse",2011,2012,3000000,"695-555-0111",58,300000,"Gulfport Factory Shops","Gulfport","US","United States","39501","Mississippi","MS",,"Mountain","Q",5,"United States","North America","Southeast",566
"Global Plaza",1979,"Reserve Security","Value Added Reseller",2011,2011,800000,"845-555-0187",19,80000,"Belz Factory Outlet","Pigeon Forge","US","United States","37863","Tennessee","TN",,"Mountain","S",6,"United States","North America","Southeast",567
"Bicycle Outfitters",1995,"International Bank","Warehouse",2011,2012,3000000,"153-555-0114",67,300000,"Cherry Grove Plaza","Cincinnati","US","United States","45202","Ohio","OH",,"Road","Q",6,"United States","North America","Northeast",575
"Synthetic Materials Manufacturing",1999,"Primary International","Specialty Bike Shop",2011,2012,1500000,"851-555-0127",40,150000,"3390 South 23rd St.","Tacoma","US","United States","98403","Washington","WA",,"Road","A",4,"United States","North America","Northwest",577
"Professional Containers and Packaging Co.",2001,"International Security","Specialty Bike Shop",2012,2012,1500000,"741-555-0173",46,150000,"253731 West Bell Road","Surprise","US","United States","85374","Arizona","AZ",,"Mountain","A",5,"United States","North America","Southwest",583
"Qualified Sales and Repair Services",1994,"Primary International","Warehouse",2011,2011,3000000,"475-555-0188",76,300000,"Savannah Festival Outlet","Savannah","US","United States","31401","Georgia","GA",,"Road","Q",5,"United States","North America","Southeast",584
"Next-Door Bike Store",2000,"United Security","Value Added Reseller",2011,2012,800000,"398-555-0132",13,80000,"Mall Of Memphis","Memphis","US","United States","38103","Tennessee","TN",,"Mountain","S",6,"United States","North America","Southeast",585
"Strenuous Exercise Shop",1986,"Primary Bank & Reserve","Value Added Reseller",,,300000,"654-555-0150",8,30000,"25620 Firestone Boulevard","Norwalk","US","United States","90650","California","CA",,"Mountain","S",,"United States","North America","Southwest",600
"Golf and Cycle Store",1982,"Guardian Bank","Warehouse",2011,2012,3000000,"280-555-0124",86,300000,"5500 Grossmont Center Drive","La Mesa","US","United States","91941","California","CA",,"Mountain","Q",6,"United States","North America","Southwest",608
"Strong Metal Manufacturing",1983,"Primary International","Specialty Bike Shop",,,1500000,"601-555-0151",38,150000,"Pyramid Mall","Ithaca","US","United States","14850","New York","NY",,"Road","A",,"United States","North America","Northeast",619
"Hardware Components",1981,"Reserve Security","Warehouse",2011,2011,3000000,"153-555-0195",91,300000,"City Center","Minneapolis","US","United States","55402","Minnesota","MN",,"Mountain","Q",5,"United States","North America","Central",623
"Retail Sporting Goods",1991,"Primary International","Warehouse",2012,2012,3000000,"129-555-0185",92,300000,"6753 Howard Hughes Parkway","Las Vegas","US","United States","89106","Nevada","NV",,"Road","Q",10,"United States","North America","Northwest",626
"Executive Discount Store",1992,"Primary Bank & Reserve","Specialty Bike Shop",2011,2012,1500000,"112-555-0160",35,150000,"20500 S.W. 2512th Ave","Miami","US","United States","33127","Florida","FL",,"Road","A",10,"United States","North America","Southeast",628
"Friendly Bike Shop",2000,"Guardian Bank","Specialty Bike Shop",2011,2012,1500000,"537-555-0190",30,150000,"Port Huron","Port Huron","US","United States","48060","Michigan","MI",,"Road","A",4,"United States","North America","Central",643
"Retread Tire Company",1979,"Reserve Security","Value Added Reseller",2012,2012,800000,"456-555-0184",18,80000,"9935 Robert C Daniel Jr Parkway","Augusta","US","United States","30901","Georgia","GA",,"Road","S",6,"United States","North America","Southeast",651
"Selected Distributors",2002,"International Bank","Specialty Bike Shop",2012,2012,1000000,"774-555-0177",27,100000,"99535 Dallas Highway","Marietta","US","United States","30060","Georgia","GA",,"Mountain","A",6,"United States","North America","Southeast",652
"Contoso, Ltd.",2005,"Guardian Bank","Specialty Bike Shop",,,1000000,"747-555-0113",25,100000,"Fiesta Trail Shopping Center","San Antonio","US","United States","78204","Texas","TX",,"Road","A",,"United States","North America","Southwest",671
"Roadway Supplies",1999,"Primary International","Warehouse",2011,2011,3000000,"962-555-0144",79,300000,"2564 S. Redwood Rd.","Riverton","US","United States","84065","Utah","UT",,"Road","Q",2,"United States","North America","Northwest",696
"Western Bike Supplies",1998,"Primary Bank & Reserve","Specialty Bike Shop",2011,2012,1500000,"944-555-0148",48,150000,"566 S. Main","Cedar City","US","United States","84720","Utah","UT",,"Road","A",4,"United States","North America","Northwest",698
"Modular Cycle Systems",1980,"United Security","Value Added Reseller",2011,2013,300000,"710-555-0173",5,30000,"800 Interchange Blvd. Suite 2501","Austin","US","United States","78701","Texas","TX",600,"Road","S",4,"United States","North America","Southwest",4
"Exemplary Cycles",1988,"International Bank","Specialty Bike Shop",2013,2013,800000,"872-555-0171",16,80000,"79945 Corporate Center Drive","Miami","US","United States","33127","Florida","FL",600,"Touring","A",5,"United States","North America","Southeast",8
"Center Cycle Shop",2004,"Primary Bank & Reserve","Value Added Reseller",2012,2012,1000000,"521-555-0195",20,100000,"99300 223rd Southeast","Bothell","US","United States","98011","Washington","WA",600,"Road","S",4,"United States","North America","Northwest",19
"Central Discount Store",1975,"Guardian Bank","Specialty Bike Shop",2011,2013,1000000,"582-555-0113",28,100000,"259826 Russell Rd. South","Kent","US","United States","98031","Washington","WA",600,"Mountain","A",6,"United States","North America","Northwest",20
"Stylish Department Stores",1987,"Primary Bank & Reserve","Specialty Bike Shop",2011,2011,1500000,"418-555-0115",34,150000,"1 Corporate Center Drive","Miami","US","United States","33127","Florida","FL",600,"Road","A",6,"United States","North America","Southeast",26
"Two Bike Shops",1995,"International Security","Value Added Reseller",2012,2013,800000,"724-555-0161",14,80000,"35525-9th Street Sw","Puyallup","US","United States","98371","Washington","WA",600,"Road","S",6,"United States","North America","Northwest",37
"Distant Inn",1993,"Guardian Bank","Specialty Bike Shop",2011,2013,1500000,"244-555-0127",49,150000,"25001 Montague Expressway","Milpitas","US","United States","95035","California","CA",600,"Road","A",4,"United States","North America","Southwest",41
"Incomparable Bicycle Store",1987,"United Security","Specialty Bike Shop",2013,2013,1500000,"479-555-0129",45,150000,"99 Edgewater Drive","Norwood","US","United States","02062","Massachusetts","MA",600,"Touring","A",6,"United States","North America","Northeast",53
"Locks Company",1984,"Primary International","Specialty Bike Shop",2013,2013,1500000,"385-555-0140",43,150000,"70259 West Sunnyview Ave","Visalia","US","United States","93291","California","CA",600,"Touring","A",6,"United States","North America","Southwest",59
"Metro Bike Mart",1982,"Reserve Security","Warehouse",2011,2013,3000000,"565-555-0181",86,300000,"Po Box 2257","Greensboro","US","United States","27412","North Carolina","NC",600,"Mountain","Q",5,"United States","North America","Southeast",63
"Parcel Express Delivery Service",1983,"United Security","Specialty Bike Shop",2011,2011,1500000,"162-555-0166",38,150000,"Washington Square","Portland","US","United States","97205","Oregon","OR",600,"Road","A",11,"United States","North America","Northwest",74
"Rally Day Mall",1991,"United Security","Warehouse",2011,2013,3000000,"175-555-0198",92,300000,"2561 Nw 8410th Avenue","Miami","US","United States","33127","Florida","FL",600,"Road","Q",4,"United States","North America","Southeast",81
"Sports Commodities",1988,"International Bank","Specialty Bike Shop",2011,2011,1500000,"646-555-0137",32,150000,"253950 N.E. 178th Place","Woodinville","US","United States","98072","Washington","WA",600,"Mountain","A",6,"United States","North America","Northwest",92
"More Bikes!",1996,"Primary Bank & Reserve","Warehouse",2011,2011,3000000,"354-555-0130",97,300000,"25600 E St Andrews Pl","Santa Ana","US","United States","92701","California","CA",600,"Road","Q",6,"United States","North America","Southwest",96
"Wholesale Bikes",2002,"International Security","Specialty Bike Shop",2011,2013,1000000,"652-555-0115",27,100000,"58 Teed Drive","Randolph","US","United States","02368","Massachusetts","MA",600,"Road","A",5,"United States","North America","Northeast",107
"Two Wheels Cycle Store",1982,"International Security","Specialty Bike Shop",2011,2011,800000,"397-555-0144",13,80000,"77 Beale Street Room 99767c","San Francisco","US","United States","94109","California","CA",600,"Road","A",6,"United States","North America","Southwest",114
"Immediate Repair Shop",2004,"Guardian Bank","Value Added Reseller",2011,2013,800000,"246-555-0110",17,80000,"9963 Tresser Blvd.","Stamford","US","United States","06901","Connecticut","CT",600,"Mountain","S",4,"United States","North America","Northeast",125
"Discount Bicycle Specialists",1975,"Primary International","Specialty Bike Shop",2011,2011,1000000,"426-555-0181",28,100000,"25269 Wood Dale Rd.","Wood Dale","US","United States","60191","Illinois","IL",600,"Road","A",11,"United States","North America","Central",129
"Local Hardware Factory",2001,"Reserve Security","Specialty Bike Shop",2012,2012,1500000,"221-555-0141",46,150000,"42500 W 76th St","Chicago","US","United States","60610","Illinois","IL",600,"Road","A",6,"United States","North America","Central",147
"Futuristic Bikes",1999,"United Security","Warehouse",2012,2013,3000000,"163-555-0155",79,300000,"25136 Jefferson Blvd.","Culver City","US","United States","90232","California","CA",600,"Mountain","Q",6,"United States","North America","Southwest",151
"Tire Company",1987,"International Bank","Specialty Bike Shop",2011,2013,1500000,"599-555-0160",45,150000,"675 East Ave.","Warwick","US","United States","02889","Rhode Island","RI",600,"Road","A",11,"United States","North America","Northeast",162
"Downtown Hotel",1990,"International Bank","Warehouse",2011,2011,3000000,"147-555-0192",85,300000,"2560 E. Newlands Dr","Fernley","US","United States","89408","Nevada","NV",600,"Mountain","Q",6,"United States","North America","Northwest",169
"Full-Service Bike Store",1978,"Primary Bank & Reserve","Specialty Bike Shop",2011,2011,1500000,"264-555-0164",39,150000,"9920 North Telegraph Rd.","Pontiac","US","United States","48342","Michigan","MI",600,"Mountain","A",6,"United States","North America","Central",180
"Go-cart and Bike Specialists",1976,"International Security","Warehouse",2011,2012,3000000,"306-555-0166",90,300000,"2509 W. Frankford","Carrollton","US","United States","75006","Texas","TX",600,"Mountain","Q",4,"United States","North America","Southwest",184
"Two-Seater Bikes",1990,"Guardian Bank","Warehouse",2013,2013,3000000,"645-555-0193",96,300000,"5700 Legacy Dr","Plano","US","United States","75074","Texas","TX",600,"Touring","Q",6,"United States","North America","Southwest",202
"New and Used Bicycles",1998,"Primary International","Value Added Reseller",2011,2013,800000,"895-555-0160",18,80000,"3990 Silas Creek Parkway","Winston-Salem","US","United States","27104","North Carolina","NC",600,"Road","S",5,"United States","North America","Southeast",206
"Lubricant and Grease Suppliers",2000,"United Security","Specialty Bike Shop",2012,2013,1500000,"726-555-0191",30,150000,"956k North Wesleyan Blvd.","Rocky Mount","US","United States","27803","North Carolina","NC",600,"Mountain","A",5,"United States","North America","Southeast",207
"City Manufacturing",1983,"Reserve Security","Warehouse",2012,2013,3000000,"642-555-0187",66,300000,"3025 E Waterway Blvd","Shelton","US","United States","98584","Washington","WA",600,"Mountain","Q",5,"United States","North America","Northwest",217
"Pedal Systems Company",1984,"Reserve Security","Warehouse",2012,2012,1500000,"455-555-0144",43,150000,"656 Cox Creek Pkwy.","Florence","US","United States","35630","Alabama","AL",600,"Road","Q",5,"United States","North America","Southeast",224
"Certified Bicycle Supply",2005,"United Security","Specialty Bike Shop",2012,2013,1000000,"344-555-0133",25,100000,"2345 West Spencer Road","Lynnwood","US","United States","98036","Washington","WA",600,"Road","A",6,"United States","North America","Northwest",235
"Bicycle Merchandise Warehouse",2003,"International Bank","Warehouse",2012,2012,3000000,"529-555-0195",58,300000,"409 Santa Monica Blvd.","Santa Monica","US","United States","90401","California","CA",600,"Road","Q",6,"United States","North America","Southwest",239
"Number 1 Supply",1994,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"384-555-0169",76,300000,"Escondido","Escondido","US","United States","92025","California","CA",600,"Road","Q",5,"United States","North America","Southwest",257
"Functional Store North",1992,"International Security","Value Added Reseller",,,800000,"695-555-0128",12,80000,"650 E Altamonte Dr","Altamonte Springs","US","United States","32701","Florida","FL",600,"Mountain","S",,"United States","North America","Southeast",261
"Metro Cycle Shop",1993,"Guardian Bank","Warehouse",2011,2013,3000000,"635-555-0126",83,300000,"2507 Pacific Ave S","Tacoma","US","United States","98403","Washington","WA",600,"Mountain","Q",6,"United States","North America","Northwest",272
"Reliable Brake Systems",1983,"Guardian Bank","Value Added Reseller",2011,2011,300000,"793-555-0146",6,30000,"770 South Point Dr","Memphis","US","United States","38103","Tennessee","TN",600,"Mountain","S",6,"United States","North America","Southeast",279
"Friendly Bike Shop",1984,"Primary International","Warehouse",2011,2013,3000000,"119-555-0167",89,300000,"750 Lakeway Dr","Bellingham","US","United States","98225","Washington","WA",600,"Road","Q",4,"United States","North America","Northwest",290
"Flawless Bike Shop",1982,"Reserve Security","Value Added Reseller",,,300000,"780-555-0114",4,30000,"North County Square","Vista","US","United States","92084","California","CA",600,"Road","S",,"United States","North America","Southwest",294
"Engineered Bike Systems",1975,"International Bank","Specialty Bike Shop",2013,2013,1500000,"129-555-0164",37,150000,"123 Camelia Avenue","Oxnard","US","United States","93030","California","CA",600,"Touring","A",6,"United States","North America","Southwest",295
"Professional Sporting Goods",1978,"United Security","Warehouse",2012,2013,3000000,"219-555-0126",94,300000,"42500 South Franklin Street","Michigan City","US","United States","46360","Indiana","IN",600,"Touring","Q",4,"United States","North America","Northeast",305
"Resale Services",1992,"United Security","Value Added Reseller",2011,2013,800000,"226-555-0146",16,80000,"Fox Hills","Culver City","US","United States","90232","California","CA",600,"Mountain","S",5,"United States","North America","Southwest",312
"Metro Bike Works",2003,"International Bank","Warehouse",2012,2013,3000000,"689-555-0130",100,300000,"250000 Eight Mile Road","Detroit","US","United States","48226","Michigan","MI",600,"Mountain","Q",5,"United States","North America","Central",323
"World of Bikes",2001,"Primary Bank & Reserve","Value Added Reseller",2012,2013,800000,"695-555-0158",17,80000,"660 Lindbergh","Saint Louis","US","United States","63103","Missouri","MO",600,"Mountain","S",6,"United States","North America","Central",327
"Genial Bike Associates",2003,"International Security","Warehouse",2012,2013,3000000,"121-555-0139",55,300000,"99450 Highway 59 North","Humble","US","United States","77338","Texas","TX",600,"Mountain","Q",5,"United States","North America","Southwest",345
"Exercise Center",1979,"Guardian Bank","Value Added Reseller",2012,2012,800000,"112-555-0176",19,80000,"Stevens Creek Shopping Center","San Jose","US","United States","95112","California","CA",600,"Mountain","S",6,"United States","North America","Southwest",349
"Mountain Emporium",2002,"Reserve Security","Specialty Bike Shop",2012,2012,1500000,"756-555-0117",31,150000,"25800 Gallitin Rd.","Nashville","US","United States","37203","Tennessee","TN",600,"Mountain","A",11,"United States","North America","Southeast",350
"Novelty Bikes",1997,"Primary International","Warehouse",2013,2013,3000000,"327-555-0148",70,300000,"998 Forest Road","Saginaw","US","United States","48601","Michigan","MI",600,"Touring","Q",5,"United States","North America","Central",360
"Brown Bicycle Company",2000,"Primary International","Value Added Reseller",,,800000,"145-555-0166",13,80000,"University Town Center","San Diego","US","United States","92102","California","CA",600,"Road","S",,"United States","North America","Southwest",367
"Grown-up Bike Store",1988,"Reserve Security","Warehouse",2013,2013,3000000,"238-555-0163",82,300000,"25192 Princeton Rd.","Springdale","US","United States","45246","Ohio","OH",600,"Mountain","Q",5,"United States","North America","Northeast",378
"Beneficial Exercises and Activities",1986,"United Security","Value Added Reseller",2012,2013,300000,"510-555-0123",8,30000,"6425 Nw Loop 410","San Antonio","US","United States","78204","Texas","TX",600,"Road","S",3,"United States","North America","Southwest",382
"Vehicle Shop",1992,"Primary Bank & Reserve","Specialty Bike Shop",2011,2013,1500000,"773-555-0182",44,150000,"Pavillion @ Redlands","Redlands","US","United States","92373","California","CA",600,"Road","A",4,"United States","North America","Southwest",383
"Local Sales and Rental",1977,"International Bank","Value Added Reseller",2013,2013,300000,"632-555-0171",2,30000,"1200 First Ave.","Joliet","US","United States","60433","Illinois","IL",600,"Touring","S",6,"United States","North America","Central",400
"Activity Center",1975,"Primary Bank & Reserve","Specialty Bike Shop",2011,2013,1500000,"717-555-0131",37,150000,"Factory Stores Of America","Crossville","US","United States","38555","Tennessee","TN",600,"Road","A",4,"United States","North America","Southeast",404
"Imaginary Toys",1980,"International Security","Value Added Reseller",,,800000,"708-555-0169",12,80000,"4210 E Sprague Ave","Spokane","US","United States","99202","Washington","WA",600,"Touring","S",,"United States","North America","Northwest",415
"Impromptu Trips",1982,"Primary International","Specialty Bike Shop",,,1500000,"134-555-0182",33,150000,"Valley Mall","Union Gap","US","United States","98903","Washington","WA",600,"Mountain","A",,"United States","North America","Northwest",416
"Consolidated Sales",1994,"International Security","Specialty Bike Shop",2011,2013,1500000,"762-555-0110",31,150000,"Carolina Factory Shops","Gaffney","US","United States","29340","South Carolina","SC",600,"Mountain","A",5,"United States","North America","Southeast",422
"Thorough Parts and Repair Services",1979,"Guardian Bank","Value Added Reseller",2011,2013,800000,"827-555-0143",18,80000,"S Sound Ctr Suite 25300","Lacey","US","United States","98503","Washington","WA",600,"Road","S",5,"United States","North America","Northwest",433
"Professional Cycle Store",1974,"Primary International","Value Added Reseller",2011,2013,300000,"148-555-0149",2,30000,"Arcadia Crossing","Phoenix","US","United States","85004","Arizona","AZ",600,"Mountain","S",4,"United States","North America","Southwest",437
"Remarkable Bike Store",1976,"United Security","Specialty Bike Shop",2011,2013,800000,"121-555-0157",10,80000,"Eastern Beltway Center","Las Vegas","US","United States","89106","Nevada","NV",600,"Road","A",6,"United States","North America","Northwest",438
"Timely Shipping Service",2004,"Reserve Security","Value Added Reseller",,,1000000,"740-555-0159",20,100000,"Viejas Outlet Center","Alpine","US","United States","91901","California","CA",600,"Mountain","S",,"United States","North America","Southwest",455
"Parts Shop",2002,"United Security","Specialty Bike Shop",2013,2013,1500000,"653-555-0170",31,150000,"West Georgia Commons","La Grange","US","United States","30240","Georgia","GA",600,"Road","A",10,"United States","North America","Southeast",459
"Wingtip Toys",2003,"International Bank","Value Added Reseller",2013,2013,800000,"328-555-0192",15,80000,"755 Columbia Ctr Blvd","Kennewick","US","United States","99337","Washington","WA",600,"Mountain","S",3,"United States","North America","Northwest",470
