Entitlement Agency ID,PIM Link,Project name,Project address,Status,Entered status date,Total project units,Market rate units,Affordable units,TBD units,Applicant,Entitlement agency,Supervisor district,Environmental review type,Under Entitlement Review Start Date,Under Entitlement Review End Date,Entitled Start Date,Entitled End Date,Filed for Permits Start Date,Filed For Permits End Date,Under Construction Start Date,Under Construction End Date,Completed Construction Start Date
2003.1155,https://sfplanninggis.org/pim?search=2003.1155,3022 OCTAVIA ST,"3022 - 3026 OCTAVIA ST, SAN FRANCISCO, CA 94123","Entitled, not yet filed for permits",2004-06-30 00:00:00,3,3,,0,A & J Design Assoc.,Planning,,,2003-10-28 00:00:00,2004-06-30 00:00:00,2004-06-30 00:00:00,,,,,,
1998.276,https://sfplanninggis.org/pim?search=1998.276,3025 20TH ST,"3025 - 0 20TH ST 0004, SAN FRANCISCO, CA 94110",Completed,1998-11-13 00:00:00,3,3,,0,"",Planning,,,,,,,1996-08-28 00:00:00,,,,1998-11-13 00:00:00
2019-000932PRJ,https://sfplanninggis.org/pim?search=2019-000932PRJ,3025 21st Street,3025 21ST ST 94110,"Entitled, filed for permits",2019-01-23 00:00:00,2,2,,0,Santos and Urrutia Engineers,Planning,9,,,,,,2019-01-23 00:00:00,,,,
2020-000541PRJ,https://sfplanninggis.org/pim?search=2020-000541PRJ,3025 VAN NESS AVE,3025 VAN NESS AVE 94123,"Entitled, filed for permits",2020-01-13 00:00:00,1,1,,0,Kelly Condon Design,Planning,2,,,,,,2020-01-13 00:00:00,,,,
2006.0423,https://sfplanninggis.org/pim?search=2006.0423,3027 25TH ST,"3027 - 3029 25TH ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2006-06-20 00:00:00,3,3,,0,"Wilson, Robin",Planning,,Categorical Exemption-Certificate,2006-03-22 00:00:00,2006-06-20 00:00:00,2006-06-20 00:00:00,,,,,,
2018-012998PRJ,https://sfplanninggis.org/pim?search=2018-012998PRJ,303 ARGUELLO BLVD,303 ARGUELLO BLVD 94118,"Entitled, filed for permits",2018-09-11 00:00:00,1,1,,0,Thousand Architects,Planning,1,,,,,,2018-09-11 00:00:00,,,,
2005.0305,https://sfplanninggis.org/pim?search=2005.0305,3030 PACIFIC AV,"3030 - 0 PACIFIC AV, SAN FRANCISCO, CA 94115","Entitled, not yet filed for permits",2005-10-05 00:00:00,1,1,,0,Mark Horton Architecture,Planning,,,2005-03-29 00:00:00,2005-10-05 00:00:00,2005-10-05 00:00:00,,,,,,
2019-013787PRL,https://sfplanninggis.org/pim?search=2019-013787PRL,3036 FULTON ST,3036 FULTON ST 94118,"Entitled, filed for permits",2019-06-20 00:00:00,3,3,,0,", 3036 FULTON STREET LLC",Planning,1,,,,,,2019-06-20 00:00:00,,,,
2017-007184PRJ,https://sfplanninggis.org/pim?search=2017-007184PRJ,304 ORIZABA AVE,304 ORIZABA AVE 94112,"Entitled, filed for permits",2017-04-28 00:00:00,1,1,,0,", WU JUWEN & WENG SHAOHUA",Planning,11,,,,,,2017-04-28 00:00:00,,,,
2014-003178PRJ,https://sfplanninggis.org/pim?search=2014-003178PRJ,3040 24th St.,3040 24TH ST 94110,Under construction,2018-06-22 00:00:00,1,1,,0,",",Planning,9,Categorical Exemption-Stamp,2014-12-29 00:00:00,2015-03-25 00:00:00,2015-03-25 00:00:00,2015-03-25 00:00:00,2015-03-25 00:00:00,2018-06-22 00:00:00,2018-06-22 00:00:00,,
2006.0426,https://sfplanninggis.org/pim?search=2006.0426,3041 LAGUNA ST,"3041 - 0 LAGUNA ST, SAN FRANCISCO, CA 94123","Entitled, not yet filed for permits",2007-01-11 00:00:00,1,1,,0,Kerman/Morris Architects LLP,Planning,,Categorical Exemption-Certificate,2006-03-23 00:00:00,2007-01-11 00:00:00,2007-01-11 00:00:00,,,,,,
2005.0509,https://sfplanninggis.org/pim?search=2005.0509,3041 WEBSTER ST,"3041 - 0 WEBSTER ST NITA, SAN FRANCISCO, CA 94123",Completed,2008-05-09 00:00:00,1,1,,0,"Fillon, Alfonso",Planning,,,,,,,2005-01-28 00:00:00,2006-06-13 00:00:00,2006-06-13 00:00:00,2008-05-09 00:00:00,2008-05-09 00:00:00
2004.0903,https://sfplanninggis.org/pim?search=2004.0903,3043 SAN BRUNO AV,"3043 - 0 SAN BRUNO AV, SAN FRANCISCO, CA 94134",Completed,2006-10-18 00:00:00,4,4,,0,Gabriel Ng and Associates,Planning,,,2004-09-03 00:00:00,2004-11-30 00:00:00,2004-11-30 00:00:00,2004-11-30 00:00:00,2004-11-30 00:00:00,2005-06-29 00:00:00,2005-06-29 00:00:00,2006-10-18 00:00:00,2006-10-18 00:00:00
2018-002262PRJ,https://sfplanninggis.org/pim?search=2018-002262PRJ,3043 WEBSTER ST,3043 WEBSTER ST 94123,Completed,2020-03-09 00:00:00,1,1,,0,", GARRICK GO DECEDENT TR",Planning,2,,,,,,2018-02-09 00:00:00,2019-02-04 00:00:00,2019-02-04 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00
2005.1035,https://sfplanninggis.org/pim?search=2005.1035,3049 SAN BRUNO AV,"3049 - 0 SAN BRUNO AV, SAN FRANCISCO, CA 94134",Completed,2006-10-16 00:00:00,4,4,,0,"Wholey, Jack",Planning,,,,,,,2004-04-23 00:00:00,2005-06-29 00:00:00,2005-06-29 00:00:00,2006-10-16 00:00:00,2006-10-16 00:00:00
2018-016618PRJ,https://sfplanninggis.org/pim?search=2018-016618PRJ,3049 Clement,3049 CLEMENT ST 94121,Under entitlement review,2020-01-08 00:00:00,1,1,,0,Ice Design Inc.,Planning,1,,2020-01-08 00:00:00,,,,,,,,
2003.0679,https://sfplanninggis.org/pim?search=2003.0679,16-18-20-22  NORFOLK ST,"305 - 0 12TH ST, SAN FRANCISCO, CA 94103",Completed,2003-09-15 00:00:00,8,8,,0,Herzig & Berlese,Planning,,,,,,,2000-12-19 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,2003-09-15 00:00:00,2003-09-15 00:00:00
2008.0462,https://sfplanninggis.org/pim?search=2008.0462,305 FRANCONIA ST,"305 - 0 FRANCONIA ST, SAN FRANCISCO, CA 94110","Entitled, filed for permits",2008-08-01 00:00:00,1,1,,0,Paxton Gate,Planning,,,2008-04-17 00:00:00,2008-08-01 00:00:00,2008-08-01 00:00:00,2008-08-01 00:00:00,2008-08-01 00:00:00,2003-05-27 00:00:00,2003-05-27 00:00:00,2005-09-13 00:00:00,2005-09-13 00:00:00
2019-005267PRJ,https://sfplanninggis.org/pim?search=2019-005267PRJ,305 Bocana,305 BOCANA ST 94110,"Entitled, filed for permits",2019-04-19 00:00:00,1,1,,0,Xie Associates Inc.,Planning,9,,,,,,2019-04-19 00:00:00,,,,
2017-004749PRJ,https://sfplanninggis.org/pim?search=2017-004749PRJ,305 SAN CARLOS ST,305 SAN CARLOS ST 94110,Under construction,2018-11-06 00:00:00,3,3,,0,"LLC, 305 SAN CARLOS STREET T1 LLC",Planning,9,,,,,,2017-02-03 00:00:00,2018-11-06 00:00:00,2018-11-06 00:00:00,,
2016-000320PRJ,https://sfplanninggis.org/pim?search=2016-000320PRJ,3053 TURK BLVD,3053 TURK BLVD 94118,Completed,2018-08-02 00:00:00,3,3,,0,", SF BAYVIEW PARTNERS LP",Planning,1,,,,,,2015-12-18 00:00:00,2016-10-18 00:00:00,2016-10-18 00:00:00,2018-08-02 00:00:00,2018-08-02 00:00:00
2019-016385PRJ,https://sfplanninggis.org/pim?search=2019-016385PRJ,3057 21st Street,3057 21ST ST 94110,"Entitled, filed for permits",2019-08-23 00:00:00,2,2,,0,"Masma, Shan",Planning,9,,,,,,2019-08-23 00:00:00,,,,
2015-008533PRJ,https://sfplanninggis.org/pim?search=2015-008533PRJ,306 ARLETA AVE,306 ARLETA AVE 94134,Completed,2016-12-02 00:00:00,1,1,,0,",",Planning,10,,,,,,2015-06-24 00:00:00,2016-06-24 00:00:00,2016-06-24 00:00:00,2016-12-02 00:00:00,2016-12-02 00:00:00
2016-003821PRJ,https://sfplanninggis.org/pim?search=2016-003821PRJ,306 Arlington Street,306 ARLINGTON ST 94131,"Entitled, not yet filed for permits",2016-05-10 00:00:00,1,1,,0,SW Architect,Planning,8,Categorical Exemption-Stamp,2016-03-23 00:00:00,2016-05-10 00:00:00,2016-05-10 00:00:00,,,,,,
2014-002302PRJ,https://sfplanninggis.org/pim?search=2014-002302PRJ,306 University Street,306 UNIVERSITY ST 94134,Under construction,2018-04-23 00:00:00,1,1,,0,Gabriel Ng + Architects Inc.,Planning,9,,,,,,2014-07-30 00:00:00,2018-04-23 00:00:00,2018-04-23 00:00:00,,
2018-005439PRJ,https://sfplanninggis.org/pim?search=2018-005439PRJ,3063 LAGUNA STREET,3063 LAGUNA ST 94123,Under entitlement review,2018-03-16 00:00:00,1,1,,0,David Armour Architecture,Planning,2,Categorical Exemption-Determination of Historic Resource,2018-03-16 00:00:00,,,,,,,,
2002.0349,https://sfplanninggis.org/pim?search=2002.0349,3066 25TH ST,"3066 - 0 25TH ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2002-08-28 00:00:00,2,2,,0,"Leonte, Lucian",Planning,,,2002-04-04 00:00:00,2002-08-28 00:00:00,2002-08-28 00:00:00,,,,,,
2004.0175,https://sfplanninggis.org/pim?search=2004.0175,3075 PACIFIC AV,"3075 - 0 PACIFIC AV, SAN FRANCISCO, CA 94115","Entitled, not yet filed for permits",2005-10-21 00:00:00,1,1,,0,Dan Phipps Architects,Planning,,,2004-02-24 00:00:00,2005-10-21 00:00:00,2005-10-21 00:00:00,,,,,,
2018-004037PRJ,https://sfplanninggis.org/pim?search=2018-004037PRJ,3075 25TH AVE,3075 25TH AVE 94132,Completed,2019-01-11 00:00:00,2,2,,0,", MORELLO ELLEN C 96 LVG TR",Planning,7,,,,,,2018-03-13 00:00:00,2018-07-12 00:00:00,2018-07-12 00:00:00,2019-01-11 00:00:00,2019-01-11 00:00:00
2017-003915PRL,https://sfplanninggis.org/pim?search=2017-003915PRL,3076 26TH ST,3076 26TH ST 94110,Completed,2019-07-09 00:00:00,2,2,,0,"asd, asd",Planning,9,,,,,,2017-03-29 00:00:00,2017-11-16 00:00:00,2017-11-16 00:00:00,2019-07-09 00:00:00,2019-07-09 00:00:00
2015-010646PRJ,https://sfplanninggis.org/pim?search=2015-010646PRJ,3079 CALIFORNIA ST,3079 CALIFORNIA ST 94115,"Entitled, not yet filed for permits",2016-04-13 00:00:00,3,3,,0,David Armour Architecture,Planning,2,,2015-08-19 00:00:00,2016-04-13 00:00:00,2016-04-13 00:00:00,,,,,,
2014.1406,https://sfplanninggis.org/pim?search=2014.1406,308 ANDOVER ST,"308 - 0 ANDOVER ST, SAN FRANCISCO, CA","Entitled, not yet filed for permits",2015-03-26 00:00:00,2,2,,0,"Mokry, Robert & Gretch",Planning,,,2014-09-13 00:00:00,2015-03-26 00:00:00,2015-03-26 00:00:00,,,,,,
1998.264,https://sfplanninggis.org/pim?search=1998.264,0308 SHOTWELL ST,"308 - 0 SHOTWELL ST 0001, SAN FRANCISCO, CA",Completed,1998-09-21 00:00:00,3,3,,0,"",Planning,,,,,,,1997-08-01 00:00:00,1997-08-11 00:00:00,1997-08-11 00:00:00,1998-09-21 00:00:00,1998-09-21 00:00:00
2007.0293,https://sfplanninggis.org/pim?search=2007.0293,3080 25TH AV,"3080 - 0 25TH AV, SAN FRANCISCO, CA 94132","Entitled, not yet filed for permits",2007-05-09 00:00:00,1,1,,0,Designcorps,Planning,,,2007-03-22 00:00:00,2007-05-09 00:00:00,2007-05-09 00:00:00,,,,,,
2016-001224PRJ,https://sfplanninggis.org/pim?search=2016-001224PRJ,3085 Harrison Street,3085 HARRISON ST 94110,"Entitled, not yet filed for permits",2016-03-16 00:00:00,3,3,,0,Soularch Design,Planning,9,Categorical Exemption-Determination of Historic Resource,2016-01-26 00:00:00,2016-03-16 00:00:00,2016-03-16 00:00:00,,,,,,
2009.0144,https://sfplanninggis.org/pim?search=2009.0144,3099 22ND ST,"3089 - 0 22ND ST, SAN FRANCISCO, CA 94110",Completed,2009-10-20 00:00:00,9,9,,0,Law Offices of Matthew A. Brennan,Planning,,,,,,,2006-10-25 00:00:00,,,,2009-10-20 00:00:00
2010.0378,https://sfplanninggis.org/pim?search=2010.0378,309 05TH AV,"309 - 0 05TH AV, SAN FRANCISCO, CA 94118",Completed,2012-10-12 00:00:00,-1,-1,,0,"Liang, Norman",Planning,,,,,,,2010-05-19 00:00:00,2011-03-21 00:00:00,2011-03-21 00:00:00,2012-10-12 00:00:00,2012-10-12 00:00:00
2005.0725,https://sfplanninggis.org/pim?search=2005.0725,309 RUTLEDGE ST,"309 - 0 RUTLEDGE ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2007-07-31 00:00:00,1,1,,0,Sven Lavine Architecture,Planning,,Categorical Exemption-Certificate,2005-07-28 00:00:00,2007-07-31 00:00:00,2007-07-31 00:00:00,,,,,,
2014.1350,https://sfplanninggis.org/pim?search=2014.1350,309 CHESTNUT ST,"309 - 311 CHESTNUT ST, SAN FRANCISCO, CA 94133","Entitled, not yet filed for permits",2015-03-25 00:00:00,3,3,,0,"Pastine, Albert",Planning,,,2014-09-03 00:00:00,2015-03-25 00:00:00,2015-03-25 00:00:00,,,,,,
2018-007147PRJ,https://sfplanninggis.org/pim?search=2018-007147PRJ,3090 MARKET ST,3090 MARKET ST 94114,Under entitlement review,2018-05-15 00:00:00,2,2,,0,"Fitzgerald, Mary",Planning,8,,2018-05-15 00:00:00,,,,,,,,
2014-000630PRJ,https://sfplanninggis.org/pim?search=2014-000630PRJ,3090 SAN BRUNO AVE,3090 SAN BRUNO AVE 94134,Under construction,2015-07-16 00:00:00,1,1,,0,",",Planning,9,,,,,,2014-10-22 00:00:00,2015-07-16 00:00:00,2015-07-16 00:00:00,,
2010.0847,https://sfplanninggis.org/pim?search=2010.0847,3098 PACIFIC AV,"3098 - 0 PACIFIC AV, SAN FRANCISCO, CA 94115","Entitled, not yet filed for permits",2011-04-01 00:00:00,1,1,,0,John Maniscalco Architecture,Planning,,,2010-09-21 00:00:00,2011-04-01 00:00:00,2011-04-01 00:00:00,,,,,,
2008.1172,https://sfplanninggis.org/pim?search=2008.1172,1101 So. Van Ness,"3099 - 0 22ND ST, SAN FRANCISCO, CA 94110",Under construction,2019-11-26 00:00:00,9,9,,0,"Pagoulatos, Nick",Planning,,,,,,,2007-12-28 00:00:00,2019-11-26 00:00:00,2019-11-26 00:00:00,,
2018-007986PRJ,https://sfplanninggis.org/pim?search=2018-007986PRJ,3099 WASHINGTON ST,3099 WASHINGTON ST 94115,"Entitled, filed for permits",2018-05-03 00:00:00,3,3,,0,"Herczeg, Jacob",Planning,2,,,,,,2018-05-03 00:00:00,,,,
2005.0574,https://sfplanninggis.org/pim?search=2005.0574,31 ALTA ST,"31 - 0 ALTA ST, SAN FRANCISCO, CA 94133","Entitled, not yet filed for permits",2005-07-18 00:00:00,1,1,,0,"Willmore, Bradford E.",Planning,,,2005-06-16 00:00:00,2005-07-18 00:00:00,2005-07-18 00:00:00,,,,,,
2004.0331,https://sfplanninggis.org/pim?search=2004.0331,31 ALTA ST,"31 - 0 ALTA ST, SAN FRANCISCO, CA 94133","Entitled, not yet filed for permits",2006-05-03 00:00:00,1,1,,0,"Willmore, Bradford E.",Planning,,,2004-04-09 00:00:00,2006-05-03 00:00:00,2006-05-03 00:00:00,,,,,,
1990.228,https://sfplanninggis.org/pim?search=1990.228,25-31 Priest St,"31 - 0 PRIEST ST, SAN FRANCISCO, CA 94109",Completed,1992-06-10 00:00:00,-1,-1,,0,"Barkley, Alice Suet Yee",Planning,,,1990-04-20 00:00:00,1990-06-08 00:00:00,1990-06-08 00:00:00,1990-06-08 00:00:00,1990-06-08 00:00:00,1990-09-19 00:00:00,1990-09-19 00:00:00,1992-06-10 00:00:00,1992-06-10 00:00:00
2013.0155,https://sfplanninggis.org/pim?search=2013.0155,31 RICO WY,"31 - 0 RICO WY, SAN FRANCISCO, CA 94123",Completed,2015-05-12 00:00:00,-1,-1,,0,ARMOUR+VOKIC ARCHITECTURE,Planning,,Categorical Exemption-Stamp,2013-02-12 00:00:00,2013-08-15 00:00:00,2013-08-15 00:00:00,2013-08-15 00:00:00,2013-08-15 00:00:00,2013-12-30 00:00:00,2013-12-30 00:00:00,2015-05-12 00:00:00,2015-05-12 00:00:00
2011.0152,https://sfplanninggis.org/pim?search=2011.0152,31 VALLEY STREET,"31 - 33 VALLEY ST, SAN FRANCISCO, CA 94114","Entitled, not yet filed for permits",2011-05-25 00:00:00,2,2,,0,Bill Egan Architect,Planning,,Categorical Exemption-Determination of Historic Resource,2011-02-15 00:00:00,2011-05-25 00:00:00,2011-05-25 00:00:00,,,,,,
2019-006744PRJ,https://sfplanninggis.org/pim?search=2019-006744PRJ,31 CLIPPER ST,31 CLIPPER ST 94114,Under entitlement review,2019-05-14 00:00:00,1,1,,0,Mostert Architecture,Planning,8,,2019-05-14 00:00:00,,,,,,,,
2018-001698PRJ,https://sfplanninggis.org/pim?search=2018-001698PRJ,31 HARRIET ST,31 HARRIET ST 94103,Under construction,2019-10-18 00:00:00,6,6,,0,Wing Lee Architects,Planning,6,,,,,,2018-01-30 00:00:00,2019-10-18 00:00:00,2019-10-18 00:00:00,,
2017-013462PRJ,https://sfplanninggis.org/pim?search=2017-013462PRJ,31 LEESE ST,31 LEESE ST 94110,Under construction,2019-05-06 00:00:00,1,1,,0,"Perry, W. Charles",Planning,9,,,,,,2017-10-10 00:00:00,2019-05-06 00:00:00,2019-05-06 00:00:00,,
2000.132,https://sfplanninggis.org/pim?search=2000.132,310 GREEN ST,"310 - 0 GREEN ST, SAN FRANCISCO, CA 94133",Completed,2001-10-17 00:00:00,1,1,,0,"Luttrell, Jordan",Planning,,,,,,,1999-07-26 00:00:00,2000-07-12 00:00:00,2000-07-12 00:00:00,2001-10-17 00:00:00,2001-10-17 00:00:00
1987.616,https://sfplanninggis.org/pim?search=1987.616,1321 Natoma St,"310 - 0 SOUTH VAN NESS AV, SAN FRANCISCO, CA","Entitled, not yet filed for permits",2003-04-24 00:00:00,8,8,,0,"",Planning,,,1987-09-22 00:00:00,2003-04-24 00:00:00,2003-04-24 00:00:00,,,,,,
2016-015215PRJ,https://sfplanninggis.org/pim?search=2016-015215PRJ,310 Cresta Vista Drive,310 CRESTA VISTA DR 94127,"Entitled, not yet filed for permits",2016-12-30 00:00:00,1,1,,0,ECR Engeneering,Planning,7,Categorical Exemption-Stamp,2016-11-29 00:00:00,2016-12-30 00:00:00,2016-12-30 00:00:00,,,,,,
2019-013612PRJ,https://sfplanninggis.org/pim?search=2019-013612PRJ,310 Delano Ave,310 DELANO AVE 94112,Under construction,2019-12-05 00:00:00,1,1,,0,"Chan, Ken",Planning,11,,,,,,2019-07-11 00:00:00,2019-12-05 00:00:00,2019-12-05 00:00:00,,
2020-000298PRJ,https://sfplanninggis.org/pim?search=2020-000298PRJ,3100 Taraval Street,3100 TARAVAL ST 94116,"Entitled, filed for permits",2020-02-11 00:00:00,3,3,,0,SynerForce Engineering & Construction,Planning,4,,,,,,2020-02-11 00:00:00,,,,
2016-012135PRJ,https://sfplanninggis.org/pim?search=2016-012135PRJ,2214 Cayuga Ave. & 3101 Alemany Blvd.,3101 ALEMANY BLVD 94112,Under entitlement review,2017-02-23 00:00:00,4,4,,0,"Gabriel Ng + Architects, Inc.",Planning,11,,2017-02-23 00:00:00,,,,,,,,
2017-011504PRJ,https://sfplanninggis.org/pim?search=2017-011504PRJ,3101 SAN JOSE AVE,3101 SAN JOSE AVE 94112,"Entitled, not yet filed for permits",2018-08-03 00:00:00,1,1,,0,"Ng, Wilson",Planning,11,Categorical Exemption-Determination of Historic Resource,2018-05-01 00:00:00,2018-08-03 00:00:00,2018-08-03 00:00:00,2018-08-03 00:00:00,2018-08-03 00:00:00,,,,
2008.0682,https://sfplanninggis.org/pim?search=2008.0682,311 EUREKA ST,"311 - 0 EUREKA ST, SAN FRANCISCO, CA 94114","Entitled, filed for permits",2009-05-04 00:00:00,2,2,,0,Friel Designs,Planning,,Categorical Exemption-Certificate,2008-06-11 00:00:00,2008-09-18 00:00:00,2008-09-18 00:00:00,2009-05-04 00:00:00,2009-05-04 00:00:00,,,,
2009.0685,https://sfplanninggis.org/pim?search=2009.0685,311 EUREKA STREET,"311 - 0 EUREKA ST, SAN FRANCISCO, CA 94114",Completed,2014-08-04 00:00:00,4,4,,0,Friel Designs,Planning,,,,,,,2009-05-04 00:00:00,2013-03-05 00:00:00,2013-03-05 00:00:00,2014-08-04 00:00:00,2014-08-04 00:00:00
2014.1473,https://sfplanninggis.org/pim?search=2014.1473,311 GROVE STREET,"311 - 311 GROVE ST, SAN FRANCISCO, CA 94102","Entitled, not yet filed for permits",2016-03-31 00:00:00,8,8,,0,"311 Grove Hayes Valley, LLC",Planning,5,Community Plan-Exemption/Exclusion,2014-10-15 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,,,,
2016-012745PRJ,https://sfplanninggis.org/pim?search=2016-012745PRJ,311 - 28th Street,311 28TH ST 94131,Under entitlement review,2016-10-03 00:00:00,1,1,,0,MacCracken Architects,Planning,8,Categorical Exemption-Determination of Historic Resource,2016-10-03 00:00:00,,,,,,,,
2018-009208PRJ,https://sfplanninggis.org/pim?search=2018-009208PRJ,307 GUERRERO ST,311 GUERRERO ST 94103,Under construction,2019-06-24 00:00:00,6,6,,0,", JMS PROPERTIES",Planning,8,,,,,,2018-06-29 00:00:00,2019-06-24 00:00:00,2019-06-24 00:00:00,,
2016-005320PRJ,https://sfplanninggis.org/pim?search=2016-005320PRJ,3110 CLAY ST,3110 CLAY ST 94115,Completed,2019-09-17 00:00:00,1,1,,0,Syncopated Architecture,Planning,2,,2016-06-28 00:00:00,2016-10-13 00:00:00,2016-10-13 00:00:00,2016-10-13 00:00:00,2016-10-13 00:00:00,2018-03-26 00:00:00,2018-03-26 00:00:00,2019-09-17 00:00:00,2019-09-17 00:00:00
2003.0698,https://sfplanninggis.org/pim?search=2003.0698,3110 CALIFORNIA ST,"3112 - 0 CALIFORNIA ST, SAN FRANCISCO, CA 94115",Completed,2005-09-08 00:00:00,5,5,,0,Herzig & Berlese,Planning,,,,,,,2002-03-28 00:00:00,2002-03-28 00:00:00,2002-03-28 00:00:00,2005-09-08 00:00:00,2005-09-08 00:00:00
1996.530,https://sfplanninggis.org/pim?search=1996.530,3117 20TH ST,"3117 - 0 20TH ST, SAN FRANCISCO, CA 94110",Completed,1997-11-07 00:00:00,4,4,,0,"Herzog, Ted",Planning,,,1996-09-06 00:00:00,1996-10-04 00:00:00,1996-10-04 00:00:00,1996-10-04 00:00:00,1996-10-04 00:00:00,,,,1997-11-07 00:00:00
2000.752,https://sfplanninggis.org/pim?search=2000.752,3118-3122 22ND ST,"3118 - 3122 22ND ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2001-03-01 00:00:00,1,1,,0,"Ewald, Daniel",Planning,,,2000-07-20 00:00:00,2001-03-01 00:00:00,2001-03-01 00:00:00,,,,,,
2007.0420,https://sfplanninggis.org/pim?search=2007.0420,3119 HARRISON ST,"3119 - 0 HARRISON ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2007-09-26 00:00:00,2,2,,0,Studio 12 Architecture,Planning,,,2007-04-26 00:00:00,2007-09-26 00:00:00,2007-09-26 00:00:00,,,,,,
2008.0136,https://sfplanninggis.org/pim?search=2008.0136,3119 HARRISON ST,"3119 - 0 HARRISON ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2008-05-29 00:00:00,2,2,,0,Studio 12 Architecture,Planning,,,2008-01-31 00:00:00,2008-05-29 00:00:00,2008-05-29 00:00:00,,,,,,
1988.014,https://sfplanninggis.org/pim?search=1988.014,312 4th Ave,"312 - 0 04TH AV, SAN FRANCISCO, CA 94118","Entitled, filed for permits",1987-12-22 00:00:00,3,3,,0,"Earley, Judith",Planning,,,,,,,1987-12-22 00:00:00,,,,
2005.0847,https://sfplanninggis.org/pim?search=2005.0847,312 ANZA ST,"312 - 0 ANZA ST, SAN FRANCISCO, CA 94118",Completed,2007-03-09 00:00:00,1,1,,0,"Kashanipour, Troy",Planning,,,2005-08-30 00:00:00,2006-03-06 00:00:00,2006-03-06 00:00:00,2006-04-19 00:00:00,2006-04-19 00:00:00,2006-07-10 00:00:00,2006-07-10 00:00:00,2007-03-09 00:00:00,2007-03-09 00:00:00
2019-022419PRJ,https://sfplanninggis.org/pim?search=2019-022419PRJ,312 UTAH ST,312 UTAH ST 94103,Under entitlement review,2019-11-23 00:00:00,3,3,,0,William Pashelinsky Architect,Planning,10,Categorical Exemption-Stamp,2019-11-23 00:00:00,,,,,,,,
2009.0810,https://sfplanninggis.org/pim?search=2009.0810,3120 23RD STREET,"3120 - 3122 23RD ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2013-04-02 00:00:00,3,3,,0,"Gupta, Ashish",Planning,,Categorical Exemption-Determination of Historic Resource,2009-08-28 00:00:00,2013-04-02 00:00:00,2013-04-02 00:00:00,,,,,,
2019-023093PRJ,https://sfplanninggis.org/pim?search=2019-023093PRJ,3121 Santiago Street,3121 SANTIAGO ST 94116,"Entitled, filed for permits",2019-12-11 00:00:00,1,1,,0,"Bernabe, Gavina",Planning,4,,,,,,2019-12-11 00:00:00,,,,
2017-005132PRJ,https://sfplanninggis.org/pim?search=2017-005132PRJ,3123 ULLOA ST,3123 ULLOA ST 94116,Completed,2019-03-20 00:00:00,2,2,,0,"LIN, LIN DANNY & ZHANG JUDY",Planning,4,,,,,,2017-04-07 00:00:00,2018-06-21 00:00:00,2018-06-21 00:00:00,2019-03-20 00:00:00,2019-03-20 00:00:00
2018-002343PRJ,https://sfplanninggis.org/pim?search=2018-002343PRJ,3124 21ST ST,3124 21ST ST 94110,"Entitled, filed for permits",2018-01-22 00:00:00,2,2,,0,", SF BAKER INVESTMENTS LLC",Planning,9,,,,,,2018-01-22 00:00:00,,,,
2018-012486PRJ,https://sfplanninggis.org/pim?search=2018-012486PRJ,3124 21ST ST,3124 21ST ST 94110,"Entitled, filed for permits",2018-09-11 00:00:00,1,1,,0,"Swason, Steve",Planning,9,,,,,,2018-09-11 00:00:00,,,,
2019-013046PRJ,https://sfplanninggis.org/pim?search=2019-013046PRJ,3124 GOUGH ST,3124 GOUGH ST 94123,Under entitlement review,2019-09-09 00:00:00,1,1,,0,McMahon Architects,Planning,2,Categorical Exemption-Determination of Historic Resource,2019-09-09 00:00:00,,,,,,,,
2014.1109,https://sfplanninggis.org/pim?search=2014.1109,3125 FOLSOM ST,"3125 - 3127 FOLSOM ST, SAN FRANCISCO, CA 94110",Under construction,2018-05-03 00:00:00,4,4,,0,Gabriel Ng and Associates,Planning,,Categorical Exemption-Determination of Historic Resource,2014-07-17 00:00:00,2014-12-30 00:00:00,2014-12-30 00:00:00,2014-12-30 00:00:00,2014-12-30 00:00:00,2018-05-03 00:00:00,2018-05-03 00:00:00,,
2014-001248PRJ,https://sfplanninggis.org/pim?search=2014-001248PRJ,3125 LINCOLN WAY,3125 LINCOLN WAY 94122,Under construction,2018-03-12 00:00:00,2,2,,0,",",Planning,4,,,,,,2014-11-06 00:00:00,2018-03-12 00:00:00,2018-03-12 00:00:00,,
