Country,State,District,Revenue,Manufacturer
Japan,Yamaguchiken,Ooshimaguntouwachou,8317.68,Currus
Japan,Tokushimaken,Kaifugunmugichou,8236.305,Aliqui
Japan,Tokushimaken,Oegunkamojimachou,8231.0025,Aliqui
Mexico,Distrito Federal,Cuajimalpa de Morelos,8207.1,VanArsdel
Mexico,Distrito Federal,Iztacalco,8201.85,VanArsdel
Japan,Tokushimaken,Itanogunkitajimachou,8141.91,Natura
Japan,Yamaguchiken,Kugagunnishikichou,8126.055,Currus
Japan,Tokushimaken,Kaifugunmugichou,8070.93,Currus
Mexico,Distrito Federal,Alvaro Obregon,8047.39,Currus
USA,AR,District #24,8037.015,Aliqui
Japan,Tokushimaken,Oegunkamojimachou,8010.66,Natura
Japan,Hiroshimaken,Kamogunkurosechou,8000.1075,Natura
Japan,Yamaguchiken,Sabaguntokudichou,7836.99,Pirum
Japan,Yamaguchiken,Kumagegunhiraochou,7737.66,Aliqui
Mexico,Distrito Federal,Alvaro Obregon,7716.3,Pirum
USA,WY,District #33,7711.4625,Natura
Canada,Quebec,,7674.66,Natura
Japan,Yamaguchiken,Kugagunyuuchou,7674.66,Natura
Japan,Ishikawaken,Ishikawaguntorigoemura,7666.575,VanArsdel
Japan,Tokushimaken,Komatsushimashi,7653.135,Pirum
USA,MD,District #04,7645.47,Pirum
Japan,Tokushimaken,Nakagunhanourachou,7635.0225,Pirum
USA,VT,District #02,7616.91,Aliqui
Japan,Hiroshimaken,Shoubarashi,7606.41,Natura
USA,AR,District #21,7603.575,VanArsdel
Japan,Tokushimaken,Itanogunkitajimachou,7527.555,Pirum
Japan,Hiroshimaken,Miharashi,7519.575,VanArsdel
Japan,Hiroshimaken,Shoubarashi,7506.6075,Currus
Japan,Hiroshimaken,Toyotagunsetodachou,7504.035,Pirum
Japan,Hiroshimaken,Kamogunkurosechou,7475.16,Aliqui
Japan,Tokushimaken,Komatsushimashi,7378.035,Currus
Japan,Tokushimaken,Itanogunkamiitachou,7359.66,Aliqui
Japan,Tokushimaken,Itanogunkitajimachou,7333.4625,Aliqui
Japan,Tokushimaken,Kaifugunshishikuichou,7330.7325,Currus
Japan,Tokushimaken,Komatsushimashi,7291.4625,Aliqui
Japan,Yamaguchiken,Kumageguntabusechou,7241.5875,VanArsdel
Japan,Hiroshimaken,Jinsekigunsanwachou,7133.9625,Natura
USA,NV,District #33,7128.66,Aliqui
Japan,Tokushimaken,Itanogunkamiitachou,7102.2525,Pirum
USA,MT,District #32,7086.66,Aliqui
Japan,Tokushimaken,Kaifugunkaifuchou,7076.0025,Pirum
Japan,Ishikawaken,Ishikawagunnonoichimachi,7007.9625,Natura
Japan,Hiroshimaken,Kamoguntoyosakachou,6987.015,Natura
USA,WV,District #05,6986.91,Currus
Japan,Tokushimaken,Myoudougunsanagouchison,6966.0675,Natura
USA,NE,District #32,6913.515,Aliqui
Japan,Tokushimaken,Itanogun'Aizumichou,6890.3625,VanArsdel
Japan,Tokushimaken,Kaifugunkaifuchou,6797.9625,Aliqui
Japan,Hiroshimaken,Kamogunkurosechou,6794.9175,Pirum
Japan,Hiroshimaken,Jinsekiguntoyomatsuson,6784.785,Currus
Japan,Fukushimaken,Nishishirakawagunhigashimura,6735.0675,Natura
Japan,Ishikawaken,Ishikawagun'Oguchimura,6729.8175,Aliqui
USA,KY,District #25,6695.5875,VanArsdel
Mexico,Distrito Federal,Milpa Alta,6645.75,Aliqui
Japan,Yamaguchiken,Shimonosekishi,6638.1,VanArsdel
USA,WY,District #20,6606.6,VanArsdel
Japan,Tokushimaken,Nakagunkaminakachou,6485.85,VanArsdel
Japan,Tokushimaken,Nakagunkitouson,6477.765,Aliqui
Canada,Ontario,,6459.6,VanArsdel
Japan,Tokushimaken,Itanogunmatsushigechou,6414.765,Aliqui
Japan,Tokushimaken,Nakagunkitouson,6378.12,Natura
Japan,Yamaguchiken,Kugagun'Oobatakechou,6378.12,Natura
Japan,Tokushimaken,Katsuuragunkamikatsuchou,6309.7125,Pirum
USA,MN,District #27,6278.3175,Natura
Japan,Hiroshimaken,Takeharashi,6262.5675,Natura
Japan,Tokushimaken,Itanogun'Itanochou,6251.8575,Pirum
Japan,Hiroshimaken,Shoubarashi,6212.3775,Pirum
Japan,Tokushimaken,Myoudougunsanagouchison,6202.0875,Pirum
Japan,Yamaguchiken,Kugagunmikawachou,6199.2,Pirum
USA,NV,District #33,6194.37,Natura
Canada,Quebec,,6146.9625,Pirum
Canada,Alberta,,6092.3625,VanArsdel
Japan,Yamaguchiken,Kugagunkugachou,6071.3625,VanArsdel
Japan,Hiroshimaken,Kamoguntoyosakachou,6068.3175,Aliqui
Japan,Tokushimaken,Myouzaigun'Ishiichou,5834.64,Currus
Japan,Tokushimaken,Itanogunkamiitachou,5821.6725,Natura
Japan,Tokushimaken,Ananshi,5819.3625,VanArsdel
Japan,Tokushimaken,Kaifugunmugichou,5811.1725,Natura
Japan,Yamaguchiken,Kumagegunyamatochou,5811.015,Currus
Japan,Hiroshimaken,Mitsugigunkuichou,5784.87,Currus
Canada,British Columbia,,5772.375,VanArsdel
USA,VT,District #02,5719.1925,Currus
USA,WV,District #05,5716.6725,Natura
USA,MD,District #13,5716.3575,Pirum
Japan,Hiroshimaken,Takeharashi,5690.4225,Aliqui
USA,MN,District #32,5662.125,VanArsdel
Japan,Fukushimaken,Dateguntsukidatemachi,5658.9225,Currus
Japan,Fukushimaken,Soumagun'Iitatemura,5632.6725,Natura
Japan,Tokushimaken,Kaifugunshishikuichou,5622.1725,Natura
Japan,Ishikawaken,Ishikawagunnonoichimachi,5616.3975,Pirum
Japan,Fukushimaken,Dategunkawamatamachi,5583.375,VanArsdel
Japan,Yamaguchiken,Kumageguntabusechou,5564.4225,Aliqui
Japan,Tokushimaken,Komatsushimashi,5532.9225,Natura
USA,NM,District #22,5530.875,VanArsdel
Japan,Tokushimaken,Katsuuragunkamikatsuchou,5501.37,Aliqui
USA,WV,District #07,5415.375,VanArsdel
Japan,Ishikawaken,Ishikawaguntsurugimachi,5389.125,VanArsdel
Japan,Hiroshimaken,Innoshimashi,5357.625,VanArsdel
Japan,Hiroshimaken,Mitsugigunmitsugichou,5347.125,VanArsdel
Japan,Tokushimaken,Oegunkamojimachou,5262.075,Pirum
Japan,Fukushimaken,Soumagun'Iitatemura,5254.725,Aliqui
USA,OK,District #22,5247.375,VanArsdel
Japan,Yamaguchiken,Kugagun'Oobatakechou,5170.6725,Aliqui
Japan,Yamaguchiken,Ooshimaguntachibanachou,5097.225,Currus
Japan,Tokushimaken,Nakagunhanourachou,5091.975,Natura
Japan,Yamaguchiken,Kugagunnishikichou,5020.9425,Pirum
USA,NE,District #20,5018.4225,Pirum
Japan,Yamaguchiken,Kumagegunkaminosekichou,5007.9225,Currus
Japan,Hiroshimaken,Kamoguntoyosakachou,5007.7125,Pirum
USA,UT,District #38,5000.8875,VanArsdel
Japan,Hiroshimaken,Seragunserachou,4995.6375,VanArsdel
USA,IA,District #28,4969.3875,VanArsdel
USA,DC,District #05,4957.995,Pirum
Japan,Hiroshimaken,Kamogunfukutomichou,4950.1725,Currus
Japan,Tokushimaken,Katsuuragunkamikatsuchou,4934.475,Natura
USA,UT,District #20,4934.4225,Currus
Japan,Yamaguchiken,Sabaguntokudichou,4918.725,Aliqui
USA,WV,District #05,4902.8175,Pirum
Japan,Tokushimaken,Kaifugunkaifuchou,4892.475,Natura
Japan,Yamaguchiken,Kugagunyuuchou,4850.475,Aliqui
USA,NE,District #20,4832.1,Currus
USA,NV,District #33,4787.475,Currus
Japan,Hiroshimaken,Fuchuushi,4781.805,Pirum
Japan,Fukushimaken,Nishishirakawagunhigashimura,4713.9225,Currus
Japan,Hiroshimaken,Kamogunfukutomichou,4693.0275,Aliqui
Japan,Tokushimaken,Itanogun'Itanochou,4677.2775,Natura
Japan,Yamaguchiken,Kugagunnishikichou,4645.6725,Aliqui
USA,UT,District #20,4606.245,Pirum
USA,WY,District #33,4575.9,VanArsdel
USA,VT,District #02,4514.5275,Natura
Japan,Tokushimaken,Kaifugunkaifuchou,4472.475,Currus
Japan,Tokushimaken,Miyoshigun'Ikedachou,4455.15,VanArsdel
Japan,Fukushimaken,Dategunryouzenmachi,4414.6725,Currus
Japan,Tokushimaken,Nakagunkisawason,4404.2775,Aliqui
Japan,Fukushimaken,Nishishirakawagun'Omotegoumura,4369.995,Pirum
Japan,Tokushimaken,Nakagun'Aioichou,4323.9,VanArsdel
Japan,Hiroshimaken,Mitsugigunmukaishimachou,4252.0275,Natura
Japan,Tokushimaken,Kaifugunshishikuichou,4241.2125,Pirum
Japan,Fukushimaken,Nishishirakawagunnakajimamura,4144.35,Currus
Japan,Yamaguchiken,Ooshimaguntachibanachou,4010.6325,Natura
Japan,Tokushimaken,Myoudougunsanagouchison,4000.0275,Aliqui
USA,NE,District #20,3984.2775,Natura
USA,IN,District #31,3961.9125,VanArsdel
Japan,Fukushimaken,Dategunryouzenmachi,3910.83,Natura
Japan,Ishikawaken,Ishikawagunkawachimura,3909.4125,VanArsdel
USA,UT,District #20,3879.33,Natura
Japan,Fukushimaken,Nishishirakawagunnakajimamura,3879.1725,Pirum
USA,NH,District #02,3856.9125,VanArsdel
USA,MN,District #27,3853.08,Aliqui
Japan,Ishikawaken,Ishikawagun'Oguchimura,3834.3375,Pirum
Japan,Ishikawaken,Ishikawagun'Oguchimura,3821.58,Natura
Mexico,Distrito Federal,Alvaro Obregon,3811.1,Aliqui
Japan,Hiroshimaken,Jinsekiguntoyomatsuson,3784.83,Natura
Japan,Tokushimaken,Kaifugunshishikuichou,3758.58,Aliqui
Japan,Yamaguchiken,Kugagun'Oobatakechou,3737.5275,Pirum
USA,UT,District #20,3727.08,Aliqui
Japan,Ishikawaken,Ishikawagunyoshinodanimura,3711.2775,Pirum
USA,CT,District #03,3710.3325,VanArsdel
USA,NV,District #33,3611.475,Pirum
Japan,Tokushimaken,Itanogunyoshinochou,3595.7775,Pirum
Japan,Yamaguchiken,Ooshimaguntouwachou,3475.1325,Aliqui
Japan,Hiroshimaken,Jinsekiguntoyomatsuson,3448.6725,Pirum
USA,MT,District #32,3417.225,Pirum
Japan,Tokushimaken,Nakagunkisawason,3406.8825,Natura
Japan,Tokushimaken,Nakagunhanourachou,3349.1325,Aliqui
Japan,Yamaguchiken,Hikarishi,3300.675,VanArsdel
Japan,Yamaguchiken,Kugagunyuuchou,3274.425,VanArsdel
Japan,Tokushimaken,Myouzaigunkamiyamachou,3259.8825,Natura
USA,MN,District #27,3254.475,Pirum
Japan,Fukushimaken,Nishishirakawagunnakajimamura,3223.1325,Aliqui
Canada,Manitoba,,3221.925,VanArsdel
Japan,Tokushimaken,Katsuuragunkatsuurachou,3212.6325,Currus
USA,DE,District #05,3201.135,VanArsdel
Japan,Yamaguchiken,Kugagunmiwachou,3195.675,VanArsdel
Japan,Hiroshimaken,Mitsugigunmukaishimachou,3186.3825,Aliqui
USA,NE,District #32,3160.1325,Natura
USA,AL,District #24,3158.925,VanArsdel
USA,MN,District #27,3157.5075,Currus
Japan,Fukushimaken,Dateguntsukidatemachi,3133.935,Natura
Japan,Yamaguchiken,Ooshimagun'Ooshimachou,3101.175,VanArsdel
USA,DC,District #05,3097.185,Natura
USA,NE,District #32,3070.8825,Currus
USA,NM,District #20,3013.185,Natura
Japan,Tokushimaken,Kaifugunkainanchou,2997.3825,Aliqui
Japan,Hiroshimaken,Seragunkouzanchou,2981.685,Natura
Japan,Tokushimaken,Kaifugunmugichou,2949.87,Pirum
USA,OR,District #33,2938.6875,VanArsdel
Japan,Tokushimaken,Nakagunkitouson,2931.6525,Pirum
Japan,Hiroshimaken,Seragunkouzanchou,2881.8825,Currus
USA,AR,District #24,2824.2375,Natura
Japan,Tokushimaken,Myouzaigun'Ishiichou,2818.935,Natura
Japan,Yamaguchiken,Ooshimaguntouwachou,2813.685,Natura
Japan,Yamaguchiken,Kugagunmikawachou,2787.4875,Natura
Japan,Hiroshimaken,Seragunseranishichou,2776.9875,Aliqui
Japan,Tokushimaken,Itanogunkitajimachou,2754.9375,VanArsdel
Japan,Yamaguchiken,Kugagunmikawachou,2754.9375,VanArsdel
Japan,Tokushimaken,Mimagun'Anabukichou,2739.1875,VanArsdel
Japan,Tokushimaken,Myouzaigunkamiyamachou,2737.56,Currus
USA,WV,District #05,2692.9875,Aliqui
Japan,Hiroshimaken,Mitsugigunkuichou,2671.9875,Natura
USA,DC,District #05,2666.7375,Aliqui
Japan,Hiroshimaken,Jinsekigunyukichou,2640.4875,Natura
USA,MT,District #32,2592.1875,VanArsdel
Japan,Hiroshimaken,Seragunseranishichou,2587.9875,Natura
Japan,Hiroshimaken,Seragunkouzanchou,2556.4875,Aliqui
Japan,Tokushimaken,Myouzaigun'Ishiichou,2419.935,Aliqui
USA,NE,District #32,2417.31,Pirum
Japan,Fukushimaken,Dateguntsukidatemachi,2388.3825,Pirum
Japan,Tokushimaken,Katsuuragunkatsuurachou,2351.6325,Pirum
Japan,Tokushimaken,Itanogunyoshinochou,2346.4875,Aliqui
Japan,Tokushimaken,Kaifugunkainanchou,2328.0075,Pirum
USA,VT,District #01,2308.95,VanArsdel
Japan,Hiroshimaken,Jinsekigunyukichou,2241.4875,Aliqui
Japan,Yamaguchiken,Kugagunshuutouchou,2240.7,VanArsdel
Mexico,Distrito Federal,La Magdalena Contreras,2230.21,VanArsdel
Mexico,Distrito Federal,Alvaro Obregon,2220.5,Natura
Japan,Yamaguchiken,Ooshimagunkukachou,2209.9875,Aliqui
Japan,Ishikawaken,Kahokugun'Uchinadamachi,2203.95,VanArsdel
Japan,Tokushimaken,Itanogunyoshinochou,2183.79,Natura
Japan,Yamaguchiken,Kumagegunhiraochou,2161.95,VanArsdel
USA,IN,District #25,2151.45,VanArsdel
Japan,Tokushimaken,Myouzaigunkamiyamachou,2146.935,Pirum
USA,MA,District #01,2135.7,VanArsdel
Japan,Tokushimaken,Myouzaigun'Ishiichou,2094.3825,Pirum
Japan,Fukushimaken,Nishishirakawagunhigashimura,2073.54,Aliqui
Japan,Fukushimaken,Soumagun'Iitatemura,2036.79,Currus
Japan,Tokushimaken,Itanogun'Itanochou,1968.4875,Aliqui
USA,NJ,District #01,1958.04,Currus
Japan,Fukushimaken,Nishishirakawagunnakajimamura,1921.29,Natura
Japan,Hiroshimaken,Seragunseranishichou,1921.29,Pirum
Japan,Yamaguchiken,Kumagegunkaminosekichou,1853.0925,Aliqui
Japan,Hiroshimaken,Mitsugigunkuichou,1842.435,Pirum
Japan,Fukushimaken,Dategunryouzenmachi,1774.29,Aliqui
Japan,Hiroshimaken,Seragunseranishichou,1774.2375,Currus
Japan,Tokushimaken,Katsuuragunkatsuurachou,1763.79,Aliqui
Japan,Hiroshimaken,Fuchuushi,1731.7125,VanArsdel
Japan,Ishikawaken,Ishikawagun'Oguchimura,1731.7125,VanArsdel
Japan,Tokushimaken,Nakagunnakagawachou,1710.9225,VanArsdel
Japan,Tokushimaken,Nakagunwajikichou,1705.4625,VanArsdel
Japan,Yamaguchiken,Sabaguntokudichou,1705.4625,VanArsdel
Japan,Yamaguchiken,Yanaishi,1705.4625,VanArsdel
Japan,Yamaguchiken,Kugagunhongouson,1698.2175,Currus
USA,DC,District #07,1679.2125,VanArsdel
USA,NV,District #39,1664.0925,Aliqui
Japan,Yamaguchiken,Ooshimagunkukachou,1661.415,Currus
Japan,Tokushimaken,Miyoshigunminochou,1658.8425,Pirum
Japan,Tokushimaken,Katsuuragunkamikatsuchou,1652.9625,VanArsdel
Japan,Tokushimaken,Katsuuragunkatsuurachou,1652.9625,VanArsdel
Japan,Yamaguchiken,Kudamatsushi,1652.9625,VanArsdel
Japan,Hiroshimaken,Jinsekigunyukichou,1650.915,Currus
Japan,Yamaguchiken,Ooshimaguntouwachou,1637.79,Pirum
Japan,Tokushimaken,Awagun'Ichibachou,1601.0925,Aliqui
Japan,Fukushimaken,Dategun'Iinomachi,1569.5925,Aliqui
Japan,Hiroshimaken,Mitsugigunmukaishimachou,1564.1325,Pirum
Japan,Yamaguchiken,Ooshimagunkukachou,1506.5925,Natura
USA,TX,District #25,1505.9625,VanArsdel
USA,MO,District #25,1500.7125,VanArsdel
Japan,Yamaguchiken,Kugagunnishikichou,1490.8425,Natura
Japan,Hiroshimaken,Takeharashi,1490.2125,VanArsdel
Japan,Hiroshimaken,Jinsekiguntoyomatsuson,1480.3425,Aliqui
Japan,Yamaguchiken,Kumagegunkaminosekichou,1475.0925,Natura
Japan,Yamaguchiken,Kumagegunyamatochou,1459.3425,Natura
USA,NV,District #39,1443.5925,Currus
Japan,Tokushimaken,Kaifugunkainanchou,1438.3425,Natura
Japan,Tokushimaken,Nakagunkisawason,1438.29,Pirum
USA,NM,District #20,1430.3625,Pirum
Japan,Yamaguchiken,Kumagegunyamatochou,1364.8425,Aliqui
Japan,Tokushimaken,Miyoshigunmiyoshichou,1312.3425,Currus
Japan,Tokushimaken,Miyoshigunminochou,1299.165,Currus
Japan,Ishikawaken,Ishikawagunshiraminemura,1270.3425,Currus
Japan,Fukushimaken,Dategunryouzenmachi,1249.29,Pirum
Japan,Hiroshimaken,Kamogunfukutomichou,1228.2375,Pirum
Japan,Yamaguchiken,Ooshimagunkukachou,1212.5925,Pirum
Australia,New South Wales,SYDNEY BOXES,1194.2175,Currus
Japan,Ishikawaken,Ishikawagunshiraminemura,1186.3425,Pirum
Japan,Hiroshimaken,Kamogunkurosechou,1180.725,VanArsdel
Mexico,Distrito Federal,Milpa Alta,1154.48,VanArsdel
USA,KY,District #15,1154.475,VanArsdel
Japan,Fukushimaken,Dateguntsukidatemachi,1144.395,Aliqui
USA,UT,District #39,1141.77,Currus
Japan,Tokushimaken,Katsuuragunkatsuurachou,1133.895,Natura
Japan,Fukushimaken,Dategunryouzenmachi,1128.225,VanArsdel
Japan,Tokushimaken,Kaifugunmugichou,1128.225,VanArsdel
USA,MS,District #25,1128.225,VanArsdel
USA,OK,District #25,1128.225,VanArsdel
USA,UT,District #20,1128.225,VanArsdel
Australia,New South Wales,SYDNEY BOXES,1123.395,Aliqui
USA,CT,District #01,1107.645,Natura
Japan,Hiroshimaken,Toyotagunsetodachou,1101.975,VanArsdel
Japan,Tokushimaken,Komatsushimashi,1101.975,VanArsdel
Japan,Tokushimaken,Nakagunkisawason,1101.975,VanArsdel
Japan,Yamaguchiken,Ooshimaguntouwachou,1101.975,VanArsdel
USA,MD,District #13,1101.975,VanArsdel
Japan,Tokushimaken,Nakagunhanourachou,1059.975,VanArsdel
USA,NE,District #20,1049.895,Aliqui
Japan,Yamaguchiken,Kumagegunkaminosekichou,1049.8425,Pirum
Japan,Tokushimaken,Itanogunmatsushigechou,1049.475,VanArsdel
USA,CA,District #39,1044.225,VanArsdel
Japan,Fukushimaken,Nishishirakawagunnakajimamura,1017.975,VanArsdel
Japan,Hiroshimaken,Toyotagun'Oosakikamijimachou,1007.895,Natura
Japan,Hiroshimaken,Mitsugigunkuichou,1007.475,VanArsdel
Japan,Hiroshimaken,Shoubarashi,1007.475,VanArsdel
USA,MD,District #04,1007.475,VanArsdel
USA,NV,District #33,1007.475,VanArsdel
USA,CT,District #01,1005.27,Currus
Japan,Yamaguchiken,Kugagunhongouson,992.145,Aliqui
Japan,Hiroshimaken,Seragunkouzanchou,976.3425,Pirum
Australia,New South Wales,SYDNEY BOXES,955.7625,VanArsdel
Japan,Tokushimaken,Awagun'Ichibachou,934.395,Natura
Japan,Yamaguchiken,Yamaguchishi,934.395,Aliqui
Japan,Hiroshimaken,Kamogunfukutomichou,923.895,Natura
Japan,Hiroshimaken,Mitsugigunkuichou,923.895,Aliqui
Japan,Tokushimaken,Itanogunkamiitachou,912.975,VanArsdel
USA,NJ,District #01,881.895,Natura
Australia,New South Wales,SYDNEY BOXES,871.395,Pirum
USA,VT,District #02,866.0925,Pirum
USA,UT,District #39,813.645,Aliqui
Japan,Yamaguchiken,Kumagegunyamatochou,771.5925,Pirum
Japan,Fukushimaken,Nishishirakawagunhigashimura,734.895,Pirum
USA,NJ,District #01,719.145,Pirum
USA,CT,District #01,645.645,Pirum
Japan,Yamaguchiken,Kugagunmikawachou,619.4475,Aliqui
USA,NV,District #39,603.6975,Natura
Mexico,Distrito Federal,Alvaro Obregon,603.49,VanArsdel
Japan,Hiroshimaken,Fukayasugunkannabechou,603.4875,VanArsdel
Japan,Ishikawaken,Ishikawagunnonoichimachi,603.4875,VanArsdel
Japan,Ishikawaken,Ishikawagunyoshinodanimura,603.4875,VanArsdel
Japan,Yamaguchiken,Yamaguchishi,582.6975,Currus
Japan,Fukushimaken,Soumagun'Iitatemura,579.9675,Pirum
Japan,Hiroshimaken,Seragunkouzanchou,577.2375,VanArsdel
Japan,Tokushimaken,Myoudougunsanagouchison,577.2375,VanArsdel
Japan,Yamaguchiken,Kumagegunkaminosekichou,577.2375,VanArsdel
Japan,Yamaguchiken,Kumagegunyamatochou,577.2375,VanArsdel
Japan,Yamaguchiken,Ooshimagunkukachou,577.2375,VanArsdel
USA,NE,District #20,577.2375,VanArsdel
Japan,Fukushimaken,Soumagun'Iitatemura,550.9875,VanArsdel
Japan,Ishikawaken,Ishikawagunshiraminemura,550.9875,VanArsdel
Japan,Tokushimaken,Kaifugunkaifuchou,550.9875,VanArsdel
Japan,Yamaguchiken,Ooshimaguntachibanachou,550.9875,VanArsdel
USA,TX,District #21,550.9875,VanArsdel
USA,WV,District #05,550.9875,VanArsdel
Japan,Yamaguchiken,Kugagunwakichou,540.6975,Aliqui
Japan,Hiroshimaken,Seragunseranishichou,524.7375,VanArsdel
Japan,Tokushimaken,Awagun'Ichibachou,524.7375,VanArsdel
Japan,Tokushimaken,Oegunkamojimachou,524.7375,VanArsdel
Japan,Yamaguchiken,Kugagunwakichou,506.5725,Currus
Japan,Ishikawaken,Enumagunyamanakamachi,482.9475,Aliqui
Canada,Quebec,,482.7375,VanArsdel
Japan,Hiroshimaken,Hibaguntoujouchou,461.9475,Currus
Japan,Tokushimaken,Miyoshigunminochou,461.9475,Natura
Japan,Yamaguchiken,Kugagunhongouson,461.9475,Natura
Japan,Hiroshimaken,Toyotagun'Oosakikamijimachou,451.4475,Pirum
Japan,Ishikawaken,Ishikawagunshiraminemura,451.4475,Natura
USA,UT,District #39,451.4475,Natura
USA,NJ,District #01,446.1975,Aliqui
Australia,New South Wales,SYDNEY BOXES,435.6975,Natura
Japan,Hiroshimaken,Toyotagun'Oosakikamijimachou,430.4475,Currus
Japan,Yamaguchiken,Kugagunwakichou,430.4475,Natura
Japan,Tokushimaken,Myouzaigunkamiyamachou,419.9475,Aliqui
Japan,Hiroshimaken,Jinsekigunyukichou,330.6975,Pirum
USA,AZ,District #38,330.6975,Currus
Japan,Fukushimaken,Dategun'Iinomachi,265.0725,Pirum
Japan,Tokushimaken,Awagun'Ichibachou,265.0725,Pirum
Japan,Yamaguchiken,Yamaguchishi,157.4475,Pirum
