School Name,Filtered by School Level,CCA Group,CCA General,CCA Customized,ID
"CLEMENTI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",72
"CLEMENTI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",72
"WHITE SANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",314
"WHITE SANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",314
"WHITE SANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",314
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",316
"WOODGROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DIKIR BARAT","Not Available",316
"WOODLANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",318
"WOODLANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",318
"WOODLANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",318
"WOODLANDS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","SPEECH AND DRAMA","Not Available",318
"XINGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",322
"XINGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",322
"XINGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",322
"XINGNAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",323
"XINGNAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",323
"XINGNAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",323
"XINGNAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CERAMICS","Not Available",323
"XINMIN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",324
"XINMIN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",324
"XINMIN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",324
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",327
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",327
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DANCE - INTERNATIONAL","Not Available",327
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",327
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CONCERT BAND","Not Available",327
"YANGZHENG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DIGITAL MEDIA","Not Available",327
"YEW TEE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",328
"YEW TEE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DANCE - INTERNATIONAL","Not Available",328
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","HANDBELL ENSEMBLE","Not Available",329
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",329
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",329
"YIO CHU KANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",329
"YISHUN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",332
"YUHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",337
"YUHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",337
"YUHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",337
"YUHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",337
"ZHENGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",343
"ZHENGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",343
"ZHENGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",343
"ZHONGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",345
"ZHONGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",345
"ZHONGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",345
"ZHONGHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",345
"RED SWASTIKA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",239
"RED SWASTIKA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",239
"RED SWASTIKA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",239
"RED SWASTIKA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",239
"RED SWASTIKA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",239
"RIVERSIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",243
"ROSYTH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",246
"ROSYTH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",246
"ROSYTH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",246
"ROSYTH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",246
"RULANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",247
"RULANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",247
"RULANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",247
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",250
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",250
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",250
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",250
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",250
"SEMBAWANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",250
"SENGKANG GREEN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",254
"SENGKANG GREEN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",254
"SENGKANG GREEN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",254
"SHUQUN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",257
"SI LING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUITAR ENSEMBLE","Not Available",258
"SI LING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",258
"SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",259
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",262
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",262
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",262
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",262
"SOUTH VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",262
"ST. ANDREW'S JUNIOR SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CONCERT BAND","Not Available",267
"ST. ANTHONY'S PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",271
"ST. GABRIEL'S PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",272
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DANCE - INTERNATIONAL","Not Available",285
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",285
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",285
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",285
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",285
"TAMPINES PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",286
"TAMPINES PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",286
"TAMPINES PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",286
"TAMPINES PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",286
"TANJONG KATONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",290
"TANJONG KATONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",290
"TANJONG KATONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",290
"TANJONG KATONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",290
"TAO NAN SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",292
"TECK GHEE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",293
"TECK GHEE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",293
"TECK GHEE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",293
"TECK WHYE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",294
"TECK WHYE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",294
"TECK WHYE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","SPEECH AND DRAMA","Not Available",294
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",296
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",296
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",296
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",296
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",296
"TEMASEK PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUITAR ENSEMBLE","Not Available",298
"TEMASEK PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",298
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",300
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",300
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",300
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",300
"TOWNSVILLE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",300
"UNITY PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",301
"UNITY PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",301
"UNITY PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",301
"WATERWAY PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",306
"WELLINGTON PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",307
"WELLINGTON PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",307
"WELLINGTON PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",307
"WEST GROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",308
"WEST GROVE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",308
"KHENG CHENG SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",152
"KHENG CHENG SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",152
"KHENG CHENG SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",152
"KONG HWA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",153
"KONG HWA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",153
"KONG HWA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",153
"KONG HWA SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE CALLIGRAPHY AND BRUSH PAINTING","Not Available",153
"KRANJI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","PERCUSSION ENSEMBLE","Not Available",154
"KRANJI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",154
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUITAR ENSEMBLE","Not Available",156
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",156
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",156
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",156
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CONCERT BAND","Not Available",156
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","HARMONICA ENSEMBLE","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CONCERT BAND","Not Available",158
"LAKESIDE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","DIKIR BARAT","Not Available",158
"LIANHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",159
"LIANHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",159
"LIANHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",159
"LIANHUA PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",159
"MARSILING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","SPEECH AND DRAMA","Not Available",164
"MARYMOUNT CONVENT SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENSEMBLE -MIXED INSTRUMENT","Not Available",166
"MARYMOUNT CONVENT SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",166
"MARYMOUNT CONVENT SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",166
"MARYMOUNT CONVENT SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",166
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","STRING ENSEMBLE","Not Available",167
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",167
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",167
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",167
"MAYFLOWER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",167
"MEE TOH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",169
"MEE TOH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",169
"MEE TOH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",169
"MEE TOH SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",169
"METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","VISUAL AND PERFORMING ARTS","HANDBELL ENSEMBLE","Not Available",172
"METHODIST GIRLS' SCHOOL (PRIMARY)","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",172
"MONTFORT JUNIOR SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",175
"NANYANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",183
"NANYANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","STRING ENSEMBLE","Not Available",183
"NANYANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",183
"NANYANG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",183
"NGEE ANN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",189
"NORTH SPRING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",191
"PALM VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","STRING ENSEMBLE","Not Available",206
"PALM VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",206
"PALM VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ENGLISH DRAMA","Not Available",206
"PALM VIEW PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",206
"PASIR RIS PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",209
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUITAR ENSEMBLE","Not Available",214
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",214
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",214
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DRUMS","Not Available",214
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",214
"PEI TONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",216
"PEI TONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",216
"PEIYING PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",219
"PIONEER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",221
"PIONEER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",221
"PIONEER PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",221
"POI CHING SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",222
"POI CHING SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DRUMS","Not Available",222
"POI CHING SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",222
"POI CHING SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE CALLIGRAPHY AND BRUSH PAINTING","Not Available",222
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ANGKLUNG/KULINTANG ENSEMBLE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","GUZHENG ENSEMBLE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CONCERT BAND","Not Available",227
"PUNGGOL PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE CALLIGRAPHY AND BRUSH PAINTING","Not Available",227
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE ORCHESTRA","Not Available",232
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",232
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",232
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",232
"RAFFLES GIRLS' PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","ART AND CRAFTS","Not Available",236
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","HARMONICA ENSEMBLE","Not Available",75
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",75
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",75
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",75
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",75
"CONCORD PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","BRASS BAND","Not Available",77
"CONCORD PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","INDIAN DANCE","Not Available",77
"DAMAI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",81
"DAMAI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","CHINESE DANCE","Not Available",81
"DAMAI PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MALAY DANCE","Not Available",81
"DAZHONG PRIMARY SCHOOL","PRIMARY","VISUAL AND PERFORMING ARTS","MODERN DANCE","Not Available",83
