gamename,date,avg,gain,peak,avg_peak_perc,site
"Assassin's Creed Revelations",2012-09-01 00:00:00.000,269.33,-164.15,504,0.5344,"SteamCharts"
"Hitman: Blood Money",2012-09-01 00:00:00.000,143.23,18.76,532,0.2692,"SteamCharts"
"Half-Life 2: Lost Coast",2012-09-01 00:00:00.000,33.21,2.48,86,0.3862,"SteamCharts"
"Assassin's Creed",2012-09-01 00:00:00.000,69.5,-38.93,163,0.4264,"SteamCharts"
"Endless Space® - Definitive Edition",2012-09-01 00:00:00.000,662.16,-288.9,1420,0.4663,"SteamCharts"
"STAR WARS™ Jedi Knight: Jedi Academy™",2012-09-01 00:00:00.000,52.52,-14.99,122,0.4305,"SteamCharts"
"Anno 2070",2012-09-01 00:00:00.000,434.66,-158.83,912,0.4766,"SteamCharts"
"Warhammer 40,000: Dawn of War II",2012-09-01 00:00:00.000,398.41,-95.75,807,0.4937,"SteamCharts"
"S.T.A.L.K.E.R.: Clear Sky",2012-09-01 00:00:00.000,64.34,-22.95,145,0.4437,"SteamCharts"
"Homefront",2012-09-01 00:00:00.000,201.04,6.48,645,0.3117,"SteamCharts"
"FlatOut 2",2012-09-01 00:00:00.000,25.83,-11.43,64,0.4036,"SteamCharts"
"Machinarium",2012-09-01 00:00:00.000,17.68,-13.24,51,0.3467,"SteamCharts"
"PROTOTYPE 2",2012-09-01 00:00:00.000,288.87,-446.21,832,0.3472,"SteamCharts"
"Orcs Must Die!",2012-09-01 00:00:00.000,145.22,-275.26,340,0.4271,"SteamCharts"
"Serious Sam 2",2012-09-01 00:00:00.000,7.9,-4.05,26,0.3038,"SteamCharts"
"F.E.A.R. 3",2012-09-01 00:00:00.000,138.45,-53.62,297,0.4662,"SteamCharts"
"Supreme Commander 2",2012-09-01 00:00:00.000,506.46,-43.22,1016,0.4985,"SteamCharts"
"Far Cry 2",2012-09-01 00:00:00.000,109.12,-29.84,223,0.4893,"SteamCharts"
"Zombie Panic! Source",2012-09-01 00:00:00.000,274.63,-46.33,594,0.4623,"SteamCharts"
"Half-Life: Opposing Force",2012-09-01 00:00:00.000,56.26,0.49,123,0.4574,"SteamCharts"
"Cave Story+",2012-09-01 00:00:00.000,28.64,-28.45,76,0.3768,"SteamCharts"
"Recettear: An Item Shop's Tale",2012-09-01 00:00:00.000,70.61,-37.64,200,0.3531,"SteamCharts"
"Supreme Commander: Forged Alliance",2012-09-01 00:00:00.000,224.3,-23.22,481,0.4663,"SteamCharts"
"The Ship",2012-09-01 00:00:00.000,22.08,-8.87,64,0.345,"SteamCharts"
"Company of Heroes - Legacy Edition",2012-09-01 00:00:00.000,481.05,-50.03,925,0.5201,"SteamCharts"
"Fallout 2",2012-09-01 00:00:00.000,23.31,-15.68,52,0.4483,"SteamCharts"
"Grand Theft Auto III",2012-09-01 00:00:00.000,22.41,-12.81,51,0.4394,"SteamCharts"
"E.Y.E: Divine Cybermancy",2012-09-01 00:00:00.000,29.14,-33.67,74,0.3938,"SteamCharts"
"Duke Nukem Forever",2012-09-01 00:00:00.000,125.83,-13.33,264,0.4766,"SteamCharts"
"Legend of Grimrock",2012-09-01 00:00:00.000,106.72,-54.4,274,0.3895,"SteamCharts"
"Secret World Legends",2012-09-01 00:00:00.000,104.45,-115.14,253,0.4128,"SteamCharts"
"Binary Domain",2012-09-01 00:00:00.000,22.57,-44.45,59,0.3825,"SteamCharts"
"Command and Conquer: Red Alert 3",2012-09-01 00:00:00.000,96.27,-33.58,203,0.4742,"SteamCharts"
"Dark Messiah of Might & Magic Single Player",2012-09-01 00:00:00.000,28.68,-10.65,68,0.4218,"SteamCharts"
"Fable - The Lost Chapters",2012-09-01 00:00:00.000,60.35,-41.73,126,0.479,"SteamCharts"
"BEEP",2012-09-01 00:00:00.000,0.36,-0.22,4,0.09,"SteamCharts"
"Serious Sam HD: The First Encounter",2012-09-01 00:00:00.000,22.94,-4.86,62,0.37,"SteamCharts"
"Max Payne",2012-09-01 00:00:00.000,12.72,-7.95,34,0.3741,"SteamCharts"
"The Tiny Bang Story",2012-09-01 00:00:00.000,5.68,-5.82,21,0.2705,"SteamCharts"
"Dungeons of Dredmor",2012-09-01 00:00:00.000,189,-206.07,436,0.4335,"SteamCharts"
"Risen",2012-09-01 00:00:00.000,28.25,-25.28,76,0.3717,"SteamCharts"
"Pirates, Vikings, & Knights II",2012-09-01 00:00:00.000,159.2,47.67,500,0.3184,"SteamCharts"
"Torchlight",2012-09-01 00:00:00.000,836.3,282.7,2544,0.3287,"SteamCharts"
"Half-Life: Blue Shift",2012-09-01 00:00:00.000,24.76,-1.33,58,0.4269,"SteamCharts"
"Gothic II: Gold Edition",2012-09-01 00:00:00.000,16.34,-3.31,42,0.389,"SteamCharts"
"Half-Life: Source",2012-09-01 00:00:00.000,58.17,-6.48,148,0.393,"SteamCharts"
"The Ultimate DOOM",2012-09-01 00:00:00.000,4.71,-5.87,16,0.2944,"SteamCharts"
"Prototype",2012-09-01 00:00:00.000,35.25,-27.64,79,0.4462,"SteamCharts"
"SpaceChem",2012-09-01 00:00:00.000,56.7,-51.59,160,0.3544,"SteamCharts"
"Vindictus",2012-09-01 00:00:00.000,581.87,-500.25,1742,0.334,"SteamCharts"
"Alan Wake's American Nightmare",2012-09-01 00:00:00.000,37.27,-40.61,104,0.3584,"SteamCharts"
"Botanicula",2012-09-01 00:00:00.000,16.59,-16,52,0.319,"SteamCharts"
"Worms Armageddon",2012-09-01 00:00:00.000,44.09,44.04,183,0.2409,"SteamCharts"
"BRINK",2012-09-01 00:00:00.000,66,-23.28,165,0.4,"SteamCharts"
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2012-09-01 00:00:00.000,22.35,-12.59,59,0.3788,"SteamCharts"
"Tiny and Big: Grandpa's Leftovers",2012-09-01 00:00:00.000,5.91,-1.92,108,0.0547,"SteamCharts"
"World of Goo",2012-09-01 00:00:00.000,22.58,-16.58,60,0.3763,"SteamCharts"
"Overlord",2012-09-01 00:00:00.000,19.18,-3.57,46,0.417,"SteamCharts"
"Day of Defeat",2012-09-01 00:00:00.000,289.59,-14.88,558,0.519,"SteamCharts"
"Gothic",2012-09-01 00:00:00.000,4.1,-2.71,18,0.2278,"SteamCharts"
"Team Fortress Classic",2012-09-01 00:00:00.000,83.83,-9.2,173,0.4846,"SteamCharts"
"Defense Grid: The Awakening",2012-09-01 00:00:00.000,141.51,-57.17,288,0.4914,"SteamCharts"
"Anomaly Warzone Earth",2012-09-01 00:00:00.000,11.22,-6.88,30,0.374,"SteamCharts"
"Hearts of Iron III",2012-09-01 00:00:00.000,254.57,30.76,919,0.277,"SteamCharts"
"Caster",2012-09-01 00:00:00.000,0.13,-0.14,3,0.0433,"SteamCharts"
"F.E.A.R. 2: Project Origin",2012-09-01 00:00:00.000,67.36,-16.31,140,0.4811,"SteamCharts"
"Hard Reset",2012-09-01 00:00:00.000,18.53,-13.1,51,0.3633,"SteamCharts"
"Medal of Honor(TM) Single Player",2012-09-01 00:00:00.000,14.28,-0.97,37,0.3859,"SteamCharts"
"Mount & Blade",2012-09-01 00:00:00.000,157.82,-61.65,366,0.4312,"SteamCharts"
"Arma: Cold War Assault",2012-09-01 00:00:00.000,5.05,0.27,16,0.3156,"SteamCharts"
"Alpha Protocol",2012-09-01 00:00:00.000,20.41,-5.78,58,0.3519,"SteamCharts"
"Far Cry",2012-09-01 00:00:00.000,26.56,-7.67,59,0.4502,"SteamCharts"
"Counter-Strike: Global Offensive",2012-10-01 00:00:00.000,10739.48,-5261.27,20850,0.5151,"SteamCharts"
"Dota 2",2012-10-01 00:00:00.000,75965.44,14097.77,171860,0.442,"SteamCharts"
"Team Fortress 2",2012-10-01 00:00:00.000,46978.7,-3720.37,106853,0.4397,"SteamCharts"
"Garry's Mod",2012-10-01 00:00:00.000,5579.99,1050.91,14158,0.3941,"SteamCharts"
"DayZ",2012-10-01 00:00:00.000,0.13,0.13,3,0.0433,"SteamCharts"
"Spacewar",2012-10-01 00:00:00.000,48.84,2.32,119,0.4104,"SteamCharts"
"Sid Meier's Civilization V",2012-10-01 00:00:00.000,19029.27,-531.81,35714,0.5328,"SteamCharts"
"Counter-Strike",2012-10-01 00:00:00.000,28836.29,-596.27,56053,0.5144,"SteamCharts"
"The Elder Scrolls V: Skyrim",2012-10-01 00:00:00.000,20278.78,693.4,41939,0.4835,"SteamCharts"
"Mount & Blade: Warband",2012-10-01 00:00:00.000,2793.38,-388.86,6428,0.4346,"SteamCharts"
"Total War: MEDIEVAL II - Definitive Edition",2012-10-01 00:00:00.000,944.96,156.04,1896,0.4984,"SteamCharts"
"Crusader Kings II",2012-10-01 00:00:00.000,1292.81,148.66,2773,0.4662,"SteamCharts"
"Borderlands 2",2012-10-01 00:00:00.000,31966.15,-29276.63,68559,0.4663,"SteamCharts"
"Total War: EMPIRE - Definitive Edition",2012-10-01 00:00:00.000,4399.08,54.88,8468,0.5195,"SteamCharts"
"The Sims(TM) 3",2012-10-01 00:00:00.000,422.56,-91.45,838,0.5042,"SteamCharts"
"Total War: SHOGUN 2",2012-10-01 00:00:00.000,4755.64,287.19,9742,0.4882,"SteamCharts"
"Portal 2",2012-10-01 00:00:00.000,1220.53,-632.46,2573,0.4744,"SteamCharts"
"Star Trek Online",2012-10-01 00:00:00.000,1228.21,-133.51,2210,0.5558,"SteamCharts"
"Realm of the Mad God Exalt",2012-10-01 00:00:00.000,754.17,-372.79,1718,0.439,"SteamCharts"
"Train Simulator",2012-10-01 00:00:00.000,835.44,-69.17,1750,0.4774,"SteamCharts"
"Total War: NAPOLEON - Definitive Edition",2012-10-01 00:00:00.000,1899.69,-5.11,4019,0.4727,"SteamCharts"
"Grand Theft Auto IV: The Complete Edition",2012-10-01 00:00:00.000,801.05,-116.56,1414,0.5665,"SteamCharts"
"Rome: Total War",2012-10-01 00:00:00.000,803.91,106.07,1835,0.4381,"SteamCharts"
"Plants vs. Zombies: Game of the Year",2012-10-01 00:00:00.000,518.49,-30.13,1111,0.4667,"SteamCharts"
"Stronghold Crusader HD",2012-10-01 00:00:00.000,24.22,-1.72,66,0.367,"SteamCharts"
"Sid Meier's Civilization IV: Beyond the Sword",2012-10-01 00:00:00.000,349.68,-19.65,609,0.5742,"SteamCharts"
"MapleStory",2012-10-01 00:00:00.000,354.77,-177.14,920,0.3856,"SteamCharts"
"Sid Meier's Civilization III: Complete",2012-10-01 00:00:00.000,171.42,-4.41,323,0.5307,"SteamCharts"
"The Elder Scrolls IV: Oblivion",2012-10-01 00:00:00.000,404.48,36.55,828,0.4885,"SteamCharts"
"Spore",2012-10-01 00:00:00.000,129.28,-40.93,288,0.4489,"SteamCharts"
"Source Filmmaker",2012-10-01 00:00:00.000,204.26,-30.27,402,0.5081,"SteamCharts"
"The Lord of the Rings Online™",2012-10-01 00:00:00.000,1135.25,-31.76,2189,0.5186,"SteamCharts"
"Victoria II",2012-10-01 00:00:00.000,140.23,-12.64,286,0.4903,"SteamCharts"
"FTL: Faster Than Light",2012-10-01 00:00:00.000,2388.48,-4202.95,5744,0.4158,"SteamCharts"
"Half-Life 2",2012-10-01 00:00:00.000,696.81,-223.87,1533,0.4545,"SteamCharts"
"TERA",2012-10-01 00:00:00.000,6.71,-2.4,25,0.2684,"SteamCharts"
"Fallout: New Vegas RU",2012-10-01 00:00:00.000,351.14,-61.27,902,0.3893,"SteamCharts"
"The Witcher 2: Assassins of Kings Enhanced Edition",2012-10-01 00:00:00.000,247.02,-22.56,629,0.3927,"SteamCharts"
"Warhammer 40,000: Dawn of War - Soulstorm",2012-10-01 00:00:00.000,154.59,11.15,448,0.3451,"SteamCharts"
"The Witcher: Enhanced Edition",2012-10-01 00:00:00.000,199.52,-12.47,561,0.3557,"SteamCharts"
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™",2012-10-01 00:00:00.000,185.98,-272.94,423,0.4397,"SteamCharts"
"RaceRoom Racing Experience",2012-10-01 00:00:00.000,58.06,-47.07,165,0.3519,"SteamCharts"
"Sins of a Solar Empire: Rebellion",2012-10-01 00:00:00.000,474.7,-119.86,906,0.524,"SteamCharts"
"Left 4 Dead",2012-10-01 00:00:00.000,719.49,19.71,1939,0.3711,"SteamCharts"
"Stronghold Kingdoms",2012-10-01 00:00:00.000,2762.92,-241.22,4273,0.6466,"SteamCharts"
"Resident Evil 5",2012-10-01 00:00:00.000,112.2,10.78,340,0.33,"SteamCharts"
"Football Manager 2012",2012-10-01 00:00:00.000,19645.51,-8483.17,42931,0.4576,"SteamCharts"
"Mass Effect",2012-10-01 00:00:00.000,213.53,-44.77,427,0.5001,"SteamCharts"
"The Elder Scrolls III: Morrowind",2012-10-01 00:00:00.000,149.55,54.41,353,0.4237,"SteamCharts"
"SimCity 4 Deluxe",2012-10-01 00:00:00.000,320.54,94.86,655,0.4894,"SteamCharts"
"F1 2012",2012-10-01 00:00:00.000,1183.69,-114.17,3045,0.3887,"SteamCharts"
"Torchlight II",2012-10-01 00:00:00.000,7646.49,-19334.64,21202,0.3606,"SteamCharts"
"S.T.A.L.K.E.R.: Shadow of Chernobyl",2012-10-01 00:00:00.000,125.7,26.41,379,0.3317,"SteamCharts"
"Call of Duty: Modern Warfare 2",2012-10-01 00:00:00.000,911.89,-0.35,1966,0.4638,"SteamCharts"
"DC Universe Online",2012-10-01 00:00:00.000,1022.74,-171.84,1640,0.6236,"SteamCharts"
"Terraria",2012-10-01 00:00:00.000,3191.02,-728.94,6664,0.4788,"SteamCharts"
"Left 4 Dead 2",2012-10-01 00:00:00.000,8946.86,2595.92,48599,0.1841,"SteamCharts"
"Counter-Strike: Source",2012-10-01 00:00:00.000,20473.44,-541.27,43924,0.4661,"SteamCharts"
"Fallout: New Vegas",2012-10-01 00:00:00.000,2807.27,-587.63,5387,0.5211,"SteamCharts"
"Killing Floor",2012-10-01 00:00:00.000,2857.07,894.62,9282,0.3078,"SteamCharts"
"Portal",2012-10-01 00:00:00.000,226.22,-49.54,443,0.5107,"SteamCharts"
"Chivalry: Medieval Warfare",2012-10-01 00:00:00.000,1278.89,1245.95,4511,0.2835,"SteamCharts"
"Saints Row: The Third",2012-10-01 00:00:00.000,1857.73,-1107.25,4987,0.3725,"SteamCharts"
"The Binding of Isaac",2012-10-01 00:00:00.000,1643.88,-513.91,3252,0.5055,"SteamCharts"
"To the Moon",2012-10-01 00:00:00.000,29.05,-34.47,125,0.2324,"SteamCharts"
"PAYDAY: The Heist",2012-10-01 00:00:00.000,1810.21,1156.68,14512,0.1247,"SteamCharts"
"Just Cause 2",2012-10-01 00:00:00.000,978.4,-605.66,3173,0.3084,"SteamCharts"
"Spec Ops: The Line",2012-10-01 00:00:00.000,183.03,-18.99,613,0.2986,"SteamCharts"
"Mafia II (Classic)",2012-10-01 00:00:00.000,753.32,-42.56,1758,0.4285,"SteamCharts"
"LIMBO",2012-10-01 00:00:00.000,92.26,8.01,635,0.1453,"SteamCharts"
"Star Wars: Battlefront 2 (Classic, 2005)",2012-10-01 00:00:00.000,114.22,-2.27,246,0.4643,"SteamCharts"
"Bastion",2012-10-01 00:00:00.000,101.52,-54.42,222,0.4573,"SteamCharts"
"Half-Life",2012-10-01 00:00:00.000,155.35,-61.41,345,0.4503,"SteamCharts"
"Rising Storm/Red Orchestra 2 Multiplayer",2012-10-01 00:00:00.000,577.74,-95.16,1189,0.4859,"SteamCharts"
"Grand Theft Auto: San Andreas",2012-10-01 00:00:00.000,224.96,-33.29,464,0.4848,"SteamCharts"
"Batman: Arkham City GOTY",2012-10-01 00:00:00.000,124.95,-139.88,245,0.51,"SteamCharts"
"Battlefield: Bad Company™ 2",2012-10-01 00:00:00.000,618.8,-59.62,1153,0.5367,"SteamCharts"
"Alan Wake",2012-10-01 00:00:00.000,138.48,-72.47,332,0.4171,"SteamCharts"
"ORION: Prelude",2012-10-01 00:00:00.000,4.69,-9.23,21,0.2233,"SteamCharts"
"Max Payne 3",2012-10-01 00:00:00.000,189.65,-110.19,433,0.438,"SteamCharts"
"Magicka",2012-10-01 00:00:00.000,360.75,-191.08,1155,0.3123,"SteamCharts"
"Awesomenauts",2012-10-01 00:00:00.000,357.78,19.47,1135,0.3152,"SteamCharts"
"Batman: Arkham Asylum GOTY Edition",2012-10-01 00:00:00.000,109.03,-20.88,260,0.4193,"SteamCharts"
"Amnesia: The Dark Descent",2012-10-01 00:00:00.000,157.71,-18.82,743,0.2123,"SteamCharts"
"APB Reloaded",2012-10-01 00:00:00.000,2274.44,-192.41,4350,0.5229,"SteamCharts"
"Call of Duty: World at War",2012-10-01 00:00:00.000,267.41,5.67,593,0.4509,"SteamCharts"
"Mirror's Edge",2012-10-01 00:00:00.000,47.97,-25.76,106,0.4525,"SteamCharts"
"Fallout 3 - Game of the Year Edition",2012-10-01 00:00:00.000,326.42,-94.75,648,0.5037,"SteamCharts"
"Arma 2: Operation Arrowhead",2012-10-01 00:00:00.000,2272.63,-732.16,5024,0.4524,"SteamCharts"
"Alien Swarm",2012-10-01 00:00:00.000,240.45,-26.17,548,0.4388,"SteamCharts"
"Trine 2",2012-10-01 00:00:00.000,119.33,-234.74,329,0.3627,"SteamCharts"
"Spiral Knights",2012-10-01 00:00:00.000,1001.04,-32.87,1941,0.5157,"SteamCharts"
"Serious Sam 3: BFE",2012-10-01 00:00:00.000,246.01,86.29,1010,0.2436,"SteamCharts"
"Assassin's Creed II",2012-10-01 00:00:00.000,580.8,307.42,2667,0.2178,"SteamCharts"
"DmC Devil May Cry",2012-10-01 00:00:00.000,1.71,1.61,15,0.114,"SteamCharts"
"Call of Duty: Black Ops",2012-10-01 00:00:00.000,1311.79,13.36,2854,0.4596,"SteamCharts"
"L.A. Noire",2012-10-01 00:00:00.000,209.27,-66.49,426,0.4912,"SteamCharts"
"Half-Life 2: Episode Two",2012-10-01 00:00:00.000,166.13,-27.66,380,0.4372,"SteamCharts"
"Age of Empires® III (2007)",2012-10-01 00:00:00.000,231.55,-40.57,461,0.5023,"SteamCharts"
"Orcs Must Die! 2",2012-10-01 00:00:00.000,471.7,-372.81,1737,0.2716,"SteamCharts"
"Guns of Icarus Online",2012-10-01 00:00:00.000,109.37,87.91,1327,0.0824,"SteamCharts"
"Dino D-Day",2012-10-01 00:00:00.000,10.09,-3.32,31,0.3255,"SteamCharts"
"Counter-Strike: Condition Zero",2012-10-01 00:00:00.000,1529.87,-41.8,3098,0.4938,"SteamCharts"
"The Darkness II",2012-10-01 00:00:00.000,74.59,-138.4,303,0.2462,"SteamCharts"
"STAR WARS™: Knights of the Old Republic™",2012-10-01 00:00:00.000,190.47,-95.8,403,0.4726,"SteamCharts"
"Need for Speed: Hot Pursuit",2012-10-01 00:00:00.000,75.6,-6.61,157,0.4815,"SteamCharts"
"Dungeon Defenders",2012-10-01 00:00:00.000,1680.04,276.75,5223,0.3217,"SteamCharts"
"Mass Effect 2",2012-10-01 00:00:00.000,285.14,-64.87,551,0.5175,"SteamCharts"
"Day of Defeat: Source",2012-10-01 00:00:00.000,1205.45,-37.82,2945,0.4093,"SteamCharts"
"Bad Rats",2012-10-01 00:00:00.000,1.03,-0.06,3,0.3433,"SteamCharts"
"S.T.A.L.K.E.R.: Call of Pripyat",2012-10-01 00:00:00.000,170.93,-16.29,351,0.487,"SteamCharts"
"Fallout 3",2012-10-01 00:00:00.000,59.64,-1.79,131,0.4553,"SteamCharts"
"Moonbase Alpha",2012-10-01 00:00:00.000,29.67,-13.63,92,0.3225,"SteamCharts"
"Warhammer 40,000: Space Marine",2012-10-01 00:00:00.000,313.11,-7.13,855,0.3662,"SteamCharts"
"Grand Theft Auto: Vice City",2012-10-01 00:00:00.000,89.78,32,644,0.1394,"SteamCharts"
"Burnout Paradise: The Ultimate Box",2012-10-01 00:00:00.000,35.82,-3.25,86,0.4165,"SteamCharts"
"Aliens vs. Predator",2012-10-01 00:00:00.000,193.27,41.84,757,0.2553,"SteamCharts"
"Trine",2012-10-01 00:00:00.000,40.14,-106.8,111,0.3616,"SteamCharts"
"Saints Row 2",2012-10-01 00:00:00.000,165.9,-2.71,411,0.4037,"SteamCharts"
"RAGE",2012-10-01 00:00:00.000,362.23,-73.58,820,0.4417,"SteamCharts"
"Gotham City Impostors: Free To Play",2012-10-01 00:00:00.000,940.93,-1205.41,2073,0.4539,"SteamCharts"
"Dead Space",2012-10-01 00:00:00.000,79.71,-11.68,431,0.1849,"SteamCharts"
"Dead Space 2",2012-10-01 00:00:00.000,99.61,-22.59,422,0.236,"SteamCharts"
"Dragon Age: Origins - Ultimate Edition",2012-10-01 00:00:00.000,233.83,-19.82,500,0.4677,"SteamCharts"
"Tropico 4",2012-10-01 00:00:00.000,280.1,-103.21,628,0.446,"SteamCharts"
"Call of Duty 4: Modern Warfare",2012-10-01 00:00:00.000,297.54,13,573,0.5193,"SteamCharts"
"Kingdoms of Amalur: Reckoning™",2012-10-01 00:00:00.000,67.4,-21.91,156,0.4321,"SteamCharts"
"Bully: Scholarship Edition",2012-10-01 00:00:00.000,33.27,-4.65,77,0.4321,"SteamCharts"
"Natural Selection 2",2012-10-01 00:00:00.000,325.93,90.54,6330,0.0515,"SteamCharts"
"TrackMania Nations Forever",2012-10-01 00:00:00.000,233.93,-22.32,498,0.4697,"SteamCharts"
"Ultra Street Fighter IV",2012-10-01 00:00:00.000,226.05,1.16,356,0.635,"SteamCharts"
"Psychonauts",2012-10-01 00:00:00.000,69.21,-4.08,179,0.3866,"SteamCharts"
"Half-Life 2: Episode One",2012-10-01 00:00:00.000,121.37,-21.25,261,0.465,"SteamCharts"
"AirMech Strike",2012-10-01 00:00:00.000,52.3,30.3,158,0.331,"SteamCharts"
"Defy Gravity",2012-10-01 00:00:00.000,0.23,0.04,3,0.0767,"SteamCharts"
"Deponia",2012-10-01 00:00:00.000,29.63,5.09,199,0.1489,"SteamCharts"
"Fallout",2012-10-01 00:00:00.000,11.73,-3.59,31,0.3784,"SteamCharts"
"Sonic Generations",2012-10-01 00:00:00.000,71.45,-6.55,155,0.461,"SteamCharts"
"RIFT",2012-10-01 00:00:00.000,195.81,-7.54,412,0.4753,"SteamCharts"
"Crysis 2 Maximum Edition",2012-10-01 00:00:00.000,210.22,-543.93,498,0.4221,"SteamCharts"
"VVVVVV",2012-10-01 00:00:00.000,10.24,-2.23,29,0.3531,"SteamCharts"
"Assassin's Creed Brotherhood",2012-10-01 00:00:00.000,495.73,239.23,2198,0.2255,"SteamCharts"
"Braid",2012-10-01 00:00:00.000,29.71,-4.47,71,0.4185,"SteamCharts"
"STAR WARS™ Empire at War: Gold Pack",2012-10-01 00:00:00.000,86.44,-14.39,191,0.4526,"SteamCharts"
"Tribes: Ascend",2012-10-01 00:00:00.000,698.09,-247.82,1329,0.5253,"SteamCharts"
"STAR WARS™ Republic Commando",2012-10-01 00:00:00.000,15.3,-3.03,36,0.425,"SteamCharts"
"Gear Up",2012-10-01 00:00:00.000,6.2,2.03,32,0.1938,"SteamCharts"
"F.E.A.R.",2012-10-01 00:00:00.000,28.3,4.18,234,0.1209,"SteamCharts"
"Deus Ex: Game of the Year Edition",2012-10-01 00:00:00.000,50.33,-30.24,116,0.4339,"SteamCharts"
"Mount & Blade: With Fire and Sword",2012-10-01 00:00:00.000,404.95,-73.57,916,0.4421,"SteamCharts"
"Dragon Age: Origins",2012-10-01 00:00:00.000,104.8,-8.17,206,0.5087,"SteamCharts"
"Vampire: The Masquerade - Bloodlines",2012-10-01 00:00:00.000,70.29,12.35,487,0.1443,"SteamCharts"
"Crysis",2012-10-01 00:00:00.000,105.01,-255.27,271,0.3875,"SteamCharts"
"Half-Life 2: Deathmatch",2012-10-01 00:00:00.000,387.09,-33.4,813,0.4761,"SteamCharts"
"Super Crate Box",2012-10-01 00:00:00.000,81.55,-78.33,187,0.4361,"SteamCharts"
"Assassin's Creed Revelations",2012-10-01 00:00:00.000,379.52,110.18,1310,0.2897,"SteamCharts"
"Hitman: Blood Money",2012-10-01 00:00:00.000,104.37,-38.86,216,0.4832,"SteamCharts"
"Half-Life 2: Lost Coast",2012-10-01 00:00:00.000,27.52,-5.69,65,0.4234,"SteamCharts"
"Assassin's Creed",2012-10-01 00:00:00.000,151.99,82.49,914,0.1663,"SteamCharts"
"Endless Space® - Definitive Edition",2012-10-01 00:00:00.000,539.01,-123.15,1261,0.4274,"SteamCharts"
"STAR WARS™ Jedi Knight: Jedi Academy™",2012-10-01 00:00:00.000,43.05,-9.47,105,0.41,"SteamCharts"
"Anno 2070",2012-10-01 00:00:00.000,533.59,98.93,1353,0.3944,"SteamCharts"
"Warhammer 40,000: Dawn of War II",2012-10-01 00:00:00.000,473,74.59,1929,0.2452,"SteamCharts"
"S.T.A.L.K.E.R.: Clear Sky",2012-10-01 00:00:00.000,55.84,-8.5,134,0.4167,"SteamCharts"
"Homefront",2012-10-01 00:00:00.000,186.03,-15.01,529,0.3517,"SteamCharts"
"FlatOut 2",2012-10-01 00:00:00.000,23.62,-2.21,62,0.381,"SteamCharts"
"Machinarium",2012-10-01 00:00:00.000,14.01,-3.67,37,0.3786,"SteamCharts"
"PROTOTYPE 2",2012-10-01 00:00:00.000,207.38,-81.49,796,0.2605,"SteamCharts"
"Orcs Must Die!",2012-10-01 00:00:00.000,90.76,-54.46,335,0.2709,"SteamCharts"
"Serious Sam 2",2012-10-01 00:00:00.000,19.11,11.21,152,0.1257,"SteamCharts"
"F.E.A.R. 3",2012-10-01 00:00:00.000,140.35,1.9,624,0.2249,"SteamCharts"
"Supreme Commander 2",2012-10-01 00:00:00.000,499.45,-7.02,1155,0.4324,"SteamCharts"
"Far Cry 2",2012-10-01 00:00:00.000,96.61,-12.51,188,0.5139,"SteamCharts"
"Zombie Panic! Source",2012-10-01 00:00:00.000,283.29,8.67,689,0.4112,"SteamCharts"
"Half-Life: Opposing Force",2012-10-01 00:00:00.000,41.3,-14.96,102,0.4049,"SteamCharts"
"Cave Story+",2012-10-01 00:00:00.000,27.4,-1.24,103,0.266,"SteamCharts"
"Recettear: An Item Shop's Tale",2012-10-01 00:00:00.000,40.98,-29.63,83,0.4937,"SteamCharts"
"Supreme Commander: Forged Alliance",2012-10-01 00:00:00.000,196.05,-28.25,495,0.3961,"SteamCharts"
"The Ship",2012-10-01 00:00:00.000,33.54,11.46,138,0.243,"SteamCharts"
"Company of Heroes - Legacy Edition",2012-10-01 00:00:00.000,676.48,195.44,2002,0.3379,"SteamCharts"
"Fallout 2",2012-10-01 00:00:00.000,18.04,-5.27,43,0.4195,"SteamCharts"
"Grand Theft Auto III",2012-10-01 00:00:00.000,18.76,-3.65,47,0.3991,"SteamCharts"
"E.Y.E: Divine Cybermancy",2012-10-01 00:00:00.000,19.85,-9.28,44,0.4511,"SteamCharts"
"Duke Nukem Forever",2012-10-01 00:00:00.000,115.44,-10.39,280,0.4123,"SteamCharts"
"Legend of Grimrock",2012-10-01 00:00:00.000,128.27,21.55,363,0.3534,"SteamCharts"
"Secret World Legends",2012-10-01 00:00:00.000,109.97,5.52,272,0.4043,"SteamCharts"
"Binary Domain",2012-10-01 00:00:00.000,16.26,-6.31,45,0.3613,"SteamCharts"
"Command and Conquer: Red Alert 3",2012-10-01 00:00:00.000,87.93,-8.34,189,0.4652,"SteamCharts"
"Dark Messiah of Might & Magic Single Player",2012-10-01 00:00:00.000,32.96,4.28,83,0.3971,"SteamCharts"
"Fable - The Lost Chapters",2012-10-01 00:00:00.000,52.69,-7.67,116,0.4542,"SteamCharts"
"BEEP",2012-10-01 00:00:00.000,0.24,-0.11,4,0.06,"SteamCharts"
"Serious Sam HD: The First Encounter",2012-10-01 00:00:00.000,34.56,11.63,174,0.1986,"SteamCharts"
"Max Payne",2012-10-01 00:00:00.000,11.96,-0.76,33,0.3624,"SteamCharts"
"The Tiny Bang Story",2012-10-01 00:00:00.000,5.63,-0.06,19,0.2963,"SteamCharts"
