Country,Year,Population
"Poland",1971,32803069
"Portugal",1971,8732165
"Puerto Rico",1971,2751922
"Qatar",1971,118210
"Reunion",1971,470253
"Romania",1971,20473447
"Russia",1971,131095450
"Rwanda",1971,3866501
"Saint Helena",1971,5008
"Saint Kitts and Nevis",1971,44498
"Saint Lucia",1971,105169
"Saint Vincent and the Grenadines",1971,91445
"Saint-Pierre-et-Miquelon",1971,5548
"Samoa",1971,144528
"San Marino",1971,19299
"Sao Tome and Principe",1971,75334
"Saudi Arabia",1971,6028687
"Senegal",1971,4231030
"Serbia",1971,8238178
"Seychelles",1971,52841
"Sierra Leone",1971,2640264
"Singapore",1971,2112908
"Slovak Republic",1971,4546043
"Slovenia",1971,1681246
"Solomon Islands",1971,166067
"Somalia",1971,3646798
"South Africa",1971,23106584
"South Sudan",1971,3107019
"Spain",1971,34165661
"Sri Lanka",1971,12812407
"Sudan",1971,12079205
"Suriname",1971,373795
"Swaziland",1971,458611
"Sweden",1971,8084965
"Switzerland",1971,6221393
"Syria",1971,6588936
"Taiwan",1971,14918000
"Tajikistan",1971,3036693
"Tanzania",1971,14044480
"Thailand",1971,38004462
"Timor-Leste",1971,620126
"Togo",1971,2165335
"Tokelau",1971,1587
"Tonga",1971,85518
"Trinidad and Tobago",1971,977679
"Tunisia",1971,5226965
"Turkey",1971,36245756
"Turkmenistan",1971,2252386
"Turks and Caicos Islands",1971,5750
"Tuvalu",1971,7379
"Uganda",1971,9730174
"Ukraine",1971,47685533
"United Arab Emirates",1971,272529
"United Kingdom",1971,55819499
"United States",1971,211355529
"Uruguay",1971,2817577
"Uzbekistan",1971,12358535
"Wallis et Futuna",1971,8792
"Vanuatu",1971,88029
"Venezuela",1971,11045959
"West Bank and Gaza",1971,1144161
"Western Sahara",1971,76196
"Vietnam",1971,45957991
"Virgin Islands (U.S.)",1971,68102
"Yemen, Rep.",1971,6235264
"Zambia",1971,4278863
"Zimbabwe",1971,5385233
"Afghanistan",1972,12593688
"Albania",1972,2241623
"Algeria",1972,14600659
"American Samoa",1972,28470
"Andorra",1972,26997
"Angola",1972,6179685
"Anguilla",1972,6506
"Antigua and Barbuda",1972,67419
"Argentina",1972,24791983
"Armenia",1972,2643464
"Aruba",1972,59849
"Australia",1972,13236895
"Austria",1972,7526469
"Azerbaijan",1972,5387375
"Bahamas",1972,177849
"Bahrain",1972,228255
"Bangladesh",1972,68461849
"Barbados",1972,241345
"Belarus",1972,9181971
"Belgium",1972,9696539
"Belize",1972,127389
"Benin",1972,2971515
"Bermuda",1972,52831
"Bhutan",1972,324815
"Bolivia",1972,4426012
"Bosnia and Herzegovina",1972,3636930
"Botswana",1972,739683
"Brazil",1972,100828667
"British Virgin Islands",1972,10134
"Brunei",1972,137181
"Bulgaria",1972,8590839
"Burkina Faso",1972,6044303
"Burundi",1972,3577187
"Cambodia",1972,7118136
"Cameroon",1972,7210272
"Canada",1972,22344104
"Cape Verde",1972,292150
"Cayman Islands",1972,10581
"Central African Rep.",1972,1900723
"Chad",1972,3834574
"Channel Islands",1972,123534
"Chile",1972,9925950
"China",1972,857804035
"Colombia",1972,22381887
"Comoros",1972,249000
"Congo, Dem. Rep.",1972,21431338
"Congo, Rep.",1972,1418826
"Cook Islands",1972,21423
"Costa Rica",1972,1908913
"Cote d'Ivoire",1972,5909848
"Croatia",1972,4201302
"Cuba",1972,9010586
"Cyprus",1972,628140
"Czech Rep.",1972,9855516
"Denmark",1972,4987806
"Djibouti",1972,181622
"Dominica",1972,71737
"Dominican Rep.",1972,4764319
"Ecuador",1972,6333049
"Egypt",1972,37577248
"El Salvador",1972,3937757
"Equatorial Guinea",1972,274893
"Eritrea",1972,1946213
"Estonia",1972,1394029
"Ethiopia",1972,30642920
"Faeroe Islands",1972,39288
"Falkland Islands (Malvinas)",1972,1960
"Fiji",1972,542846
"Finland",1972,4644371
"France",1972,51572812
"French Guiana",1972,51945
"French Polynesia",1972,118303
"Gabon",1972,551811
"Gambia",1972,487790
"Georgia",1972,4791473
"Germany",1972,78549958
"Ghana",1972,9167822
"Gibraltar",1972,24985
"Greece",1972,8870711
"Greenland",1972,48209
"Grenada",1972,93896
"Guadeloupe",1972,325123
"Guam",1972,89350
"Guatemala",1972,5752386
"Guinea",1972,4228217
"Guinea-Bissau",1972,628890
"Guyana",1972,735823
"Haiti",1972,4877645
"Holy See",1972,660
"Honduras",1972,2841609
"Hong Kong, China",1972,4068311
"Hungary",1972,10393745
"Iceland",1972,209722
"India",1972,579871075
"Indonesia",1972,124507744
"Iran",1972,30197689
"Iraq",1972,10700247
"Ireland",1972,3039128
"Isle of Man",1972,58567
"Israel",1972,3033863
"Italy",1972,54074032
"Jamaica",1972,1924871
"Japan",1972,106619818
"Jordan",1972,1825322
"Kazakhstan",1972,13540301
"Kenya",1972,12082989
"Kiribati",1972,45777
"Korea, Dem. Rep.",1972,15034521
"Korea, Rep.",1972,32766592
"Kuwait",1972,870446
"Kyrgyzstan",1972,3103694
"Laos",1972,2839169
"Latvia",1972,2405177
"Lebanon",1972,2597588
"Lesotho",1972,1076100
"Liberia",1972,1521565
"Libya",1972,2169965
"Liechtenstein",1972,22196
"Lithuania",1972,3204064
"Luxembourg",1972,346805
"Macao, China",1972,254280
"Macedonia, FYR",1972,1607799
"Madagascar",1972,6909376
"Malawi",1972,4814073
"Malaysia",1972,11461117
"Maldives",1972,123266
"Mali",1972,6249101
"Malta",1972,303123
"Marshall Islands",1972,22340
"Martinique",1972,327918
"Mauritania",1972,1201462
"Mauritius",1972,852981
"Mayotte",1972,39955
"Mexico",1972,55081201
"Micronesia, Fed. Sts.",1972,62297
"Moldova",1972,3697183
"Monaco",1972,24282
"Mongolia",1972,1359478
"Montenegro",1972,528905
"Montserrat",1972,11646
"Morocco",1972,16099392
"Mozambique",1972,9882427
"Myanmar",1972,27475978
"Namibia",1972,829810
"Nauru",1972,6743
"Nepal",1972,12472000
"Netherlands",1972,13231426
"Netherlands Antilles",1972,162504
"New Caledonia",1972,114294
"New Zealand",1972,2930577
"Nicaragua",1972,2549185
"Niger",1972,4640560
"Nigeria",1972,60191508
"Niue",1972,4727
"Northern Mariana Islands",1972,14142
"Norway",1972,3934529
"Oman",1972,787002
"Pakistan",1972,62751275
"Palau",1972,11853
"Panama",1972,1595314
"Papua New Guinea",1972,2576020
"Paraguay",1972,2606357
"Peru",1972,13941958
"Philippines",1972,37545635
"Poland",1972,33084382
"Portugal",1972,8820645
"Puerto Rico",1972,2793569
"Qatar",1972,129227
"Reunion",1972,475664
"Romania",1972,20674980
"Russia",1972,131838010
"Rwanda",1972,3988895
"Saint Helena",1972,5078
"Saint Kitts and Nevis",1972,44339
"Saint Lucia",1972,106064
"Saint Vincent and the Grenadines",1972,92463
"Saint-Pierre-et-Miquelon",1972,5644
"Samoa",1972,146330
"San Marino",1972,19395
"Sao Tome and Principe",1972,76896
"Saudi Arabia",1972,6311207
"Senegal",1972,4370991
"Serbia",1972,8307669
"Seychelles",1972,54087
"Sierra Leone",1972,2688527
"Singapore",1972,2152644
"Slovak Republic",1972,4585443
"Slovenia",1972,1694389
"Solomon Islands",1972,172319
"Somalia",1972,3673532
"South Africa",1972,23736249
"South Sudan",1972,3198874
"Spain",1972,34553119
"Sri Lanka",1972,13063663
"Sudan",1972,12436311
"Suriname",1972,372648
"Swaziland",1972,472236
"Sweden",1972,8117863
"Switzerland",1972,6269871
"Syria",1972,6817940
"Taiwan",1972,15226000
"Tajikistan",1972,3136061
"Tanzania",1972,14504837
"Thailand",1972,39109571
"Timor-Leste",1972,637590
"Togo",1972,2225052
"Tokelau",1972,1574
"Tonga",1972,86347
"Trinidad and Tobago",1972,985548
"Tunisia",1972,5326668
"Turkey",1972,37054168
"Turkmenistan",1972,2318070
"Turks and Caicos Islands",1972,5924
"Tuvalu",1972,7459
"Uganda",1972,10012125
"Ukraine",1972,48050256
"United Arab Emirates",1972,322868
"United Kingdom",1972,55964697
"United States",1972,213250350
"Uruguay",1972,2820734
"Uzbekistan",1972,12759275
"Wallis et Futuna",1972,8775
"Vanuatu",1972,90831
"Venezuela",1972,11428022
"West Bank and Gaza",1972,1180264
"Western Sahara",1972,73333
"Vietnam",1972,46994771
"Virgin Islands (U.S.)",1972,72610
"Yemen, Rep.",1972,6323380
"Zambia",1972,4426079
"Zimbabwe",1972,5573154
"Afghanistan",1973,12915499
"Albania",1973,2294578
"Algeria",1973,15052371
"American Samoa",1973,28983
"Andorra",1973,28357
"Angola",1973,6322194
"Anguilla",1973,6554
"Antigua and Barbuda",1973,68182
"Argentina",1973,25222223
"Armenia",1973,2705584
"Aruba",1973,60238
"Australia",1973,13472175
"Austria",1973,7550638
"Azerbaijan",1973,5490572
"Bahamas",1973,181490
"Bahrain",1973,238468
"Bangladesh",1973,68933357
"Barbados",1973,242949
"Belarus",1973,9246050
"Belgium",1973,9730978
"Belize",1973,129600
"Benin",1973,3037990
"Bermuda",1973,53347
"Bhutan",1973,337370
"Bolivia",1973,4535500
"Bosnia and Herzegovina",1973,3674638
"Botswana",1973,765101
"Brazil",1973,103242395
"British Virgin Islands",1973,10272
"Brunei",1973,143548
"Bulgaria",1973,8637941
"Burkina Faso",1973,6169133
"Burundi",1973,3602204
"Cambodia",1973,7162333
"Cameroon",1973,7407756
"Canada",1973,22614673
"Cape Verde",1973,300922
"Cayman Islands",1973,11253
"Central African Rep.",1973,1937410
"Chad",1973,3929341
"Channel Islands",1973,124649
"Chile",1973,10095485
"China",1973,878305091
"Colombia",1973,22898136
"Comoros",1973,254997
"Congo, Dem. Rep.",1973,22032669
"Congo, Rep.",1973,1463231
"Cook Islands",1973,21177
"Costa Rica",1973,1953184
"Cote d'Ivoire",1973,6180001
"Croatia",1973,4220795
"Cuba",1973,9160532
"Cyprus",1973,635261
"Czech Rep.",1973,9896416
"Denmark",1973,5014503
"Djibouti",1973,192922
"Dominica",1973,71745
"Dominican Rep.",1973,4891500
"Ecuador",1973,6519792
"Egypt",1973,38409289
"El Salvador",1973,4037935
"Equatorial Guinea",1973,262377
"Eritrea",1973,1998632
"Estonia",1973,1407932
"Ethiopia",1973,31503206
"Faeroe Islands",1973,39641
"Falkland Islands (Malvinas)",1973,1946
"Fiji",1973,554147
"Finland",1973,4668510
"France",1973,51980081
"French Guiana",1973,53580
"French Polynesia",1973,122041
"Gabon",1973,565441
"Gambia",1973,504267
"Georgia",1973,4832396
"Germany",1973,78635758
"Ghana",1973,9435673
"Gibraltar",1973,25117
"Greece",1973,8912166
"Greenland",1973,48814
"Grenada",1973,93588
"Guadeloupe",1973,326970
"Guam",1973,91316
"Guatemala",1973,5910205
"Guinea",1973,4252351
"Guinea-Bissau",1973,647703
"Guyana",1973,739970
"Haiti",1973,4961817
"Holy See",1973,685
"Honduras",1973,2924118
"Hong Kong, China",1973,4147503
"Hungary",1973,10434264
"Iceland",1973,212673
"India",1973,593526633
"Indonesia",1973,127662293
"Iran",1973,31006191
"Iraq",1973,11049889
"Ireland",1973,3085214
"Isle of Man",1973,59331
"Israel",1973,3137027
"Italy",1973,54438147
"Jamaica",1973,1955153
"Japan",1973,108089192
"Jordan",1973,1887681
"Kazakhstan",1973,13751019
"Kenya",1973,12529622
"Kiribati",1973,46629
"Korea, Dem. Rep.",1973,15411302
"Korea, Rep.",1973,33442949
"Kuwait",1973,930744
"Kyrgyzstan",1973,3169771
"Laos",1973,2914999
"Latvia",1973,2424107
"Lebanon",1973,2665458
"Lesotho",1973,1098849
"Liberia",1973,1565044
"Libya",1973,2264278
"Liechtenstein",1973,22563
"Lithuania",1973,3237070
"Luxembourg",1973,351409
"Macao, China",1973,252843
"Macedonia, FYR",1973,1629127
"Madagascar",1973,7100076
"Malawi",1973,4969175
"Malaysia",1973,11742976
"Maldives",1973,127491
"Mali",1973,6364760
"Malta",1973,303243
"Marshall Islands",1973,23439
"Martinique",1973,328542
"Mauritania",1973,1237242
"Mauritius",1973,865777
"Mayotte",1973,41712
"Mexico",1973,56771626
"Micronesia, Fed. Sts.",1973,62288
"Moldova",1973,3747974
"Monaco",1973,24605
"Mongolia",1973,1400150
"Montenegro",1973,535454
"Montserrat",1973,11680
"Morocco",1973,16493298
"Mozambique",1973,10109426
"Myanmar",1973,28160632
"Namibia",1973,855970
"Nauru",1973,6862
"Nepal",1973,12763547
"Netherlands",1973,13360546
"Netherlands Antilles",1973,163794
"New Caledonia",1973,119408
"New Zealand",1973,2990130
"Nicaragua",1973,2628337
"Niger",1973,4779869
"Nigeria",1973,61720304
"Niue",1973,4455
"Northern Mariana Islands",1973,14605
"Norway",1973,3961021
"Oman",1973,819375
"Pakistan",1973,64551904
"Palau",1973,12045
"Panama",1973,1638624
"Papua New Guinea",1973,2652505
"Paraguay",1973,2669285
"Peru",1973,14333692
"Philippines",1973,38633697
"Poland",1973,33373543
"Portugal",1973,8939024
"Puerto Rico",1973,2839615
"Qatar",1973,140846
"Reunion",1973,479160
"Romania",1973,20863942
"Russia",1973,132616141
"Rwanda",1973,4116446
"Saint Helena",1973,5144
"Saint Kitts and Nevis",1973,44328
"Saint Lucia",1973,106905
"Saint Vincent and the Grenadines",1973,93507
"Saint-Pierre-et-Miquelon",1973,5736
"Samoa",1973,147835
"San Marino",1973,19465
"Sao Tome and Principe",1973,78435
"Saudi Arabia",1973,6622572
"Senegal",1973,4512774
"Serbia",1973,8380884
"Seychelles",1973,55357
"Sierra Leone",1973,2738398
"Singapore",1973,2191970
"Slovak Republic",1973,4627506
"Slovenia",1973,1709055
"Solomon Islands",1973,178926
"Somalia",1973,3725116
"South Africa",1973,24384286
"South Sudan",1973,3296208
"Spain",1973,34949102
"Sri Lanka",1973,13311145
"Sudan",1973,12814718
"Suriname",1973,369834
"Swaziland",1973,486560
"Sweden",1973,8144217
"Switzerland",1973,6311231
"Syria",1973,7054361
"Taiwan",1973,15526000
"Tajikistan",1973,3238090
"Tanzania",1973,14982938
"Thailand",1973,40219377
"Timor-Leste",1973,653351
"Togo",1973,2278418
"Tokelau",1973,1574
"Tonga",1973,86982
"Trinidad and Tobago",1973,992348
"Tunisia",1973,5430023
"Turkey",1973,37884870
"Turkmenistan",1973,2385039
"Turks and Caicos Islands",1973,6132
"Tuvalu",1973,7538
"Uganda",1973,10296444
"Ukraine",1973,48401549
"United Arab Emirates",1973,383152
"United Kingdom",1973,56081455
"United States",1973,215164616
"Uruguay",1973,2821367
"Uzbekistan",1973,13168838
"Wallis et Futuna",1973,8809
"Vanuatu",1973,93768
"Venezuela",1973,11827681
"West Bank and Gaza",1973,1227284
"Western Sahara",1973,70287
"Vietnam",1973,48015047
"Virgin Islands (U.S.)",1973,77310
"Yemen, Rep.",1973,6419984
"Zambia",1973,4579560
"Zimbabwe",1973,5768190
"Afghanistan",1974,13223928
"Albania",1974,2347607
"Algeria",1974,15524137
"American Samoa",1974,29453
"Andorra",1974,29688
"Angola",1974,6474796
"Anguilla",1974,6596
"Antigua and Barbuda",1974,68848
"Argentina",1974,25654154
"Armenia",1974,2766495
"Aruba",1974,60524
"Australia",1974,13690285
"Austria",1974,7568347
"Azerbaijan",1974,5591016
"Bahamas",1974,185091
"Bahrain",1974,250683
"Bangladesh",1974,69567500
"Barbados",1974,244433
"Belarus",1974,9307285
"Belgium",1974,9761867
"Belize",1974,131642
"Benin",1974,3108179
"Bermuda",1974,53832
"Bhutan",1974,350365
"Bolivia",1974,4647442
"Bosnia and Herzegovina",1974,3711662
"Botswana",1974,792432
"Brazil",1974,105703409
"British Virgin Islands",1974,10389
"Brunei",1974,150039
"Bulgaria",1974,8681449
"Burkina Faso",1974,6299238
"Burundi",1974,3634284
"Cambodia",1974,7157572
"Cameroon",1974,7616558
"Canada",1974,22876657
"Cape Verde",1974,307657
"Cayman Islands",1974,11990
"Central African Rep.",1974,1975985
"Chad",1974,4023300
"Channel Islands",1974,125599
"Chile",1974,10260027
"China",1974,897479153
"Colombia",1974,23421644
"Comoros",1974,262030
"Congo, Dem. Rep.",1974,22658905
"Congo, Rep.",1974,1508675
"Cook Islands",1974,20808
"Costa Rica",1974,1999429
"Cote d'Ivoire",1974,6466158
"Croatia",1974,4241669
"Cuba",1974,9298895
"Cyprus",1974,642496
"Czech Rep.",1974,9942472
"Denmark",1974,5038752
"Djibouti",1974,206763
"Dominica",1974,71811
"Dominican Rep.",1974,5019002
"Ecuador",1974,6711284
"Egypt",1974,39258086
"El Salvador",1974,4136133
"Equatorial Guinea",1974,249569
"Eritrea",1974,2054727
"Estonia",1974,1420709
"Ethiopia",1974,32289683
"Faeroe Islands",1974,40008
"Falkland Islands (Malvinas)",1974,1932
"Fiji",1974,565426
"Finland",1974,4691674
"France",1974,52358648
"French Guiana",1974,55233
"French Polynesia",1974,125862
"Gabon",1974,580101
"Gambia",1974,521186
"Georgia",1974,4871428
"Germany",1974,78672415
"Ghana",1974,9692196
"Gibraltar",1974,25262
"Greece",1974,8968522
"Greenland",1974,49263
"Grenada",1974,93108
"Guadeloupe",1974,328124
"Guam",1974,93322
"Guatemala",1974,6069254
"Guinea",1974,4270991
"Guinea-Bissau",1974,669656
"Guyana",1974,743915
"Haiti",1974,5049035
"Holy See",1974,711
"Honduras",1974,3011047
"Hong Kong, China",1974,4243420
"Hungary",1974,10476458
"Iceland",1974,215485
"India",1974,607606569
"Indonesia",1974,130863441
"Iran",1974,31866190
"Iraq",1974,11410460
"Ireland",1974,3134031
"Isle of Man",1974,60102
"Israel",1974,3239653
"Italy",1974,54781374
"Jamaica",1974,1984678
"Japan",1974,109498615
"Jordan",1974,1944733
"Kazakhstan",1974,13950987
"Kenya",1974,12997274
"Kiribati",1974,47515
"Korea, Dem. Rep.",1974,15759909
"Korea, Rep.",1974,34099932
"Kuwait",1974,991885
"Kyrgyzstan",1974,3234611
"Laos",1974,2983956
"Latvia",1974,2441537
"Lebanon",1974,2723330
"Lesotho",1974,1123261
"Liberia",1974,1610474
"Libya",1974,2362900
"Liechtenstein",1974,22922
"Lithuania",1974,3268867
"Luxembourg",1974,355635
"Macao, China",1974,250548
"Macedonia, FYR",1974,1651721
"Madagascar",1974,7297711
"Malawi",1974,5132087
"Malaysia",1974,12027040
"Maldives",1974,131752
"Mali",1974,6483570
"Malta",1974,304083
"Marshall Islands",1974,24534
"Martinique",1974,328748
"Mauritania",1974,1274150
"Mauritius",1974,878870
"Mayotte",1974,43495
"Mexico",1974,58492118
"Micronesia, Fed. Sts.",1974,62474
"Moldova",1974,3795721
"Monaco",1974,24902
"Mongolia",1974,1441311
"Montenegro",1974,542304
"Montserrat",1974,11723
"Morocco",1974,16893643
"Mozambique",1974,10353943
"Myanmar",1974,28849728
"Namibia",1974,881536
"Nauru",1974,6972
"Nepal",1974,13064044
"Netherlands",1974,13483746
"Netherlands Antilles",1974,165010
"New Caledonia",1974,124283
"New Zealand",1974,3042757
"Nicaragua",1974,2709983
"Niger",1974,4923337
"Nigeria",1974,63363756
"Niue",1974,4192
"Northern Mariana Islands",1974,14978
"Norway",1974,3985401
"Oman",1974,856230
"Pakistan",1974,66456937
"Palau",1974,12195
"Panama",1974,1682398
"Papua New Guinea",1974,2730770
"Paraguay",1974,2734247
"Peru",1974,14734523
"Philippines",1974,39749340
"Poland",1974,33669650
"Portugal",1974,9070905
"Puerto Rico",1974,2888504
"Qatar",1974,152210
"Reunion",1974,481993
"Romania",1974,21051489
"Russia",1974,133417243
"Rwanda",1974,4249861
"Saint Helena",1974,5203
"Saint Kitts and Nevis",1974,44342
"Saint Lucia",1974,107857
"Saint Vincent and the Grenadines",1974,94556
"Saint-Pierre-et-Miquelon",1974,5817
"Samoa",1974,149155
"San Marino",1974,19565
"Sao Tome and Principe",1974,80137
"Saudi Arabia",1974,6966138
"Senegal",1974,4651922
"Serbia",1974,8457297
"Seychelles",1974,56605
"Sierra Leone",1974,2790525
"Singapore",1974,2228945
"Slovak Republic",1974,4671864
"Slovenia",1974,1725015
"Solomon Islands",1974,185758
"Somalia",1974,3860931
"South Africa",1974,25040691
"South Sudan",1974,3398449
"Spain",1974,35346395
"Sri Lanka",1974,13559172
"Sudan",1974,13212203
"Suriname",1974,366767
"Swaziland",1974,501509
"Sweden",1974,8168135
"Switzerland",1974,6340818
"Syria",1974,7297254
"Taiwan",1974,15824000
"Tajikistan",1974,3340561
"Tanzania",1974,15474884
"Thailand",1974,41319380
"Timor-Leste",1974,662785
"Togo",1974,2328971
"Tokelau",1974,1577
"Tonga",1974,87606
"Trinidad and Tobago",1974,999650
"Tunisia",1974,5542400
"Turkey",1974,38730367
"Turkmenistan",1974,2452528
"Turks and Caicos Islands",1974,6346
"Tuvalu",1974,7613
"Uganda",1974,10589763
"Ukraine",1974,48726373
"United Arab Emirates",1974,453530
"United Kingdom",1974,56170690
"United States",1974,217113584
"Uruguay",1974,2823326
"Uzbekistan",1974,13578159
"Wallis et Futuna",1974,8919
"Vanuatu",1974,96799
"Venezuela",1974,12245478
"West Bank and Gaza",1974,1276627
"Western Sahara",1974,70089
"Vietnam",1974,48987973
"Virgin Islands (U.S.)",1974,81802
"Yemen, Rep.",1974,6539217
"Zambia",1974,4737942
"Zimbabwe",1974,5967705
"Afghanistan",1975,13505544
"Albania",1975,2400801
"Algeria",1975,16018195
"American Samoa",1975,29897
"Andorra",1975,30967
"Angola",1975,6637419
"Anguilla",1975,6630
"Antigua and Barbuda",1975,69420
"Argentina",1975,26078731
"Armenia",1975,2825650
"Aruba",1975,60654
"Australia",1975,13889696
"Austria",1975,7578498
"Azerbaijan",1975,5688997
"Bahamas",1975,188870
"Bahrain",1975,265160
"Bangladesh",1975,70582168
"Barbados",1975,245646
"Belarus",1975,9367004
"Belgium",1975,9787677
"Belize",1975,133562
"Benin",1975,3182130
"Bermuda",1975,54278
"Bhutan",1975,363603
"Bolivia",1975,4761344
"Bosnia and Herzegovina",1975,3747109
"Botswana",1975,821942
"Brazil",1975,108224080
"British Virgin Islands",1975,10484
"Brunei",1975,156595
"Bulgaria",1975,8720706
"Burkina Faso",1975,6435274
"Burundi",1975,3680401
"Cambodia",1975,7097800
"Cameroon",1975,7837926
"Canada",1975,23142272
"Cape Verde",1975,311349
"Cayman Islands",1975,12764
"Central African Rep.",1975,2017362
"Chad",1975,4114094
"Channel Islands",1975,126335
"Chile",1975,10418880
"China",1975,915040954
"Colombia",1975,23960605
"Comoros",1975,270467
"Congo, Dem. Rep.",1975,23316776
"Congo, Rep.",1975,1554793
"Cook Islands",1975,20356
"Costa Rica",1975,2048812
"Cote d'Ivoire",1975,6768313
"Croatia",1975,4263294
"Cuba",1975,9420828
"Cyprus",1975,649918
"Czech Rep.",1975,9993206
"Denmark",1975,5060227
"Djibouti",1975,223963
"Dominica",1975,72092
"Dominican Rep.",1975,5146742
"Ecuador",1975,6907740
"Egypt",1975,40132189
"El Salvador",1975,4231358
"Equatorial Guinea",1975,238240
"Eritrea",1975,2115400
"Estonia",1975,1431998
"Ethiopia",1975,32958964
"Faeroe Islands",1975,40403
"Falkland Islands (Malvinas)",1975,1917
"Fiji",1975,576634
"Finland",1975,4711432
"France",1975,52691826
"French Guiana",1975,56949
"French Polynesia",1975,129803
"Gabon",1975,595417
"Gambia",1975,538110
"Georgia",1975,4907996
"Germany",1975,78673559
"Ghana",1975,9922663
"Gibraltar",1975,25440
"Greece",1975,9046544
"Greenland",1975,49586
"Grenada",1975,92408
"Guadeloupe",1975,328514
"Guam",1975,95380
"Guatemala",1975,6228224
"Guinea",1975,4286863
"Guinea-Bissau",1975,694113
"Guyana",1975,748809
"Haiti",1975,5141143
"Holy See",1975,729
"Honduras",1975,3102649
"Hong Kong, China",1975,4355208
"Hungary",1975,10520246
"Iceland",1975,218031
"India",1975,622096682
"Indonesia",1975,134105926
"Iran",1975,32793173
"Iraq",1975,11783644
"Ireland",1975,3183759
"Isle of Man",1975,60945
"Israel",1975,3336984
"Italy",1975,55095516
"Jamaica",1975,2012156
"Japan",1975,110808090
"Jordan",1975,2000538
"Kazakhstan",1975,14136006
"Kenya",1975,13486116
"Kiribati",1975,48491
"Korea, Dem. Rep.",1975,16072089
"Korea, Rep.",1975,34721507
"Kuwait",1975,1053753
"Kyrgyzstan",1975,3299001
"Laos",1975,3041847
"Latvia",1975,2456971
"Lebanon",1975,2765289
"Lesotho",1975,1149797
"Liberia",1975,1657971
"Libya",1975,2466000
"Liechtenstein",1975,23288
"Lithuania",1975,3298964
"Luxembourg",1975,358956
"Macao, China",1975,248211
"Macedonia, FYR",1975,1675598
"Madagascar",1975,7502097
"Malawi",1975,5301861
"Malaysia",1975,12312736
"Maldives",1975,135895
"Mali",1975,6604259
"Malta",1975,305898
"Marshall Islands",1975,25578
"Martinique",1975,328542
"Mauritania",1975,1312132
"Mauritius",1975,892492
"Mayotte",1975,45268
"Mexico",1975,60224601
"Micronesia, Fed. Sts.",1975,63143
"Moldova",1975,3838998
"Monaco",1975,25153
"Mongolia",1975,1482599
"Montenegro",1975,548999
"Montserrat",1975,11770
"Morocco",1975,17304995
"Mozambique",1975,10620268
"Myanmar",1975,29534378
"Namibia",1975,905652
"Nauru",1975,7070
"Nepal",1975,13373069
"Netherlands",1975,13600423
"Netherlands Antilles",1975,166261
"New Caledonia",1975,128571
"New Zealand",1975,3083108
"Nicaragua",1975,2794083
"Niger",1975,5071204
"Nigeria",1975,65141058
"Niue",1975,3973
"Northern Mariana Islands",1975,15232
"Norway",1975,4007312
"Oman",1975,898286
"Pakistan",1975,68482526
"Palau",1975,12280
"Panama",1975,1726672
"Papua New Guinea",1975,2809595
"Paraguay",1975,2802133
"Peru",1975,15143887
"Philippines",1975,40892836
"Poland",1975,33971911
"Portugal",1975,9203339
"Puerto Rico",1975,2938911
"Qatar",1975,162835
"Reunion",1975,485134
"Romania",1975,21245107
"Russia",1975,134232512
"Rwanda",1975,4389619
"Saint Helena",1975,5253
"Saint Kitts and Nevis",1975,44289
"Saint Lucia",1975,109038
"Saint Vincent and the Grenadines",1975,95591
"Saint-Pierre-et-Miquelon",1975,5883
"Samoa",1975,150373
"San Marino",1975,19734
"Sao Tome and Principe",1975,82124
"Saudi Arabia",1975,7344638
"Senegal",1975,4785536
"Serbia",1975,8536301
"Seychelles",1975,57791
"Sierra Leone",1975,2845392
"Singapore",1975,2262444
"Slovak Republic",1975,4718093
"Slovenia",1975,1742004
"Solomon Islands",1975,192719
"Somalia",1975,4117971
"South Africa",1975,25698624
"South Sudan",1975,3505168
"Spain",1975,35738587
"Sri Lanka",1975,13810647
"Sudan",1975,13627096
"Suriname",1975,364497
"Swaziland",1975,517024
"Sweden",1975,8192569
"Switzerland",1975,6355947
"Syria",1975,7546139
"Taiwan",1975,16122000
"Tajikistan",1975,3441990
"Tanzania",1975,15977990
"Thailand",1975,42398941
"Timor-Leste",1975,662962
"Togo",1975,2379649
"Tokelau",1975,1575
"Tonga",1975,88343
"Trinidad and Tobago",1975,1008617
"Tunisia",1975,5667516
"Turkey",1975,39585821
"Turkmenistan",1975,2520002
"Turks and Caicos Islands",1975,6546
"Tuvalu",1975,7685
"Uganda",1975,10897136
"Ukraine",1975,49015998
"United Arab Emirates",1975,533554
"United Kingdom",1975,56234250
"United States",1975,219108358
"Uruguay",1975,2829391
"Uzbekistan",1975,13980997
"Wallis et Futuna",1975,9118
"Vanuatu",1975,99886
"Venezuela",1975,12681017
"West Bank and Gaza",1975,1322064
"Western Sahara",1975,74789
"Vietnam",1975,49895731
"Virgin Islands (U.S.)",1975,85790
"Yemen, Rep.",1975,6691425
"Zambia",1975,4900255
"Zimbabwe",1975,6170260
"Afghanistan",1976,13766792
"Albania",1976,2454255
"Algeria",1976,16533323
"American Samoa",1976,30305
"Andorra",1976,32156
"Angola",1976,6808850
"Anguilla",1976,6662
"Antigua and Barbuda",1976,69910
"Argentina",1976,26492716
"Armenia",1976,2882831
"Aruba",1976,60589
