Revenue Category,Revenue Item,variable,value
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.2015–16,2234.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.2015–16,0.0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.2015–16,284.0
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.2015–16,7493.0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.2015–16,719.0
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.2015–16,
Taxation Revenue,Personal Income Tax,2018 Revenue.Actual2016–17,30671.0
Taxation Revenue,Sales Taxes,2018 Revenue.Actual2016–17,24750.0
Taxation Revenue,Corporations Tax,2018 Revenue.Actual2016–17,14872.0
Taxation Revenue,Employer Health Tax,2018 Revenue.Actual2016–17,5908.0
Taxation Revenue,Ontario Health Premium,2018 Revenue.Actual2016–17,3575.0
Taxation Revenue,Gasoline Tax,2018 Revenue.Actual2016–17,2626.0
Taxation Revenue,Land Transfer Tax,2018 Revenue.Actual2016–17,2728.0
Taxation Revenue,Tobacco Tax,2018 Revenue.Actual2016–17,1230.0
Taxation Revenue,Fuel Tax,2018 Revenue.Actual2016–17,742.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.Actual2016–17,589.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.Actual2016–17,334.0
Taxation Revenue,Other Taxes,2018 Revenue.Actual2016–17,453.0
Government of Canada,Canada Health Transfer,2018 Revenue.Actual2016–17,13910.0
Government of Canada,Canada Social Transfer,2018 Revenue.Actual2016–17,5146.0
Government of Canada,Equalization,2018 Revenue.Actual2016–17,2304.0
Government of Canada,Infrastructure Programs,2018 Revenue.Actual2016–17,732.0
Government of Canada,Labour Market Programs,2018 Revenue.Actual2016–17,965.0
Government of Canada,Other Federal Payments,2018 Revenue.Actual2016–17,761.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.Actual2016–17,1727.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.Actual2016–17,983.0
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.Actual2016–17,763.0
Other Non-Tax Revenue,Reimbursements,2018 Revenue.Actual2016–17,988.0
Other Non-Tax Revenue,Royalties,2018 Revenue.Actual2016–17,272.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.Actual2016–17,838.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.Actual2016–17,0.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.Actual2016–17,621.0
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.Actual2016–17,1999.0
Taxation Revenue,Education Property Tax,2018 Revenue.Actual2016–17,5868.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.Actual2016–17,129.0
Government of Canada,Social Housing Agreement,2018 Revenue.Actual2016–17,441.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.Actual2016–17,2349.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.Actual2016–17,2358.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.Actual2016–17,0.0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.Actual2016–17,285.0
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.Actual2016–17,7957.0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.Actual2016–17,860.0
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.Actual2016–17,
Taxation Revenue,Personal Income Tax,2018 Revenue.Interim2017–18,32319.0
Taxation Revenue,Sales Taxes,2018 Revenue.Interim2017–18,25954.0
Taxation Revenue,Corporations Tax,2018 Revenue.Interim2017–18,15800.0
Taxation Revenue,Employer Health Tax,2018 Revenue.Interim2017–18,6184.0
Taxation Revenue,Ontario Health Premium,2018 Revenue.Interim2017–18,3679.0
Taxation Revenue,Gasoline Tax,2018 Revenue.Interim2017–18,2675.0
Taxation Revenue,Land Transfer Tax,2018 Revenue.Interim2017–18,3091.0
Taxation Revenue,Tobacco Tax,2018 Revenue.Interim2017–18,1251.0
Taxation Revenue,Fuel Tax,2018 Revenue.Interim2017–18,768.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.Interim2017–18,607.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.Interim2017–18,499.0
Taxation Revenue,Other Taxes,2018 Revenue.Interim2017–18,558.0
Government of Canada,Canada Health Transfer,2018 Revenue.Interim2017–18,14359.0
Government of Canada,Canada Social Transfer,2018 Revenue.Interim2017–18,5314.0
Government of Canada,Equalization,2018 Revenue.Interim2017–18,1424.0
Government of Canada,Infrastructure Programs,2018 Revenue.Interim2017–18,1533.0
Government of Canada,Labour Market Programs,2018 Revenue.Interim2017–18,969.0
Government of Canada,Other Federal Payments,2018 Revenue.Interim2017–18,1020.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.Interim2017–18,1962.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.Interim2017–18,1086.0
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.Interim2017–18,995.0
Other Non-Tax Revenue,Reimbursements,2018 Revenue.Interim2017–18,996.0
Other Non-Tax Revenue,Royalties,2018 Revenue.Interim2017–18,297.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.Interim2017–18,182.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.Interim2017–18,2395.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.Interim2017–18,604.0
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.Interim2017–18,2439.0
Taxation Revenue,Education Property Tax,2018 Revenue.Interim2017–18,5968.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.Interim2017–18,74.0
Government of Canada,Social Housing Agreement,2018 Revenue.Interim2017–18,412.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.Interim2017–18,2196.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.Interim2017–18,2509.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.Interim2017–18,0.0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.Interim2017–18,297.0
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.Interim2017–18,8283.0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.Interim2017–18,1445.0
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.Interim2017–18,
Taxation Revenue,Personal Income Tax,2018 Revenue.Plan2018–19,35612.0
Taxation Revenue,Sales Taxes,2018 Revenue.Plan2018–19,26808.0
Taxation Revenue,Corporations Tax,2018 Revenue.Plan2018–19,15137.0
Taxation Revenue,Employer Health Tax,2018 Revenue.Plan2018–19,6554.0
Taxation Revenue,Ontario Health Premium,2018 Revenue.Plan2018–19,3914.0
Taxation Revenue,Gasoline Tax,2018 Revenue.Plan2018–19,2699.0
Taxation Revenue,Land Transfer Tax,2018 Revenue.Plan2018–19,3142.0
Taxation Revenue,Tobacco Tax,2018 Revenue.Plan2018–19,1250.0
Taxation Revenue,Fuel Tax,2018 Revenue.Plan2018–19,784.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.Plan2018–19,638.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.Plan2018–19,369.0
Taxation Revenue,Other Taxes,2018 Revenue.Plan2018–19,563.0
Government of Canada,Canada Health Transfer,2018 Revenue.Plan2018–19,14934.0
Government of Canada,Canada Social Transfer,2018 Revenue.Plan2018–19,5486.0
Government of Canada,Equalization,2018 Revenue.Plan2018–19,963.0
Government of Canada,Infrastructure Programs,2018 Revenue.Plan2018–19,1703.0
Government of Canada,Labour Market Programs,2018 Revenue.Plan2018–19,998.0
Government of Canada,Other Federal Payments,2018 Revenue.Plan2018–19,1235.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.Plan2018–19,2003.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.Plan2018–19,1122.0
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.Plan2018–19,1003.0
Other Non-Tax Revenue,Reimbursements,2018 Revenue.Plan2018–19,995.0
Other Non-Tax Revenue,Royalties,2018 Revenue.Plan2018–19,295.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.Plan2018–19,183.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.Plan2018–19,1979.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.Plan2018–19,0.0
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.Plan2018–19,1409.0
Taxation Revenue,Education Property Tax,2018 Revenue.Plan2018–19,6076.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.Plan2018–19,41.0
Government of Canada,Social Housing Agreement,2018 Revenue.Plan2018–19,386.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.Plan2018–19,2234.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.Plan2018–19,2245.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.Plan2018–19,35.0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.Plan2018–19,301.0
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.Plan2018–19,8552.0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.Plan2018–19,853.0
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.Plan2018–19,
Taxation Revenue,Personal Income Tax,2017 Revenue.2014–15,29313.0
Taxation Revenue,Sales Taxes,2017 Revenue.2014–15,21689.0
Taxation Revenue,Corporations Tax,2017 Revenue.2014–15,9557.0
Taxation Revenue,Employer Health Tax,2017 Revenue.2014–15,5415.0
Taxation Revenue,Ontario Health Premium,2017 Revenue.2014–15,3366.0
Taxation Revenue,Gasoline Tax,2017 Revenue.2014–15,2447.0
Taxation Revenue,Land Transfer Tax,2017 Revenue.2014–15,1778.0
Taxation Revenue,Tobacco Tax,2017 Revenue.2014–15,1163.0
Taxation Revenue,Fuel Tax,2017 Revenue.2014–15,739.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.2014–15,560.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.2014–15,180.0
Taxation Revenue,Other Taxes,2017 Revenue.2014–15,507.0
Government of Canada,Canada Health Transfer,2017 Revenue.2014–15,12408.0
Government of Canada,Canada Social Transfer,2017 Revenue.2014–15,4847.0
Government of Canada,Equalization,2017 Revenue.2014–15,1988.0
Government of Canada,Infrastructure Programs,2017 Revenue.2014–15,137.0
Government of Canada,Labour Market Programs,2017 Revenue.2014–15,896.0
Government of Canada,Other Federal Payments,2017 Revenue.2014–15,874.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.2014–15,1433.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.2014–15,1196.0
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.2014–15,693.0
Other Non-Tax Revenue,Reimbursements,2017 Revenue.2014–15,985.0
Other Non-Tax Revenue,Royalties,2017 Revenue.2014–15,275.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.2014–15,950.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.2014–15,0.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.2014–15,956.0
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.2014–15,2336.0
Taxation Revenue,Education Property Tax,2017 Revenue.2014–15,5561.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.2014–15,217.0
Government of Canada,Social Housing Agreement,2017 Revenue.2014–15,465.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.2014–15,1831.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.2014–15,1995.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.2014–15,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.2014–15,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.2014–15,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.2014–15,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.2014–15,
Taxation Revenue,Personal Income Tax,2017 Revenue.Actual2015–16,31141.0
Taxation Revenue,Sales Taxes,2017 Revenue.Actual2015–16,23455.0
Taxation Revenue,Corporations Tax,2017 Revenue.Actual2015–16,11428.0
Taxation Revenue,Employer Health Tax,2017 Revenue.Actual2015–16,5649.0
Taxation Revenue,Ontario Health Premium,2017 Revenue.Actual2015–16,3453.0
Taxation Revenue,Gasoline Tax,2017 Revenue.Actual2015–16,2459.0
Taxation Revenue,Land Transfer Tax,2017 Revenue.Actual2015–16,2118.0
Taxation Revenue,Tobacco Tax,2017 Revenue.Actual2015–16,1226.0
Taxation Revenue,Fuel Tax,2017 Revenue.Actual2015–16,751.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.Actual2015–16,582.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.Actual2015–16,3247.0
Taxation Revenue,Other Taxes,2017 Revenue.Actual2015–16,470.0
Government of Canada,Canada Health Transfer,2017 Revenue.Actual2015–16,13089.0
Government of Canada,Canada Social Transfer,2017 Revenue.Actual2015–16,4984.0
Government of Canada,Equalization,2017 Revenue.Actual2015–16,2363.0
Government of Canada,Infrastructure Programs,2017 Revenue.Actual2015–16,146.0
Government of Canada,Labour Market Programs,2017 Revenue.Actual2015–16,927.0
Government of Canada,Other Federal Payments,2017 Revenue.Actual2015–16,893.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.Actual2015–16,1565.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.Actual2015–16,991.0
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.Actual2015–16,964.0
Other Non-Tax Revenue,Reimbursements,2017 Revenue.Actual2015–16,991.0
Other Non-Tax Revenue,Royalties,2017 Revenue.Actual2015–16,274.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.Actual2015–16,875.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.Actual2015–16,0.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.Actual2015–16,859.0
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.Actual2015–16,2102.0
Taxation Revenue,Education Property Tax,2017 Revenue.Actual2015–16,5839.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.Actual2015–16,172.0
Government of Canada,Social Housing Agreement,2017 Revenue.Actual2015–16,455.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.Actual2015–16,1956.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.Actual2015–16,2234.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.Actual2015–16,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.Actual2015–16,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.Actual2015–16,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.Actual2015–16,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.Actual2015–16,
Taxation Revenue,Personal Income Tax,2017 Revenue.Interim 2016–17,32884.0
Taxation Revenue,Sales Taxes,2017 Revenue.Interim 2016–17,24690.0
Taxation Revenue,Corporations Tax,2017 Revenue.Interim 2016–17,13346.0
Taxation Revenue,Employer Health Tax,2017 Revenue.Interim 2016–17,5882.0
Taxation Revenue,Ontario Health Premium,2017 Revenue.Interim 2016–17,3664.0
Taxation Revenue,Gasoline Tax,2017 Revenue.Interim 2016–17,2602.0
Taxation Revenue,Land Transfer Tax,2017 Revenue.Interim 2016–17,2688.0
Taxation Revenue,Tobacco Tax,2017 Revenue.Interim 2016–17,1247.0
Taxation Revenue,Fuel Tax,2017 Revenue.Interim 2016–17,736.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.Interim 2016–17,594.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.Interim 2016–17,373.0
Taxation Revenue,Other Taxes,2017 Revenue.Interim 2016–17,457.0
Government of Canada,Canada Health Transfer,2017 Revenue.Interim 2016–17,13910.0
Government of Canada,Canada Social Transfer,2017 Revenue.Interim 2016–17,5146.0
Government of Canada,Equalization,2017 Revenue.Interim 2016–17,2304.0
Government of Canada,Infrastructure Programs,2017 Revenue.Interim 2016–17,837.0
Government of Canada,Labour Market Programs,2017 Revenue.Interim 2016–17,974.0
Government of Canada,Other Federal Payments,2017 Revenue.Interim 2016–17,790.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.Interim 2016–17,1721.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.Interim 2016–17,1015.0
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.Interim 2016–17,1007.0
Other Non-Tax Revenue,Reimbursements,2017 Revenue.Interim 2016–17,979.0
Other Non-Tax Revenue,Royalties,2017 Revenue.Interim 2016–17,278.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.Interim 2016–17,739.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.Interim 2016–17,0.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.Interim 2016–17,625.0
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.Interim 2016–17,1980.0
Taxation Revenue,Education Property Tax,2017 Revenue.Interim 2016–17,5900.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.Interim 2016–17,129.0
Government of Canada,Social Housing Agreement,2017 Revenue.Interim 2016–17,434.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.Interim 2016–17,2321.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.Interim 2016–17,2134.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.Interim 2016–17,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.Interim 2016–17,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.Interim 2016–17,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.Interim 2016–17,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.Interim 2016–17,
Taxation Revenue,Personal Income Tax,2017 Revenue.Plan 2017–18,35032.0
Taxation Revenue,Sales Taxes,2017 Revenue.Plan 2017–18,26011.0
Taxation Revenue,Corporations Tax,2017 Revenue.Plan 2017–18,13817.0
Taxation Revenue,Employer Health Tax,2017 Revenue.Plan 2017–18,6117.0
Taxation Revenue,Ontario Health Premium,2017 Revenue.Plan 2017–18,3789.0
Taxation Revenue,Gasoline Tax,2017 Revenue.Plan 2017–18,2663.0
Taxation Revenue,Land Transfer Tax,2017 Revenue.Plan 2017–18,3139.0
Taxation Revenue,Tobacco Tax,2017 Revenue.Plan 2017–18,1291.0
Taxation Revenue,Fuel Tax,2017 Revenue.Plan 2017–18,746.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2017 Revenue.Plan 2017–18,619.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2017 Revenue.Plan 2017–18,405.0
Taxation Revenue,Other Taxes,2017 Revenue.Plan 2017–18,466.0
Government of Canada,Canada Health Transfer,2017 Revenue.Plan 2017–18,14340.0
Government of Canada,Canada Social Transfer,2017 Revenue.Plan 2017–18,5307.0
Government of Canada,Equalization,2017 Revenue.Plan 2017–18,1424.0
Government of Canada,Infrastructure Programs,2017 Revenue.Plan 2017–18,2328.0
Government of Canada,Labour Market Programs,2017 Revenue.Plan 2017–18,977.0
Government of Canada,Other Federal Payments,2017 Revenue.Plan 2017–18,893.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2017 Revenue.Plan 2017–18,1934.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2017 Revenue.Plan 2017–18,1044.0
Other Non-Tax Revenue,Other Fees and Licences,2017 Revenue.Plan 2017–18,984.0
Other Non-Tax Revenue,Reimbursements,2017 Revenue.Plan 2017–18,984.0
Other Non-Tax Revenue,Royalties,2017 Revenue.Plan 2017–18,265.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2017 Revenue.Plan 2017–18,292.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2017 Revenue.Plan 2017–18,1778.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2017 Revenue.Plan 2017–18,623.0
Other Non-Tax Revenue,Sales and Rentals,2017 Revenue.Plan 2017–18,3006.0
Taxation Revenue,Education Property Tax,2017 Revenue.Plan 2017–18,6002.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2017 Revenue.Plan 2017–18,74.0
Government of Canada,Social Housing Agreement,2017 Revenue.Plan 2017–18,412.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2017 Revenue.Plan 2017–18,2137.0
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2017 Revenue.Plan 2017–18,2134.0
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2017 Revenue.Plan 2017–18,
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2017 Revenue.Plan 2017–18,
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2017 Revenue.Plan 2017–18,
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2017 Revenue.Plan 2017–18,
Income from Government Business Enterprises,Ontario Cannabis Store,2017 Revenue.Plan 2017–18,
