2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,Seniors and Accessibility (Total),,,,Seniors and Accessibility (Total),,2019 Expenses.Actual 2017–18,48.0
,,Solicitor    General, COVID‑19 Time-Limited Funding34,,,Solicitor    General, COVID‑19 Time-Limited Funding34,2019 Expenses.Actual 2017–18,
,,Solicitor    General (Base),,,,Solicitor    General (Base),,2019 Expenses.Actual 2017–18,
,,Solicitor General (Total),,,,Solicitor General (Total),,2019 Expenses.Actual 2017–18,2792.0
,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,2019 Expenses.Actual 2017–18,6.0
,,Transportation, COVID‑19 Time-Limited Funding36,,,Transportation, COVID‑19 Time-Limited Funding36,2019 Expenses.Actual 2017–18,
,,Transportation, Federal–Provincial Infrastructure Programs,,,Transportation, Federal–Provincial Infrastructure Programs,2019 Expenses.Actual 2017–18,404.0
,,Transportation, Safe Restart Agreement,,,Transportation, Safe Restart Agreement,2019 Expenses.Actual 2017–18,
,,Transportation (Base),,Transportation (Base),,Transportation (Base),,2019 Expenses.Actual 2017–18,4118.0
,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,2019 Expenses.Actual 2017–18,
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,1631.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,1631.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,189.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,189.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,1631.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,189.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,189.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2019 Expenses.Actual 2017–18,1631.0
,,Executive Offices, Disaster Relief,Executive Offices, Disaster Relief,,,2019 Expenses.Actual 2017–18,
,,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,2019 Expenses.Actual 2017–18,1122.0
Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,,,2019 Expenses.Actual 2017–18,
Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,,,2019 Expenses.Actual 2017–18,
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2019 Expenses.Actual 2017–18,102.0
Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,2019 Expenses.Actual 2017–18,2041.0
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,,,2019 Expenses.Actual 2017–18,
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2019 Expenses.Actual 2017–18,16416.0
Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,,,2019 Expenses.Actual 2017–18,
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,,,2019 Expenses.Actual 2017–18,
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,,,2019 Expenses.Actual 2017–18,
Education (Total),,Education (Total),,Education (Total),,Education (Total),,2019 Expenses.Actual 2017–18,28958.0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,,,2019 Expenses.Actual 2017–18,
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,,,2019 Expenses.Actual 2017–18,
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2019 Expenses.Actual 2017–18,2834.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,4221.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2019 Expenses.Actual 2017–18,1387.0
Executive Offices,Time-Limited Assistance,Executive Offices, Time-Limited Assistance,,,Executive Offices, Time-Limited Assistance,2019 Expenses.Actual 2017–18,
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2019 Expenses.Actual 2017–18,48.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2019 Expenses.Actual 2017–18,48.0
Finance,Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,2019 Expenses.Actual 2017–18,506.0
Finance,Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,2019 Expenses.Actual 2017–18,191.0
Finance (Total),,Finance (Total),,Finance (Total),,Finance (Total),,2019 Expenses.Actual 2017–18,1567.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2019 Expenses.Actual 2017–18,795.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2019 Expenses.Actual 2017–18,795.0
Infrastructure,Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,2019 Expenses.Actual 2017–18,248.0
Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,2019 Expenses.Actual 2017–18,320.0
International Trade (Total),,International Trade (Total),,International Trade (Total),,,,2019 Expenses.Actual 2017–18,
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",,,2019 Expenses.Actual 2017–18,
Natural Resources and Forestry,Emergency Forest Firefighting,Natural Resources and Forestry, Emergency Forest Firefighting,,,Natural Resources and Forestry, Emergency Forest Firefighting,2019 Expenses.Actual 2017–18,117.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,781.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,664.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,781.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,781.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,781.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,664.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,664.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2019 Expenses.Actual 2017–18,664.0
Seniors Affairs (Total),,Seniors Affairs (Total),,Seniors Affairs (Total),,,,2019 Expenses.Actual 2017–18,
Status of Women (Total),,Status of Women (Total),,Status of Women (Total),,,,2019 Expenses.Actual 2017–18,
Total Expense,,Total Expense,,Total Expense,,Total Expense,,2019 Expenses.Actual 2017–18,154266.0
Transportation,Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,,,2019 Expenses.Actual 2017–18,
Transportation (Total),,Transportation (Total),,Transportation (Total),,Transportation (Total),,2019 Expenses.Actual 2017–18,4522.0
Treasury Board Secretariat,Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,2019 Expenses.Actual 2017–18,0.0
Treasury Board Secretariat,Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,2019 Expenses.Actual 2017–18,0.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,1631.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,189.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,189.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,1631.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,1631.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,189.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,189.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2019 Expenses.Actual 2017–18,1631.0
Treasury Board Secretariat,Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,Treasury Board Secretariat, Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,2019 Expenses.Actual 2017–18,1442.0
Board of Internal Economy1 (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,2019 Expenses.Actual 2017–18,303.0
Year-End Savings4,,Year-End Savings,,Year-End Savings2,,Year-End Savings,,2019 Expenses.Actual 2017–18,0.0
Education,Teachers’ Pension Plan2,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,2019 Expenses.Actual 2017–18,1659.0
Municipal Affairs / Housing,Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Municipal Affairs/Housing, Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,2019 Expenses.Actual 2017–18,334.0
Interest on Debt3,,Interest on Debt18,,Interest on Debt1,,Interest on Debt18,,2019 Expenses.Actual 2017–18,11903.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2019 Expenses.Actual 2017–18,1041.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2019 Expenses.Actual 2017–18,1375.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2019 Expenses.Actual 2017–18,1041.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2019 Expenses.Actual 2017–18,1375.0
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,,,2019 Expenses.Actual 2017–18,
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2019 Expenses.Actual 2017–18,904.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2019 Expenses.Actual 2017–18,1006.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,904.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,1006.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,904.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,904.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,1006.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,1006.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,904.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2019 Expenses.Actual 2017–18,1006.0
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Base),,Community Safety and Correctional Services (Base),,,,2019 Expenses.Actual 2017–18,
Government and Consumer Services (Total),,Government and Consumer Services, Realty,Government and Consumer Services (Total),,Government and Consumer Services, Realty,2019 Expenses.Actual 2017–18,795.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2019 Expenses.Actual 2017–18,795.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2019 Expenses.Actual 2017–18,795.0
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",,,,,,,2019 Expenses.Actual 2017–18,
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,,,,,,,2019 Expenses.Actual 2017–18,
"Children, Community and Social Services",Community and Social Services (Base),,,,,,,2019 Expenses.Actual 2017–18,
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),,,,,,,2019 Expenses.Actual 2017–18,
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",,,,,,,2019 Expenses.Actual 2017–18,
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
"Economic Development and Growth / Research, Innovation and Science (Total)",,,,,,,,2019 Expenses.Actual 2017–18,
Education,Education (Base),,,,,,,2019 Expenses.Actual 2017–18,
"Energy, Northern Development and Mines",Energy (Base),,,,,,,2019 Expenses.Actual 2017–18,
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
Environment and Climate Change,Environment and Climate Change (Base),,,,,,,2019 Expenses.Actual 2017–18,
Environment and Climate Change,Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
Environment and Climate Change (Total),,,,,,,,2019 Expenses.Actual 2017–18,
Executive Offices,Executive Offices (Base),,,,,,,2019 Expenses.Actual 2017–18,
Finance,Finance (Base),,,,,,,2019 Expenses.Actual 2017–18,
"Francophone Affairs, Office of (Total)",,,,,,,,2019 Expenses.Actual 2017–18,
Health and Long-Term Care,Health and Long-Term Care (Base),,,,,,,2019 Expenses.Actual 2017–18,
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,,,,,,,2019 Expenses.Actual 2017–18,
Health and Long-Term Care (Total),,,,,,,,2019 Expenses.Actual 2017–18,
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),,,,,,,2019 Expenses.Actual 2017–18,
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,,,,,,,2019 Expenses.Actual 2017–18,
Indigenous Relations and Reconciliation (Total),,,,,,,,2019 Expenses.Actual 2017–18,
Infrastructure,Infrastructure (Base),,,,,,,2019 Expenses.Actual 2017–18,
Labour (Total),,,,,,,,2019 Expenses.Actual 2017–18,
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),,,,,,,2019 Expenses.Actual 2017–18,
Municipal Affairs / Housing,Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
Natural Resources and Forestry,Natural Resources and Forestry (Base),,,,,,,2019 Expenses.Actual 2017–18,
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",,,,,,,2019 Expenses.Actual 2017–18,
"Tourism, Culture and Sport (Total)",,,,,,,,2019 Expenses.Actual 2017–18,
Transportation,Transportation (Base),,,,,,,2019 Expenses.Actual 2017–18,
Transportation,Green Investment Fund Initiatives,,,,,,,2019 Expenses.Actual 2017–18,
Treasury Board Secretariat,Treasury Board Secretariat (Base),,,,,,,2019 Expenses.Actual 2017–18,
,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,2019 Expenses.Interim22018–19,
,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,2019 Expenses.Interim22018–19,
,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,2019 Expenses.Interim22018–19,
,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,2019 Expenses.Interim22018–19,
,,Attorney General, COVID‑19 Time-Limited Funding7,,,Attorney General, COVID‑19 Time-Limited Funding7,2019 Expenses.Interim22018–19,
,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",2019 Expenses.Interim22018–19,
,,Attorney General (Base),,,,Attorney General (Base),,2019 Expenses.Interim22018–19,2088.0
,,COVID‑19 Health Response21,,,,COVID‑19 Health Response21,,2019 Expenses.Interim22018–19,
,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,2019 Expenses.Interim22018–19,
,,Children and Youth Services (Total),,Children and Youth Services (Total),,,,2019 Expenses.Interim22018–19,
,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,2019 Expenses.Interim22018–19,
,,Colleges and Universities, COVID‑19 Time-Limited Funding9,,,Colleges and Universities, COVID‑19 Time-Limited Funding9,2019 Expenses.Interim22018–19,
,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,2019 Expenses.Interim22018–19,114.0
,,Colleges and Universities, Student Financial Assistance,,,Colleges and Universities, Student Financial Assistance,2019 Expenses.Interim22018–19,2043.0
,,Colleges and Universities (Base),,,,Colleges and Universities (Base),,2019 Expenses.Interim22018–19,9951.0
,,Colleges and Universities6 (Total),,,,Colleges and Universities6 (Total),,2019 Expenses.Interim22018–19,12108.0
,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,2019 Expenses.Interim22018–19,
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,2019 Expenses.Interim22018–19,968.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,2019 Expenses.Interim22018–19,968.0
,,Education, COVID‑19 Time-Limited Funding12,,,Education, COVID‑19 Time-Limited Funding12,2019 Expenses.Interim22018–19,
,,Education (Base),,Education (Base),,Education (Base),,2019 Expenses.Interim22018–19,29080.0
,,Emergency Forest Firefighting,,Emergency Forest Firefighting,,,,2019 Expenses.Interim22018–19,
,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,2019 Expenses.Interim22018–19,
,,"Energy, Northern Development and Mines    (Base)13",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines    (Base)13",,2019 Expenses.Interim22018–19,
,,"Energy, Northern Development and Mines (Base)8",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Base)8",,2019 Expenses.Interim22018–19,1458.0
