ID,School Name,URL Address,Address,Postal Code,Telephone Number,FAX Number,Email Address,MRT,BUS,Principal Name,Region,Zone,Type Of schools,Nature Of schools,Sessions,Level Of Schools,SAP,Autonomous,Gifted Education Programme,Integrated Programme,Mother Tongue Chinese,Mother Tongue Malay,Mother Tongue Tamil
116,"GONGSHANG PRIMARY SCHOOL","http://www.gongshangpri.moe.edu.sg","1    TAMPINES STREET 42",529176,67831191,67880004,"GSPS@MOE.EDU.SG","Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line)","4, 8, 18, 19, 21, 37, 38, 81, 293","MDM LIM TZYY SHIUAN","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
193,"NORTH VISTA PRIMARY SCHOOL","http://www.northvistapri.moe.edu.sg","20   Compassvale Link",544974,64843566,64843568,"nvtps@moe.edu.sg","Buangkok MRT (NE15), Ranggung LRT (SE5)","na","MR ONG LYE WHATT","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
206,"PALM VIEW PRIMARY SCHOOL","http://www.palmviewpri.moe.edu.sg","150  Compassvale Bow",544822,65087300,68754150,"palmview_ps@moe.edu.sg","Buangkok","27,43,109,156,159,161,163,163M,550","MRS MING KUM","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
301,"UNITY PRIMARY SCHOOL","http://www.unitypri.moe.edu.sg","21   CHOA CHU KANG CRESCENT",688268,67676750,67676751,"UNITY_PS@MOE.EDU.SG","YEW TEE MRT","TIBs 302","MRS LEE-KOH SIEW CHENG","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
303,"VALOUR PRIMARY SCHOOL","valourpri.moe.edu.sg","49   Punggol Central",828728,62426390,,"valour_ps@moe.edu.sg","na","na","MRS CHARIS WONG","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
335,"YU NENG PRIMARY SCHOOL","http://www.ynps.moe.edu.sg/","56   BEDOK NORTH ST 3",469623,64490121,64498564,"YNPS@MOE.EDU.SG","Bedok MRT Station (East-West Line), Bedok Reservoir MRT STation (Downtown line)","14, 17, 18, 28, 66, 67, 69, 225","MR NG YEOW LING","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
339,"YUMIN PRIMARY SCHOOL","http://www.yuminpri.moe.edu.sg","3    TAMPINES STREET 21",529393,67811262,67845554,"YUMIN_PS@MOE.EDU.SG","Tampines MRT Station","na","MDM CHILUKURI DIMPS RAO","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
126,"HENRY PARK PRIMARY SCHOOL","http://www.henryparkpri.moe.edu.sg","1    HOLLAND GROVE ROAD",278790,64663600,64691840,"HPPS@MOE.EDU.SG","Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92","MR KOH CHIN THONG, MARTIN","BUKIT TIMAH","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","Yes","No","Chinese","Malay","Tamil"
246,"ROSYTH SCHOOL","https://www.rosyth.moe.edu.sg","21   Serangoon North Avenue 4",555855,64812273,64831102,"rosyth_sch@schools.gov.sg","Ang Mo Kio, Serangoon","73, 315, 116","MDM ELIS TAN LEE CHING","SERANGOON","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","Yes","No","Chinese","Malay","Tamil"
151,"KENT RIDGE SECONDARY SCHOOL","http://www.kentridgesec.moe.edu.sg","147  WEST COAST ROAD",127368,67731127,67735119,"KRSS@MOE.EDU.SG","CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282","MR KEH CHIN CHUAN BENEDICT","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","na"
265,"SPRINGFIELD SECONDARY SCHOOL","http://www.springfieldsec.moe.edu.sg","30   TAMPINES AVENUE 8",529593,63183053,63183050,"SPRINGFIELDS@MOE.EDU.SG","TAMPINES MRT, TAMPINES WEST MRT","8, 15, 23, 58, 69, 118, 129, 291, 293, 298, 513, 518","MRS MABEL LEONG","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","na"
346,"ZHONGHUA SECONDARY SCHOOL","http://www.zhonghuasec.moe.edu.sg","13   SERANGOON AVENUE 3",556123,62824339,62823472,"ZHONGHUA_SS@MOE.EDU.SG","SERANGOON MRT","22, 43, 45, 53, 58, 70, 81, 82, 100, 101, 103, 105, 107, 109, 133, 135, 147, 153, 158, 315, 317, 853","MISS LOW SHIOK CHENG CINDY","SERANGOON","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","na"
9,"ANDERSON SECONDARY SCHOOL","http://www.andersonsec.moe.edu.sg","10   ANG MO KIO STREET 53",569206,64598303,64586104,"anderson_ss@moe.edu.sg","ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72","MDM THONG MAY TENG","ANG MO KIO","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
38,"BUKIT PANJANG GOVT. HIGH SCHOOL","http://www.bpghs.moe.edu.sg","7    CHOA CHU KANG AVE 4",689809,67691031,67626576,"BPGHS@MOE.EDU.SG","CHOA CHU KANG MRT","300, 983","MR CHUA LEK HONG","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
74,"COMMONWEALTH SECONDARY SCHOOL","http://www.commonwealthsec.moe.edu.sg","698  WEST COAST ROAD",608784,65606866,65645204,"cwss@moe.edu.sg","JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201","MR NG BOON KIAT","JURONG EAST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
88,"DUNMAN SECONDARY SCHOOL","http://www.dunmansec.moe.edu.sg","21   TAMPINES STREET 45",529093,67862668,67842164,"DUNMAN_SS@MOE.EDU.SG","TAMPINES EAST MRT","28, 29, 293","MR TOH THIAM CHYE","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
291,"TANJONG KATONG SECONDARY SCHOOL","http://www.tanjongkatongsec.moe.edu.sg","130  HAIG ROAD",438796,63443471,64409624,"tkss@moe.edu.sg","PAYA LEBAR MRT, DAKOTA MRT","10, 16, 31, 32, 33, 40, 76, 135, 197","MRS DOLLY ONG KIM LENG","MARINE PARADE","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
299,"TEMASEK SECONDARY SCHOOL","https://temaseksec.moe.edu.sg","600  UPPER EAST COAST ROAD",465561,64495020,64491450,"temasek_ss@moe.edu.sg","BEDOK MRT, TANAH MERAH MRT","10, 10E, 13, 14, 25, 43, 46, 55, 137, 229, 506, 531, 853","MS LEAH AW","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
325,"XINMIN SECONDARY SCHOOL","http://www.xinminsec.moe.edu.sg","11   HOUGANG AVENUE 8",538789,62889382,63851068,"xinminss_email@schools.gov.sg","Hougang MRT","25, 43, 43M, 55, 70, 70A, 70B, 70M, 72, 72A, 73, 73A, 74, 74E, 88, 88A, 103, 109, 109A, 112, 116, 132, 147, 159, 159A, 161, 165, 329, 660, 854, 854E","MR TAN KUO CHEANG","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
334,"YISHUN TOWN SECONDARY SCHOOL","http://www.yishuntownsec.moe.edu.sg","6    YISHUN STREET 21",768610,67587219,67559112,"YTSS@MOE.EDU.SG","YISHUN MRT","39, 85, 171, 800, 803, 804, 806, 811, 812, 851, 852, 853, 853C, 854, 854E, 855, 856, 857, 859, 860","MR NG TEO HENG","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil"
2,"ADMIRALTY SECONDARY SCHOOL","http://www.admiraltysec.moe.edu.sg","31   WOODLANDS CRESCENT",737916,63651733,63652774,"Admiralty_SS@moe.edu.sg","ADMIRALTY MRT","","MR LAM YUI- P'NG","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
4,"AHMAD IBRAHIM SECONDARY SCHOOL","http://www.ahmadibrahimsec.moe.edu.sg","751  YISHUN AVENUE 7",768928,67585384,67557778,"aiss@moe.edu.sg","CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980","MISS TAN KE XIN","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
12,"ANG MO KIO SECONDARY SCHOOL","http://www.angmokiosec.moe.edu.sg","6    ANG MO KIO STREET 22",569362,64548605,64582425,"AMKSS@MOE.EDU.SG","ANG MO KIO MRT","13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852","MR SHAW SWEE TAT","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
22,"BARTLEY SECONDARY SCHOOL","http://www.bartleysec.moe.edu.sg","10   JALAN BUNGA RAMPAI",538403,62889013,62805595,"bartley_ss@moe.edu.sg","BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158","MR MOHD AZHAR B TERIMO","TOA PAYOH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
24,"BEATTY SECONDARY SCHOOL","http://www.beattysec.moe.edu.sg","1    TOA PAYOH NORTH",318990,62569108,62542284,"BEATTY_SS@MOE.EDU.SG","BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232","MR LING KHOON CHOW","TOA PAYOH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
26,"BEDOK GREEN SECONDARY SCHOOL","http://www.bedokgreensec.moe.edu.sg","360  BEDOK NORTH AVE 3",469722,64463301,64465969,"BGSS@MOE.EDU.SG","BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506","MR BOY ENG SENG","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
27,"BEDOK SOUTH SECONDARY SCHOOL","http://www.bedoksouthsec.moe.edu.sg","1    JALAN LANGGAR BEDOK",468585,64414479,64491314,"bsss@moe.edu.sg","TANAH MERAH MRT","10, 14, 45","MR TEOH TEIK HOE","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
28,"BEDOK VIEW SECONDARY SCHOOL","http://www.bedokviewsec.moe.edu.sg","6    BEDOK SOUTH AVENUE 3",469293,64430563,64494286,"bedokview_ss@moe.edu.sg","TANAH MERAH MRT","2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506","MDM TEO YVONNE","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
30,"BENDEMEER SECONDARY SCHOOL","http://www.bendemeersec.moe.edu.sg","1    ST WILFRED ROAD",327919,62927616,62932594,"BENDEMEER_SS@MOE.EDU.SG","BOON KENG MRT","13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985","MR CHEN FOOK PANG","KALLANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
33,"BOON LAY SECONDARY SCHOOL","https://www.boonlaysec.moe.edu.sg","11   JURONG WEST STREET 65",648354,67940161,67941324,"BLSS@MOE.EDU.SG","BOON LAY MRT","99, 181, 192, 193, 242, 243, 257, 502, 502A","MR INDERJIT SINGH","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
34,"BOWEN SECONDARY SCHOOL","http://www.bowensec.moe.edu.sg","2    LORONG NAPIRI",547529,63859466,63856559,"BOWEN_SS@MOE.EDU.SG","HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55","MR LIU EARNLER","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
35,"BROADRICK SECONDARY SCHOOL","http://www.broadricksec.moe.edu.sg","61   DAKOTA CRESCENT",399935,63445025,64471427,"BROADRICK_SS@MOE.EDU.SG","DAKOTA MRT","10, 16, 30, 31, 32, 33","MDM TAN LAY HONG","GEYLANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
36,"BUKIT BATOK SECONDARY SCHOOL","http://www.bukitbatoksec.moe.edu.sg","50   BUKIT BATOK WEST AVE 8",658962,65663121,65607006,"bbss@moe.edu.sg","BUKIT BATOK MRT","66, 66B, 157, 174, 174E, 178, 506, 941, 991","MR PHUA HUAT CHUAN","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
37,"BUKIT MERAH SECONDARY SCHOOL","http://www.bukitmerahsec.moe.edu.sg","10   LENGKOK BAHRU",159050,64748934,64744122,"bmss@moe.edu.sg","REDHILL MRT","14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961","MR CHENG GHEE HOCK TIMOTHY","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
42,"BUKIT VIEW SECONDARY SCHOOL","https://www.bukitviewsec.moe.edu.sg","16   BUKIT BATOK STREET 21",659633,65661990,65630945,"BUKITVIEW_SS@MOE.EDU.SG","BUKIT BATOK MRT","61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990","MR KEVIN ANG","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
44,"CANBERRA SECONDARY SCHOOL","https://canberrasec.moe.edu.sg","51   SEMBAWANG DRIVE",757699,67585070,67583110,"CANBERRA_SS@MOE.EDU.SG","SEMBAWANG MRT","859, 962","MR NG TIONG NAM","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
52,"CHANGKAT CHANGI SECONDARY SCHOOL","http://www.changkatchangisec.moe.edu.sg","23   SIMEI ST 3",529894,67859790,67868481,"CHANGKATCHGI@MOE.EDU.SG","SIMEI MRT","5, 9, 20, 38","MR HO MING DA","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
69,"CHUA CHU KANG SECONDARY SCHOOL","http://www.chuachukangsec.moe.edu.sg","3    TECK WHYE CRESCENT",688845,67655228,67636807,"CCKSS@MOE.EDU.SG","CHOA CHU KANG MRT","190, 307, 975, 982E, 985","MDM ONG LIANG FUNG","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
73,"CLEMENTI TOWN SECONDARY SCHOOL","http://www.clementitownsec.moe.edu.sg","10   CLEMENTI AVE 3",129904,67777362,67789543,"ctss@moe.edu.sg","CLEMENTI MRT","14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99","MDM LEE CHING GUAN HELEN","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
76,"COMPASSVALE SECONDARY SCHOOL","http://www.compassvalesec.moe.edu.sg","51   COMPASSVALE CRESCENT",545083,68815047,68815998,"CVSS@MOE.EDU.SG","SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965","MR CHIA CHOR YANN","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
82,"DAMAI SECONDARY SCHOOL","http://www.damaisec.moe.edu.sg","4800 BEDOK RESERVOIR ROAD",479229,64436848,64425629,"damai_ss@moe.edu.sg","BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18","MDM CHAN WAN SIONG","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
85,"DEYI SECONDARY SCHOOL","http://www.deyisec.moe.edu.sg","1    ANG MO KIO STREET 42",569277,64561565,64583364,"DEYI_SS@MOE.EDU.SG","ANG MO KIO MRT","22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853","MRS LIM AI POO","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
86,"DUNEARN SECONDARY SCHOOL","http://www.dunearnsec.moe.edu.sg","21   BUKIT BATOK WEST AVENUE 2",659204,65653692,65668650,"DUNEARN_SS@MOE.EDU.SG","BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985","MDM TAN MIAO LING","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
90,"EAST SPRING SECONDARY SCHOOL","http://www.eastspringsec.moe.edu.sg","30   TAMPINES STREET 34",529231,65873805,65873804,"esss@moe.edu.sg","TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518","MISS HO SUSIE","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
92,"EDGEFIELD SECONDARY SCHOOL","http://www.edgefieldsec.moe.edu.sg","36   PUNGGOL FIELD",828814,68839511,63153120,"edgefield_ss@moe.edu.sg","Punggol MRT","3, 34, 62, 82, 83, 119, 136, 381, 382G","MR LEE PECK PING","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
98,"EVERGREEN SECONDARY SCHOOL","http://www.evergreensec.moe.edu.sg","11   WOODLANDS STREET 83",738489,63656392,63658083,"EVERGREEN_SS@MOE.EDU.SG","WOODLANDS MRT","","MR TOH KIM YONG VINCENT","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
101,"FAJAR SECONDARY SCHOOL","http://www.fajarsec.moe.edu.sg","31   GANGSA ROAD",678972,67691491,67633025,"FAJAR_SS@MOE.EDU.SG","BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 976, 979","MISS HO SOOK FUN DORIS","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
109,"FUCHUN SECONDARY SCHOOL","http://www.fuchunsec.moe.edu.sg","21   WOODLANDS AVENUE 1",739062,63681984,63670180,"fcss@moe.edu.sg","MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 925M, 926, 950, 960, 960E, 961, 961M, 963, 963E, 963R, 966, 912B, 912M","MDM ONG BEE LIAN DORIS","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
111,"FUHUA SECONDARY SCHOOL","http://www.fuhuasec.moe.edu.sg","5    JURONG WEST STREET 41",649410,65633067,65634379,"FHSS@MOE.EDU.SG","CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657","MISS FOONG LAI LEONG","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
113,"GAN ENG SENG SCHOOL","http://www.ganengsengsch.moe.edu.sg","1    HENDERSON ROAD",159561,64745594,64732479,"GESS@MOE.EDU.SG","REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970","MISS TAN HWEE PIN","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
118,"GREENDALE SECONDARY SCHOOL","http://www.greendalesec.moe.edu.sg","51   EDGEDALE PLAINS",828866,63158616,63158420,"greendale_ss@moe.edu.sg","PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386","MISS NG AMY","PUNGGOL","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
120,"GREENRIDGE SECONDARY SCHOOL","http://www.greenridgesec.moe.edu.sg","32   BUKIT PANJANG RING ROAD",679938,67601052,67628334,"gss@moe.edu.sg","BANGKIT LRT","722, 920, 922, 971, 972, 972M, 976","MDM KOH HOON CHOO JESSIE","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
123,"GUANGYANG SECONDARY SCHOOL","http://guangyangsec.moe.edu.sg","8    BISHAN STREET 12",579807,62589781,63543108,"gyss@moe.edu.sg","Bishan MRT","13, 56, 57, 59, 71, 88, 93, 157, 163, 410","MR LIM HOCK CHUAN ALVIN","BISHAN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
127,"HILLGROVE SECONDARY SCHOOL","http://www.hillgrovesec.moe.edu.sg","10   BUKIT BATOK STREET 52",659250,65603726,65630920,"HILLGROVE_SS@MOE.EDU.SG","BUKIT BATOK MRT, BUKIT GOMBAK MRT","176, 985, 945","MDM ONG HUI MIIN ANGELINE","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
133,"HOUGANG SECONDARY SCHOOL","http://www.hougangsec.moe.edu.sg","2    HOUGANG STREET 93",534256,63851990,63852015,"HOUGANG_SS@MOE.EDU.SG","HOUGANG MRT, BUANGKOK MRT","43, 88, 101, 109, 156, 159, 161, 325, 329","MR ARIVAZHAGAN MANICKAM","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
134,"HUA YI SECONDARY SCHOOL","http://www.huayisec.moe.edu.sg","60   JURONG WEST ST 42",649371,65634568,65634505,"HYSS@MOE.EDU.SG","LAKESIDE MRT, CHINESE GARDEN MRT","49, 98, 98B, 98M, 99, 157, 185, 187, 198, 198A, 334, 335, 502","MISS GWEE SU PIN SANDRA","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
141,"JUNYUAN SECONDARY SCHOOL","http://www.junyuansec.moe.edu.sg","11   TAMPINES STREET 84",528933,65873683,65873682,"JUNYUAN_SS@MOE.EDU.SG","TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293","MR MOHAMED RAZALI B ABDUL HAMED","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
144,"JURONG SECONDARY SCHOOL","http://www.jurongsec.moe.edu.sg","31   YUAN CHING ROAD",618652,62655980,62686414,"JURONG_SS@MOE.EDU.SG","LAKESIDE MRT","30, 49, 98, 98A, 154, 240, 246","MDM TAY SU- CHIN (ZHENG SUZHEN)","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
146,"JURONG WEST SECONDARY SCHOOL","http://www.jurongwestsec.moe.edu.sg","61   JURONG WEST STREET 65",648348,62623593,62623587,"JWSS@MOE.EDU.SG","BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242","MR MICHAEL MUHUNTHAN S/O SUBRAMANIAM","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
147,"JURONGVILLE SECONDARY SCHOOL","http://www.jurongvillesec.moe.edu.sg","202  JURONG EAST AVENUE 1",609790,65638704,65662137,"JURONGVILLE@MOE.EDU.SG","JURONG EAST MRT, CHINESE GARDEN MRT","98, 98M, 99, 157, 185, 187, 198, 334, 502","MR CHAN YEW WOOI","JURONG EAST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil"
