RheologyParameters,Value,Depth meter,FormationName,Lithology,HoleSize inch,WellName
"YP lbs/100 sq.ft",10,280,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",2,280,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",3,280,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",720,280,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",200,280,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",12,280,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,280,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,280,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,280,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,280,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",71,290,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",42,290,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",8,290,"Gachsaran7","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",14,290,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",2,290,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",3,290,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",720,290,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",200,290,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",12,290,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,290,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,290,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,290,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,290,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",71,333,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",43,333,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",12,333,"Gachsaran7","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",15,333,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",3,333,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",5,333,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",840,333,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",206,333,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",13,333,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,333,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,333,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,333,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,333,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",71,368,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",42,368,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",11,368,"Gachsaran7","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",14,368,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",3,368,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",5,368,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",840,368,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",206,368,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",13,368,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,368,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,368,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,368,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,368,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",71,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",43,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",12,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",15,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",3,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",5,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",960,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",206,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",13,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",65,0,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",45,0,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,0,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",18,0,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",3,0,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",5,0,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,0,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,0,"Mishan","GrayMarl",36,"WellB"
"pH",10.5,0,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",98,0,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",2,0,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",65,35,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",75,35,"Mishan","GrayMarl",36,"WellB"
"PV cp",9,35,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",27,35,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",22,35,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",24,35,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,35,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,35,"Mishan","GrayMarl",36,"WellB"
"pH",10.5,35,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",98,35,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",2,35,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,89,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",70,89,"Mishan","GrayMarl",36,"WellB"
"PV cp",9,89,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",23,89,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",22,89,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",24,89,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,89,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,89,"Mishan","GrayMarl",36,"WellB"
"pH",10.5,89,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,89,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,89,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",70,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",8,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",22,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",22,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",10.5,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",70,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",8,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",23,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",22,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",10.6,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",22,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",10.6,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",18,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",10.7,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",66,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",11,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",67,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",11,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",67,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",11,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",67,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",11,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
"MudWeight pcf",67,107,"Mishan","GrayMarl",36,"WellB"
"FunnelViscosity spq",55,107,"Mishan","GrayMarl",36,"WellB"
"PV cp",7,107,"Mishan","GrayMarl",36,"WellB"
"YP lbs/100 sq.ft",20,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10sec",16,107,"Mishan","GrayMarl",36,"WellB"
"Gel 10min",18,107,"Mishan","GrayMarl",36,"WellB"
"TotalHardness ppm",600,107,"Mishan","GrayMarl",36,"WellB"
"Salinity*1000 ppm",3.3,107,"Mishan","GrayMarl",36,"WellB"
"pH",11,107,"Mishan","GrayMarl",36,"WellB"
"WaterVolume %",96,107,"Mishan","GrayMarl",36,"WellB"
"SolidVolume %",4,107,"Mishan","GrayMarl",36,"WellB"
