FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,Data Criacao,Hora Criacao,Data Conclusao,Hora Conclusao,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,FK_dim_Situacao
"2020.7-486.34",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 17:34:39.000,2020-08-24 00:00:00.000,1899-12-30 19:36:32.000,,4,2,1,19,15,1,1,,"",-1,"",,,1
"2020.7-34.550",0,0,0,21600,2020-07-27 00:00:00.000,1899-12-30 20:29:56.000,2020-08-24 00:00:00.000,1899-12-30 18:47:51.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.550",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 18:48:21.000,2020-08-24 00:00:00.000,1899-12-30 18:53:08.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.553",0,0,1,21600,2020-07-29 00:00:00.000,1899-12-30 19:52:39.000,2020-08-03 00:00:00.000,1899-12-30 20:52:15.000,,4,2,1,13,16,1,1,,"",-1,"",,,1
"2020.7-34.553",0,0,1,21600,2020-08-03 00:00:00.000,1899-12-30 20:52:26.000,2020-08-03 00:00:00.000,1899-12-30 21:07:15.000,,4,2,1,13,15,1,1,,"",-1,"",,,1
"2020.7-489.32",0,0,0,21600,2020-07-17 00:00:00.000,1899-12-30 04:25:31.000,2020-07-17 00:00:00.000,1899-12-30 13:08:13.000,,1,2,1,10,1,1,1,,"",-1,"",,,1
"2020.7-489.32",0,1,0,21600,2020-07-17 00:00:00.000,1899-12-30 13:08:44.000,2020-07-22 00:00:00.000,1899-12-30 20:19:52.000,,1,2,1,9,10,1,1,,"",-1,"",,,1
"2020.7-487.32",1,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 20:15:03.000,2020-07-14 00:00:00.000,1899-12-30 21:00:43.000,,1,2,1,12,1,1,1,,"",-1,"",,,2
"2020.7-487.32",0,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 21:44:18.000,2020-07-14 00:00:00.000,1899-12-30 22:16:45.000,,1,2,1,10,1,1,1,,"",-1,"",,,2
"2020.7-487.32",1,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 22:17:13.000,2020-07-15 00:00:00.000,1899-12-30 20:38:00.000,,1,2,1,12,1,1,1,,"",-1,"",,,2
"2020.7-487.32",1,0,0,21600,2020-07-15 00:00:00.000,1899-12-30 20:39:20.000,2020-07-15 00:00:00.000,1899-12-30 22:25:06.000,,1,2,1,12,1,1,1,,"",-1,"",,,2
"2020.7-487.32",0,0,0,21600,2020-07-17 00:00:00.000,1899-12-30 01:22:33.000,2020-07-17 00:00:00.000,1899-12-30 01:24:36.000,,1,2,1,10,1,1,1,,"",-1,"",,,2
"2020.7-487.32",0,1,0,21600,2020-07-17 00:00:00.000,1899-12-30 01:30:26.000,2020-07-22 00:00:00.000,1899-12-30 20:17:47.000,,1,2,1,8,20,1,1,,"",-1,"",,,2
"2020.7-518.34",0,0,0,21600,2020-07-22 00:00:00.000,1899-12-30 17:56:30.000,2020-08-24 00:00:00.000,1899-12-30 14:32:13.000,,4,2,1,18,15,1,1,,"",-1,"",,,1
"2020.7-518.34",1,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 14:32:57.000,2020-08-24 00:00:00.000,1899-12-30 17:32:01.000,,4,2,1,12,15,1,1,,"",-1,"",,,1
"2020.7-521.32",0,1,0,21600,2020-07-22 00:00:00.000,1899-12-30 20:34:48.000,2020-07-22 00:00:00.000,1899-12-30 20:47:36.000,,1,2,1,8,20,1,1,,"",-1,"",,,3
"2020.7-527.32",0,1,0,21600,2020-07-23 00:00:00.000,1899-12-30 20:53:13.000,2020-08-24 00:00:00.000,1899-12-30 19:43:09.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.7-527.32",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:43:31.000,2020-11-24 00:00:00.000,1899-12-30 20:38:18.000,,1,2,1,11,2,1,1,,"",-1,"",,,1
"2020.7-528.32",1,0,0,21600,2020-07-23 00:00:00.000,1899-12-30 21:12:17.000,2020-08-24 00:00:00.000,1899-12-30 19:44:18.000,,1,2,1,12,1,1,1,,"",-1,"",,,3
"2020.7-533.32",1,0,0,21600,2020-07-24 00:00:00.000,1899-12-30 14:29:22.000,2020-09-09 00:00:00.000,1899-12-30 18:46:20.000,,1,2,1,12,1,1,1,,"",-1,"",,,1
"2020.8-32.576",0,0,0,21600,2020-08-03 00:00:00.000,1899-12-30 21:41:53.000,2020-11-24 00:00:00.000,1899-12-30 20:19:54.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.8-32.577",0,0,0,21600,2020-08-31 00:00:00.000,1899-12-30 17:50:00.000,2020-09-01 00:00:00.000,1899-12-30 19:50:02.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.8-32.578",0,0,0,21600,2020-08-31 00:00:00.000,1899-12-30 18:02:04.000,2020-09-02 00:00:00.000,1899-12-30 14:08:43.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.8-32.579",0,0,0,21600,2020-08-31 00:00:00.000,1899-12-30 19:03:06.000,2020-09-01 00:00:00.000,1899-12-30 19:45:51.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.580",0,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 17:05:34.000,2020-09-03 00:00:00.000,1899-12-30 17:34:43.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.581",0,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 17:05:37.000,2020-09-03 00:00:00.000,1899-12-30 17:23:48.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.581",0,1,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:24:22.000,2020-09-03 00:00:00.000,1899-12-30 17:31:47.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.583",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 15:37:45.000,2020-09-03 00:00:00.000,1899-12-30 16:58:04.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.583",1,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 16:58:37.000,2020-09-03 00:00:00.000,1899-12-30 17:03:39.000,,1,2,1,12,2,1,1,,"",-1,"",,,1
"2020.9-32.583",0,1,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:05:52.000,2020-09-03 00:00:00.000,1899-12-30 17:12:50.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.584",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:43:49.000,2020-09-03 00:00:00.000,1899-12-30 18:13:06.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.584",0,1,0,21600,2020-09-03 00:00:00.000,1899-12-30 18:14:21.000,2020-09-03 00:00:00.000,1899-12-30 18:34:05.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.586",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 18:31:35.000,2020-11-04 00:00:00.000,1899-12-30 13:42:44.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.587",0,1,0,21600,2020-09-08 00:00:00.000,1899-12-30 20:08:36.000,2020-11-04 00:00:00.000,1899-12-30 22:33:06.000,,1,2,1,10,1,1,1,,"",-1,"",,,2
"2020.9-32.588",0,0,0,21600,2020-09-08 00:00:00.000,1899-12-30 20:08:37.000,2020-09-09 00:00:00.000,1899-12-30 12:36:39.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.589",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 12:48:52.000,2020-09-09 00:00:00.000,1899-12-30 12:50:04.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.589",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 12:50:17.000,2020-11-07 00:00:00.000,1899-12-30 03:59:36.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.590",0,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 13:06:56.000,2020-09-09 00:00:00.000,1899-12-30 13:08:48.000,,1,2,1,11,1,1,1,,"",-1,"",,,1
"2020.9-32.590",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 13:09:09.000,2020-11-09 00:00:00.000,1899-12-30 13:07:31.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.591",1,0,0,21600,2020-09-09 00:00:00.000,1899-12-30 13:16:23.000,2020-11-23 00:00:00.000,1899-12-30 14:00:21.000,,1,2,1,12,1,1,1,,"",-1,"",,,1
"2020.9-32.593",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 18:30:45.000,2020-09-09 00:00:00.000,1899-12-30 18:40:51.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.593",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 18:41:11.000,2020-10-09 00:00:00.000,1899-12-30 15:17:36.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.594",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 18:59:54.000,2020-09-09 00:00:00.000,1899-12-30 19:02:05.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.9-32.595",0,1,0,21600,2020-09-09 00:00:00.000,1899-12-30 19:17:56.000,2020-09-09 00:00:00.000,1899-12-30 19:20:08.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.10-59.625",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:57:14.000,2020-11-05 00:00:00.000,1899-12-30 17:06:57.000,,3,3,6,2,9,3,3,,"",5,"<motivo vazio>",2020-11-05 00:00:00.000,1899-12-30 15:24:04.993,2
"2020.10-59.625",0,1,0,43200,2020-10-29 00:00:00.000,1899-12-30 17:57:34.000,2020-11-05 00:00:00.000,1899-12-30 14:56:50.000,,3,6,3,7,9,3,3,,"",5,"<motivo vazio>",2020-11-05 00:00:00.000,1899-12-30 15:24:04.993,2
"2020.10-59.627",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:57:02.000,2020-11-05 00:00:00.000,1899-12-30 17:06:35.000,,3,3,6,2,9,3,3,,"",3,"Demorou para atender,Profissional não qualificado,Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:56:27.670,3
"2020.10-59.627",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:57:02.000,2020-11-05 00:00:00.000,1899-12-30 17:06:35.000,,3,3,6,2,9,3,3,,"",3,"Demorou para atender,Profissional não qualificado,Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:56:33.610,3
"2020.10-59.627",0,1,0,43200,2020-10-30 00:00:00.000,1899-12-30 20:12:49.000,2020-11-05 00:00:00.000,1899-12-30 14:56:22.000,,3,6,3,7,9,3,3,,"",3,"Demorou para atender,Profissional não qualificado,Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:56:27.670,3
"2020.10-59.627",0,1,0,43200,2020-10-30 00:00:00.000,1899-12-30 20:12:49.000,2020-11-05 00:00:00.000,1899-12-30 14:56:22.000,,3,6,3,7,9,3,3,,"",3,"Demorou para atender,Profissional não qualificado,Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:56:33.610,3
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:17:04.000,2020-11-05 00:00:00.000,1899-12-30 18:24:09.000,,3,6,3,7,9,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:24:45.000,2020-11-05 00:00:00.000,1899-12-30 18:28:30.000,,3,4,7,6,8,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:28:55.000,2020-11-05 00:00:00.000,1899-12-30 18:29:37.000,,3,5,8,5,8,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:30:39.000,2020-11-05 00:00:00.000,1899-12-30 18:33:05.000,,3,4,7,4,6,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:33:41.000,2020-11-05 00:00:00.000,1899-12-30 18:35:16.000,,3,3,6,3,5,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.634",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:35:35.000,2020-11-05 00:00:00.000,1899-12-30 18:36:15.000,,3,3,6,2,4,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 15:38:14.386,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:02:33.000,2020-11-05 00:00:00.000,1899-12-30 19:10:56.000,,3,6,3,7,9,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:11:56.000,2020-11-05 00:00:00.000,1899-12-30 19:12:49.000,,3,4,7,6,8,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:13:14.000,2020-11-05 00:00:00.000,1899-12-30 19:14:24.000,,3,5,8,5,7,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:15:33.000,2020-11-05 00:00:00.000,1899-12-30 19:17:04.000,,3,4,7,4,6,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:17:32.000,2020-11-05 00:00:00.000,1899-12-30 19:19:11.000,,3,3,6,3,5,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.11-59.637",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 19:19:54.000,2020-11-05 00:00:00.000,1899-12-30 19:22:07.000,,3,3,6,2,4,3,3,,"",4,"Serviço realizado com pendências",2020-11-05 00:00:00.000,1899-12-30 16:25:49.526,2
"2020.7-488.32",0,0,0,21600,2020-07-16 00:00:00.000,1899-12-30 20:43:46.000,2020-07-17 00:00:00.000,1899-12-30 01:32:48.000,,1,2,1,10,,1,1,,"",2,"Profissional não qualificado,Serviço realizado incorretamente",2020-12-21 00:00:00.000,1899-12-30 19:21:39.283,2
"2020.7-488.32",0,1,0,21600,2020-07-17 00:00:00.000,1899-12-30 01:33:17.000,2020-07-22 00:00:00.000,1899-12-30 19:52:14.000,,1,2,1,9,1,1,1,,"",2,"Profissional não qualificado,Serviço realizado incorretamente",2020-12-21 00:00:00.000,1899-12-30 19:21:39.283,2
"2020.7-488.32",0,1,0,21600,2020-07-22 00:00:00.000,1899-12-30 19:52:40.000,2020-07-23 00:00:00.000,1899-12-30 14:16:50.000,,1,2,1,8,20,1,1,,"",2,"Profissional não qualificado,Serviço realizado incorretamente",2020-12-21 00:00:00.000,1899-12-30 19:21:39.283,2
"2020.7-522.32",0,1,0,21600,2020-07-22 00:00:00.000,1899-12-30 20:49:25.000,2020-07-22 00:00:00.000,1899-12-30 20:50:20.000,,1,2,1,8,20,1,1,,"",5,"<motivo vazio>",2020-07-23 00:00:00.000,1899-12-30 09:42:09.460,2
"2020.7-523.32",0,1,0,21600,2020-07-23 00:00:00.000,1899-12-30 12:53:49.000,2020-07-23 00:00:00.000,1899-12-30 12:55:24.000,,1,2,1,8,20,1,1,,"",1,"<motivo vazio>",2020-07-23 00:00:00.000,1899-12-30 11:13:43.283,2
"2020.7-524.32",0,1,0,21600,2020-07-23 00:00:00.000,1899-12-30 14:20:10.000,2020-07-23 00:00:00.000,1899-12-30 14:40:18.000,,1,2,1,8,20,1,1,,"",1,"<motivo vazio>",2020-07-23 00:00:00.000,1899-12-30 11:46:25.096,2
"2020.7-525.32",0,1,0,21600,2020-07-23 00:00:00.000,1899-12-30 14:45:00.000,2020-07-23 00:00:00.000,1899-12-30 14:45:51.000,,1,2,1,8,20,1,1,,"",5,"<motivo vazio>",2020-07-23 00:00:00.000,1899-12-30 11:46:57.550,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:00:41.000,2020-09-23 00:00:00.000,1899-12-30 13:07:14.000,,3,6,3,7,9,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:07:44.000,2020-09-23 00:00:00.000,1899-12-30 13:29:10.000,,3,4,7,6,8,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:30:28.000,2020-09-23 00:00:00.000,1899-12-30 13:33:01.000,,3,5,8,5,7,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:33:53.000,2020-09-23 00:00:00.000,1899-12-30 13:36:53.000,,3,4,7,4,6,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:37:39.000,2020-09-23 00:00:00.000,1899-12-30 13:40:44.000,,3,4,7,17,14,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:41:35.000,2020-09-23 00:00:00.000,1899-12-30 13:43:12.000,,3,3,6,3,5,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.601",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 13:44:34.000,2020-09-23 00:00:00.000,1899-12-30 13:45:16.000,,3,3,6,2,4,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 10:46:36.810,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:33:09.000,2020-09-23 00:00:00.000,1899-12-30 17:42:04.000,,3,6,3,7,9,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:43:11.000,2020-09-23 00:00:00.000,1899-12-30 17:44:55.000,,3,4,7,6,8,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:45:56.000,2020-09-23 00:00:00.000,1899-12-30 17:48:12.000,,3,5,8,5,8,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:48:36.000,2020-09-23 00:00:00.000,1899-12-30 17:49:53.000,,3,4,7,4,6,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:50:04.000,2020-09-23 00:00:00.000,1899-12-30 17:51:19.000,,3,3,6,3,5,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.9-59.606",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 17:51:48.000,2020-09-23 00:00:00.000,1899-12-30 17:52:51.000,,3,3,6,2,4,3,3,,"",5,"<motivo vazio>",2020-09-23 00:00:00.000,1899-12-30 14:59:09.283,2
"2020.7-55.544",0,0,0,0,2020-07-26 00:00:00.000,1899-12-30 02:21:10.000,2020-07-26 00:00:00.000,1899-12-30 15:50:55.000,,8,11,13,20,,,6,,"",5,"<motivo vazio>",2020-07-26 00:00:00.000,1899-12-30 12:51:27.593,2
"2020.7-55.548",0,1,0,0,2020-07-27 00:00:00.000,1899-12-30 12:54:23.000,2020-07-27 00:00:00.000,1899-12-30 13:02:51.000,,8,11,13,23,17,,6,,"",5,"<motivo vazio>",2020-07-27 00:00:00.000,1899-12-30 10:16:22.986,2
"2020.7-55.548",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 13:03:02.000,2020-07-27 00:00:00.000,1899-12-30 13:06:27.000,,8,13,15,22,19,,6,,"",5,"<motivo vazio>",2020-07-27 00:00:00.000,1899-12-30 10:16:22.986,2
"2020.7-55.548",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 13:06:58.000,2020-07-27 00:00:00.000,1899-12-30 13:12:18.000,,8,12,14,21,18,,6,,"",5,"<motivo vazio>",2020-07-27 00:00:00.000,1899-12-30 10:16:22.986,2
"2020.7-55.548",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 13:12:40.000,2020-07-27 00:00:00.000,1899-12-30 13:15:11.000,,8,11,13,20,18,,6,,"",5,"<motivo vazio>",2020-07-27 00:00:00.000,1899-12-30 10:16:22.986,2
