Daily number of positive cases (old methodology),Cumulative number of positive cases (old methodology),Pillar,Nation,Date of reporting,Date of activity,DateDate,7 Day Rolling Average deaths
67,14121,"Pillar 1 & partial Pillar 2","Wales","02/06/2020","01/06/2020",2020-02-06 00:00:00.000,178
82,14203,"Pillar 1 & partial Pillar 2","Wales","03/06/2020","02/06/2020",2020-03-06 00:00:00.000,200.33333333333334
35,14238,"Pillar 1 & partial Pillar 2","Wales","04/06/2020","03/06/2020",2020-04-06 00:00:00.000,182.25
76,14314,"Pillar 1 & partial Pillar 2","Wales","05/06/2020","04/06/2020",2020-05-06 00:00:00.000,187
42,14356,"Pillar 1 & partial Pillar 2","Wales","06/06/2020","05/06/2020",2020-06-06 00:00:00.000,130.25
40,14396,"Pillar 1 & partial Pillar 2","Wales","07/06/2020","06/06/2020",2020-07-06 00:00:00.000,111
42,14438,"Pillar 1 & partial Pillar 2","Wales","08/06/2020","07/06/2020",2020-08-06 00:00:00.000,159
42,14480,"Pillar 1 & partial Pillar 2","Wales","09/06/2020","08/06/2020",2020-09-06 00:00:00.000,58.666666666666664
38,14518,"Pillar 1 & partial Pillar 2","Wales","10/06/2020","09/06/2020",2020-10-06 00:00:00.000,254.33333333333334
63,14581,"Pillar 1 & partial Pillar 2","Wales","11/06/2020","10/06/2020",2020-11-06 00:00:00.000,175.66666666666666
77,14658,"Pillar 1 & partial Pillar 2","Wales","12/06/2020","11/06/2020",2020-12-06 00:00:00.000,183
45,14703,"Pillar 1 & partial Pillar 2","Wales","13/06/2020","12/06/2020",2020-06-13 00:00:00.000,45
39,14742,"Pillar 1 & partial Pillar 2","Wales","14/06/2020","13/06/2020",2020-06-14 00:00:00.000,42
62,14804,"Pillar 1 & partial Pillar 2","Wales","15/06/2020","14/06/2020",2020-06-15 00:00:00.000,48.666666666666664
65,14869,"Pillar 1 & partial Pillar 2","Wales","16/06/2020","15/06/2020",2020-06-16 00:00:00.000,52.75
53,14922,"Pillar 1 & partial Pillar 2","Wales","17/06/2020","16/06/2020",2020-06-17 00:00:00.000,52.8
48,14970,"Pillar 1 & partial Pillar 2","Wales","18/06/2020","17/06/2020",2020-06-18 00:00:00.000,52
31,15001,"Pillar 1 & partial Pillar 2","Wales","19/06/2020","18/06/2020",2020-06-19 00:00:00.000,49
25,15026,"Pillar 1 & partial Pillar 2","Wales","20/06/2020","19/06/2020",2020-06-20 00:00:00.000,46.142857142857146
100,15126,"Pillar 1 & partial Pillar 2","Wales","21/06/2020","20/06/2020",2020-06-21 00:00:00.000,54.857142857142854
71,15197,"Pillar 1 & partial Pillar 2","Wales","22/06/2020","21/06/2020",2020-06-22 00:00:00.000,56.142857142857146
51,15295,"Pillar 1 & partial Pillar 2","Wales","23/06/2020","22/06/2020",2020-06-23 00:00:00.000,54.142857142857146
47,15341,"Pillar 1 & partial Pillar 2","Wales","24/06/2020","23/06/2020",2020-06-24 00:00:00.000,53.285714285714285
125,15466,"Pillar 1 & partial Pillar 2","Wales","25/06/2020","24/06/2020",2020-06-25 00:00:00.000,64.285714285714292
65,15531,"Pillar 1 & partial Pillar 2","Wales","26/06/2020","25/06/2020",2020-06-26 00:00:00.000,69.142857142857139
46,15577,"Pillar 1 & partial Pillar 2","Wales","27/06/2020","26/06/2020",2020-06-27 00:00:00.000,72.142857142857139
25,15602,"Pillar 1 & partial Pillar 2","Wales","28/06/2020","27/06/2020",2020-06-28 00:00:00.000,61.428571428571431
116,15717,"Pillar 1 & partial Pillar 2","Wales","29/06/2020","28/06/2020",2020-06-29 00:00:00.000,67.857142857142861
26,15743,"Pillar 1 & partial Pillar 2","Wales","30/06/2020","29/06/2020",2020-06-30 00:00:00.000,64.285714285714292
32,15775,"Pillar 1 & partial Pillar 2","Wales","01/07/2020","30/06/2020",2020-01-07 00:00:00.000,131.25
5,5,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","27/03/2020","26/03/2020",2020-03-27 00:00:00.000,5
10,15,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","28/03/2020","27/03/2020",2020-03-28 00:00:00.000,7.5
69,84,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","29/03/2020","28/03/2020",2020-03-29 00:00:00.000,28
46,130,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","30/03/2020","29/03/2020",2020-03-30 00:00:00.000,32.5
241,371,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","31/03/2020","30/03/2020",2020-03-31 00:00:00.000,74.2
243,614,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","01/04/2020","31/03/2020",2020-01-04 00:00:00.000,243
278,892,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","02/04/2020","01/04/2020",2020-02-04 00:00:00.000,278
222,1114,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","03/04/2020","02/04/2020",2020-03-04 00:00:00.000,222
265,1379,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","04/04/2020","03/04/2020",2020-04-04 00:00:00.000,155.25
296,1675,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","05/04/2020","04/04/2020",2020-05-04 00:00:00.000,1749.5
341,2016,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","06/04/2020","05/04/2020",2020-06-04 00:00:00.000,1200.75
254,2270,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","07/04/2020","06/04/2020",2020-07-04 00:00:00.000,511
374,2644,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","08/04/2020","07/04/2020",2020-08-04 00:00:00.000,374
331,2975,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","09/04/2020","08/04/2020",2020-09-04 00:00:00.000,331
511,3486,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","10/04/2020","09/04/2020",2020-10-04 00:00:00.000,511
610,4096,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","11/04/2020","10/04/2020",2020-11-04 00:00:00.000,610
838,4934,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","12/04/2020","11/04/2020",2020-12-04 00:00:00.000,838
799,5733,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","13/04/2020","12/04/2020",2020-04-13 00:00:00.000,799
784,6517,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","14/04/2020","13/04/2020",2020-04-14 00:00:00.000,791.5
634,7151,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","15/04/2020","14/04/2020",2020-04-15 00:00:00.000,739
749,7900,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","16/04/2020","15/04/2020",2020-04-16 00:00:00.000,741.5
926,8826,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","17/04/2020","16/04/2020",2020-04-17 00:00:00.000,778.4
1127,9953,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","18/04/2020","17/04/2020",2020-04-18 00:00:00.000,836.5
1383,11336,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","19/04/2020","18/04/2020",2020-04-19 00:00:00.000,914.57142857142856
1653,12989,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","20/04/2020","19/04/2020",2020-04-20 00:00:00.000,1036.5714285714287
658,13647,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","21/04/2020","20/04/2020",2020-04-21 00:00:00.000,1018.5714285714286
675,14322,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","22/04/2020","21/04/2020",2020-04-22 00:00:00.000,1024.4285714285713
752,15074,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","23/04/2020","22/04/2020",2020-04-23 00:00:00.000,1024.8571428571429
1745,16819,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","24/04/2020","23/04/2020",2020-04-24 00:00:00.000,1141.8571428571429
1330,18149,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","25/04/2020","24/04/2020",2020-04-25 00:00:00.000,1170.8571428571429
1778,19927,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","26/04/2020","25/04/2020",2020-04-26 00:00:00.000,1227.2857142857142
1580,21507,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","27/04/2020","26/04/2020",2020-04-27 00:00:00.000,1216.8571428571429
1541,23048,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","28/04/2020","27/04/2020",2020-04-28 00:00:00.000,1343
2188,25236,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","29/04/2020","28/04/2020",2020-04-29 00:00:00.000,1559.1428571428571
2973,28209,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","30/04/2020","29/04/2020",2020-04-30 00:00:00.000,1876.4285714285713
3152,31199,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","01/05/2020","30/04/2020",2020-01-05 00:00:00.000,1697.5
2056,33255,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","02/05/2020","01/05/2020",2020-02-05 00:00:00.000,1167
1898,35153,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","03/05/2020","02/05/2020",2020-03-05 00:00:00.000,1060
2067,37220,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","04/05/2020","03/05/2020",2020-04-05 00:00:00.000,654.75
2203,39423,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","05/05/2020","04/05/2020",2020-05-05 00:00:00.000,1915
4080,43503,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","06/05/2020","05/05/2020",2020-06-05 00:00:00.000,1876.5
3129,46632,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","07/05/2020","06/05/2020",2020-07-05 00:00:00.000,1110.25
2540,49172,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","08/05/2020","07/05/2020",2020-08-05 00:00:00.000,1457
2217,51389,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","09/05/2020","08/05/2020",2020-09-05 00:00:00.000,1274
2471,53860,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","10/05/2020","09/05/2020",2020-10-05 00:00:00.000,1491
2691,56551,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","11/05/2020","10/05/2020",2020-11-05 00:00:00.000,1650.5
2051,58602,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","12/05/2020","11/05/2020",2020-12-05 00:00:00.000,1444.5
1737,60339,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","13/05/2020","12/05/2020",2020-05-13 00:00:00.000,1737
1903,62242,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","14/05/2020","13/05/2020",2020-05-14 00:00:00.000,1820
2153,64395,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","15/05/2020","14/05/2020",2020-05-15 00:00:00.000,1931
1905,66300,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","16/05/2020","15/05/2020",2020-05-16 00:00:00.000,1924.5
2494,68794,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","17/05/2020","16/05/2020",2020-05-17 00:00:00.000,2038.4
1694,70488,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","18/05/2020","17/05/2020",2020-05-18 00:00:00.000,1981
1308,71796,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","19/05/2020","18/05/2020",2020-05-19 00:00:00.000,1884.8571428571429
1424,70615,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","20/05/2020","19/05/2020",2020-05-20 00:00:00.000,1840.1428571428571
1448,72063,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","21/05/2020","20/05/2020",2020-05-21 00:00:00.000,1775.1428571428571
1930,73993,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","22/05/2020","21/05/2020",2020-05-22 00:00:00.000,1743.2857142857142
1682,75675,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","23/05/2020","22/05/2020",2020-05-23 00:00:00.000,1711.4285714285713
1600,77271,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","24/05/2020","23/05/2020",2020-05-24 00:00:00.000,1583.7142857142858
931,78202,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","25/05/2020","24/05/2020",2020-05-25 00:00:00.000,1474.7142857142858
1314,81555,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","26/05/2020","25/05/2020",2020-05-26 00:00:00.000,1475.5714285714287
1226,82781,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","27/05/2020","26/05/2020",2020-05-27 00:00:00.000,1447.2857142857142
1232,84013,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","28/05/2020","27/05/2020",2020-05-28 00:00:00.000,1416.4285714285713
1377,85390,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","29/05/2020","28/05/2020",2020-05-29 00:00:00.000,1337.4285714285713
1576,86966,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","30/05/2020","29/05/2020",2020-05-30 00:00:00.000,1322.2857142857142
1509,88475,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","31/05/2020","30/05/2020",2020-05-31 00:00:00.000,1309.2857142857142
1187,89662,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","01/06/2020","31/05/2020",2020-01-06 00:00:00.000,1527.3333333333333
1085,90747,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","02/06/2020","01/06/2020",2020-02-06 00:00:00.000,1139.6666666666667
1286,92033,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","03/06/2020","02/06/2020",2020-03-06 00:00:00.000,1135.3333333333333
1257,93290,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","04/06/2020","03/06/2020",2020-04-06 00:00:00.000,957.5
1091,94381,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","05/06/2020","04/06/2020",2020-05-06 00:00:00.000,1640.75
1058,95439,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","06/06/2020","05/06/2020",2020-06-06 00:00:00.000,1747
1034,96473,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","07/06/2020","06/06/2020",2020-07-06 00:00:00.000,1220
1047,97520,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","08/06/2020","07/06/2020",2020-08-06 00:00:00.000,1320.3333333333333
677,98551,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","09/06/2020","08/06/2020",2020-09-06 00:00:00.000,1075
877,99428,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","10/06/2020","09/06/2020",2020-10-06 00:00:00.000,1286.3333333333333
878,100306,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","11/06/2020","10/06/2020",2020-11-06 00:00:00.000,1393
1029,101335,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","12/06/2020","11/06/2020",2020-12-06 00:00:00.000,1306
984,102319,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","13/06/2020","12/06/2020",2020-06-13 00:00:00.000,984
1151,103470,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","14/06/2020","13/06/2020",2020-06-14 00:00:00.000,1067.5
751,104221,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","15/06/2020","14/06/2020",2020-06-15 00:00:00.000,962
950,105171,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","16/06/2020","15/06/2020",2020-06-16 00:00:00.000,959
787,105958,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","17/06/2020","16/06/2020",2020-06-17 00:00:00.000,924.6
882,106840,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","18/06/2020","17/06/2020",2020-06-18 00:00:00.000,917.5
965,107805,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","19/06/2020","18/06/2020",2020-06-19 00:00:00.000,924.28571428571433
931,108736,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","20/06/2020","19/06/2020",2020-06-20 00:00:00.000,916.71428571428567
885,109621,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","21/06/2020","20/06/2020",2020-06-21 00:00:00.000,878.71428571428567
698,110319,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","22/06/2020","21/06/2020",2020-06-22 00:00:00.000,871.14285714285711
603,110922,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","23/06/2020","22/06/2020",2020-06-23 00:00:00.000,821.57142857142856
489,111411,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","24/06/2020","23/06/2020",2020-06-24 00:00:00.000,779
731,112142,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","25/06/2020","24/06/2020",2020-06-25 00:00:00.000,757.42857142857144
759,113188,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","26/06/2020","25/06/2020",2020-06-26 00:00:00.000,728
644,113832,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","27/06/2020","26/06/2020",2020-06-27 00:00:00.000,687
732,114564,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","28/06/2020","27/06/2020",2020-06-28 00:00:00.000,665.14285714285711
595,115159,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","29/06/2020","28/06/2020",2020-06-29 00:00:00.000,650.42857142857144
463,115622,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","30/06/2020","29/06/2020",2020-06-30 00:00:00.000,630.42857142857144
615,116237,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","01/07/2020","30/06/2020",2020-01-07 00:00:00.000,1299.25
1035,5018,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","21/03/2020","20/03/2020",2020-03-21 00:00:00.000,1035
665,5683,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","22/03/2020","21/03/2020",2020-03-22 00:00:00.000,850
967,6650,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","23/03/2020","22/03/2020",2020-03-23 00:00:00.000,889
1427,8077,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","24/03/2020","23/03/2020",2020-03-24 00:00:00.000,1023.5
1452,9529,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","25/03/2020","24/03/2020",2020-03-25 00:00:00.000,1109.2
2129,11658,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","26/03/2020","25/03/2020",2020-03-26 00:00:00.000,1279.1666666666667
2885,14543,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","27/03/2020","26/03/2020",2020-03-27 00:00:00.000,1508.5714285714287
2546,17089,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","28/03/2020","27/03/2020",2020-03-28 00:00:00.000,1724.4285714285713
2433,19522,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","29/03/2020","28/03/2020",2020-03-29 00:00:00.000,1977
2619,22141,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","30/03/2020","29/03/2020",2020-03-30 00:00:00.000,2213
3009,25150,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","31/03/2020","30/03/2020",2020-03-31 00:00:00.000,2439
4324,29474,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","01/04/2020","31/03/2020",2020-01-04 00:00:00.000,4324
4244,33718,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","02/04/2020","01/04/2020",2020-02-04 00:00:00.000,4244
4450,38168,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","03/04/2020","02/04/2020",2020-03-04 00:00:00.000,4450
3735,41903,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","04/04/2020","03/04/2020",2020-04-04 00:00:00.000,2949
5903,47806,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","05/04/2020","04/04/2020",2020-05-04 00:00:00.000,3326.25
3802,51608,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","06/04/2020","05/04/2020",2020-06-04 00:00:00.000,1454
3634,55242,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","07/04/2020","06/04/2020",2020-07-04 00:00:00.000,1062.25
5491,60733,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","08/04/2020","07/04/2020",2020-08-04 00:00:00.000,5491
4344,65077,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","09/04/2020","08/04/2020",2020-09-04 00:00:00.000,4344
5195,70272,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","10/04/2020","09/04/2020",2020-10-04 00:00:00.000,5195
4624,74895,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","11/04/2020","10/04/2020",2020-11-04 00:00:00.000,4624
4450,79345,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","12/04/2020","11/04/2020",2020-12-04 00:00:00.000,4450
3543,82888,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","13/04/2020","12/04/2020",2020-04-13 00:00:00.000,3543
4468,87356,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","14/04/2020","13/04/2020",2020-04-14 00:00:00.000,4005.5
3971,91325,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","15/04/2020","14/04/2020",2020-04-15 00:00:00.000,3994
3869,95193,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","16/04/2020","15/04/2020",2020-04-16 00:00:00.000,3962.75
4673,99866,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","17/04/2020","16/04/2020",2020-04-17 00:00:00.000,4104.8
4399,104264,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","18/04/2020","17/04/2020",2020-04-18 00:00:00.000,4153.833333333333
4467,108731,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","19/04/2020","18/04/2020",2020-04-19 00:00:00.000,4198.5714285714284
3023,111754,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","20/04/2020","19/04/2020",2020-04-20 00:00:00.000,4124.2857142857147
3643,115397,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","21/04/2020","20/04/2020",2020-04-21 00:00:00.000,4006.4285714285716
3776,119173,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","22/04/2020","21/04/2020",2020-04-22 00:00:00.000,3978.5714285714284
3831,123004,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","23/04/2020","22/04/2020",2020-04-23 00:00:00.000,3973.1428571428573
3641,126645,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","24/04/2020","23/04/2020",2020-04-24 00:00:00.000,3825.7142857142858
3583,130228,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","25/04/2020","24/04/2020",2020-04-25 00:00:00.000,3709.1428571428573
2685,132913,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","26/04/2020","25/04/2020",2020-04-26 00:00:00.000,3454.5714285714284
2730,135642,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","27/04/2020","26/04/2020",2020-04-27 00:00:00.000,3412.7142857142858
2455,138097,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","28/04/2020","27/04/2020",2020-04-28 00:00:00.000,3243
1888,139985,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","29/04/2020","28/04/2020",2020-04-29 00:00:00.000,2973.2857142857142
3059,143044,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","30/04/2020","29/04/2020",2020-04-30 00:00:00.000,2863
3049,146255,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","01/05/2020","30/04/2020",2020-01-05 00:00:00.000,3686.5
2750,149005,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","02/05/2020","01/05/2020",2020-02-05 00:00:00.000,3497
2441,151446,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","03/05/2020","02/05/2020",2020-03-05 00:00:00.000,3445.5
1918,153364,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","04/05/2020","03/05/2020",2020-04-05 00:00:00.000,2820.25
2203,155567,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","05/05/2020","04/05/2020",2020-05-05 00:00:00.000,3263.25
2031,157598,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","06/05/2020","05/05/2020",2020-06-05 00:00:00.000,1782.25
2485,160083,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","07/05/2020","06/05/2020",2020-07-05 00:00:00.000,1641.25
2109,162192,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","08/05/2020","07/05/2020",2020-08-05 00:00:00.000,3800
1679,163871,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","09/05/2020","08/05/2020",2020-09-05 00:00:00.000,3011.5
1452,165323,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","10/05/2020","09/05/2020",2020-10-05 00:00:00.000,3323.5
1186,166509,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","11/05/2020","10/05/2020",2020-11-05 00:00:00.000,2905
1352,167861,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","12/05/2020","11/05/2020",2020-12-05 00:00:00.000,2901
1505,169366,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","13/05/2020","12/05/2020",2020-05-13 00:00:00.000,1505
1543,170909,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","14/05/2020","13/05/2020",2020-05-14 00:00:00.000,1524
1407,172316,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","15/05/2020","14/05/2020",2020-05-15 00:00:00.000,1485
1546,173861,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","16/05/2020","15/05/2020",2020-05-16 00:00:00.000,1500.25
1068,174929,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","17/05/2020","16/05/2020",2020-05-17 00:00:00.000,1413.8
990,175918,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","18/05/2020","17/05/2020",2020-05-18 00:00:00.000,1343.1666666666667
1104,177022,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","19/05/2020","18/05/2020",2020-05-19 00:00:00.000,1309
1048,177678,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","20/05/2020","19/05/2020",2020-05-20 00:00:00.000,1243.7142857142858
1167,178845,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","21/05/2020","20/05/2020",2020-05-21 00:00:00.000,1190
1357,180202,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","22/05/2020","21/05/2020",2020-05-22 00:00:00.000,1182.8571428571429
1277,181479,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","23/05/2020","22/05/2020",2020-05-23 00:00:00.000,1144.4285714285713
809,182288,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","24/05/2020","23/05/2020",2020-05-24 00:00:00.000,1107.4285714285713
694,182982,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","25/05/2020","24/05/2020",2020-05-25 00:00:00.000,1065.1428571428571
690,183672,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","26/05/2020","25/05/2020",2020-05-26 00:00:00.000,1006
787,184459,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","27/05/2020","26/05/2020",2020-05-27 00:00:00.000,968.71428571428567
655,185114,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","28/05/2020","27/05/2020",2020-05-28 00:00:00.000,895.57142857142856
718,185832,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","29/05/2020","28/05/2020",2020-05-29 00:00:00.000,804.28571428571433
869,185860,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","30/05/2020","29/05/2020",2020-05-30 00:00:00.000,746
427,186287,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","31/05/2020","30/05/2020",2020-05-31 00:00:00.000,691.42857142857144
383,186670,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","01/06/2020","31/05/2020",2020-01-06 00:00:00.000,2585.3333333333335
528,187238,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","02/06/2020","01/06/2020",2020-02-06 00:00:00.000,2507.3333333333335
585,187823,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","03/06/2020","02/06/2020",2020-03-06 00:00:00.000,2492
548,188371,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","04/06/2020","03/06/2020",2020-04-06 00:00:00.000,2302.5
559,188930,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","05/06/2020","04/06/2020",2020-05-06 00:00:00.000,2931
499,189429,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","06/06/2020","05/06/2020",2020-06-06 00:00:00.000,1689.75
