Apellidos y Nombres,variable,value
Romero Rodríguez Eulogio Amado,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/101-j2Xa4Km8Tp9Ky4X.jpg
Ruiz Loayza Wilder,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/104-g8Qq2Sh4Fz1Yv2A.jpg
Iberico Nuñez Luis Carlos Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/59-g6Kc8Am3Fl6Yh8Q.jpg
Mendoza Frisch Verónika Fanny,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/76-b7Nu0Dq0Ys0Yo4O.jpg
Angulo Álvarez Roberto Edmundo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/8-o5Cv9Os9Kk3Ay5T.jpg
Ccama Layme Francisco,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/25-v5Tw4Sz7Bz4Pc3J.jpg
Cárdenas Cerrón Johnny,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/22-t4Zm6Md7Cs3Xc9R.jpg
Luna Gálvez José León,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/72-x5Dg8Ea3Yy7Lx5G.jpg
Inga Vásquez Leonardo Agustín,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/60-j1Ya1Qz0Rr9Ku8D.jpg
Valle Ramírez Willyam Tito,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/124-a7Tx3Fy3Yu1Iv6O.jpg
Pérez Del Solar Cuculiza Gabriela Lourdes,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/91-j4Ei3Qi8Sz6Oj3I.jpg
Rodríguez Zavaleta Elías Nicolás,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/100-g1Qb8Pq4Qf8Fl5H.jpg
Oseda Soto Doris Gladys,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/87-x1Tc4Cu1Xy2Pj8I.jpg
Cuculiza Torre Luisa María,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/36-c6De4Sq2Es9So2I.jpg
Rosas Huaranga Julio Pablo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/103-q1Zw2Fm3Iu4Fk1S.jpg
Hurtado Zamudio Jesús Panfilo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/58-d2Js5Op7Zx7Cu7N.jpg
Canches Guzmán Rogelio Antenor,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/20-h0Vr2Ho5Ko6Lg8V.jpg
Yrupailla Montes César Elmer,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/129-t6Dn6Dd2Em5Ee4L.jpg
Chehade Moya Omar Karim,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/28-u0Xd8Xn0Jg3Hf6G.jpg
Gutiérrez Cóndor Josue Manuel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/55-g6Ra2Xm6Nz5Mt7I.jpg
Tait Villacorta Cecilia,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/113-n0Gi5Vf9Rv6Lq3P.jpg
Bedoya De Vivanco Javier,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg
Chacón De Vettori Cecilia Isabel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/26-n3Me9Nx1Ay9In9F.jpg
Molina Martínez Agustín F.,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/78-n4Rk2Ka4Yc7Ki7J.jpg
Espinoza Rosales Rennán Samuel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/45-b7Pr7Mx5Rz0On7T.jpg
López Córdova María Magdalena,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/71-g2Iv2Zl1Bl3Hq9I.jpg
Crisólogo Espejo Víctor Walberto,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/35-o4Eu2Dg4Vc3Xb4A.jpg
Reggiardo Barreto Renzo Andrés,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/96-w8Om7Ui6Ai9Au3Z.jpg
Llatas Altamirano Cristóbal Luis,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/70-k0Pn5Ut1Vp2Op1U.jpg
Isla Rojas Víctor,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/61-c1Tl0Cu4Wh4Dk1P.jpg
